sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,30-39,ln_parados,sdid,placebo,-20,-.0057271773281432,.0240450705805378,-.0528555156659973,.0414011610097108,117,62
age3_cno4,30-39,ln_parados,sdid,placebo,-19,-.000462017113717,.0232474231806738,-.0460269665478377,.0451029323204038,117,61
age3_cno4,30-39,ln_parados,sdid,placebo,-18,-.0198665659602218,.0179190302055229,-.0549878651630466,.015254733242603,117,60
age3_cno4,30-39,ln_parados,sdid,placebo,-17,-.0065131951900602,.0144507313267086,-.034836628590409,.0218102382102886,117,59
age3_cno4,30-39,ln_parados,sdid,placebo,-16,.0031882764085459,.0174184818325068,-.0309519479831675,.0373285008002593,117,58
age3_cno4,30-39,ln_parados,sdid,placebo,-15,.0216309614119602,.0177087254076648,-.0130781403870628,.0563400632109832,117,57
age3_cno4,30-39,ln_parados,sdid,placebo,-14,.0095256843886306,.0216866352491273,-.0329801206996589,.05203148947692,117,56
age3_cno4,30-39,ln_parados,sdid,placebo,-13,.0184837616070433,.0178953479445383,-.0165911203642517,.0535586435783384,117,55
age3_cno4,30-39,ln_parados,sdid,placebo,-12,-.0050761468254313,.0188319718955601,-.0419868117407291,.0318345180898665,117,54
age3_cno4,30-39,ln_parados,sdid,placebo,-11,.0002934096860828,.0201489638580741,-.0391985594757424,.0397853788479081,117,53
age3_cno4,30-39,ln_parados,sdid,placebo,-10,-.0104913661066389,.0208913479835464,-.0514384081543898,.0304556759411119,117,52
age3_cno4,30-39,ln_parados,sdid,placebo,-9,-.0165885266380578,.017973773047815,-.0518171218117751,.0186400685356596,117,51
age3_cno4,30-39,ln_parados,sdid,placebo,-8,-.0188502074977409,.0193788414024942,-.0568327366466296,.0191323216511478,117,50
age3_cno4,30-39,ln_parados,sdid,placebo,-7,-.0340459123372657,.019349016042532,-.0719699837806285,.003878159106097,117,49
age3_cno4,30-39,ln_parados,sdid,placebo,-6,-.038934671475508,.0164184399963971,-.0711148138684464,-.0067545290825696,117,48
age3_cno4,30-39,ln_parados,sdid,placebo,-5,-.0169289802923714,.0139309845851968,-.0442337100793572,.0103757494946143,117,47
age3_cno4,30-39,ln_parados,sdid,placebo,-4,-.0129250388151508,.0144944888318331,-.0413342369255437,.015484159295242,117,46
age3_cno4,30-39,ln_parados,sdid,placebo,-3,.0024763557063329,.0158230421402139,-.0285368068884864,.0334895183011521,117,45
age3_cno4,30-39,ln_parados,sdid,placebo,-2,.0038453032429991,.0128290470581904,-.0212996289910541,.0289902354770524,117,44
age3_cno4,30-39,ln_parados,sdid,placebo,-1,.0251066925677689,.0082222177133541,.0089911458495947,.041222239285943,117,43
age3_cno4,30-39,ln_parados,sdid,placebo,0,.0239962004892144,.0162478523544428,-.0078495901254935,.0558419911039222,117,2
age3_cno4,30-39,ln_parados,sdid,placebo,1,.0169397776217902,.0203922322390182,-.0230289975666855,.0569085528102659,117,3
age3_cno4,30-39,ln_parados,sdid,placebo,2,.0041328414403535,.0213301448879549,-.0376742425400381,.0459399254207451,117,4
age3_cno4,30-39,ln_parados,sdid,placebo,3,.0299896800986769,.0210948120785668,-.0113561515753141,.0713355117726679,117,5
