sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,40 to >44,ln_parados,sdid,placebo,-20,-.0167869943959049,.0091624257285777,-.0347453488239173,.0011713600321075,122,62
age3_cno4,40 to >44,ln_parados,sdid,placebo,-19,-.0048615581720197,.009271064325912,-.0230328442508073,.0133097279067679,122,61
age3_cno4,40 to >44,ln_parados,sdid,placebo,-18,-.0137333434201583,.0084459004130815,-.0302873082297981,.0028206213894815,122,60
age3_cno4,40 to >44,ln_parados,sdid,placebo,-17,-.0135656880894696,.0080098021827488,-.0292649003676573,.002133524188718,122,59
age3_cno4,40 to >44,ln_parados,sdid,placebo,-16,-.0031463304222905,.0071424457163594,-.0171455240263548,.0108528631817739,122,58
age3_cno4,40 to >44,ln_parados,sdid,placebo,-15,.0041905782826843,.0071568768274208,-.0098369002990605,.0182180568644292,122,57
age3_cno4,40 to >44,ln_parados,sdid,placebo,-14,7.51688837133e-06,.007763377501758,-.0152087030150743,.015223736791817,122,56
age3_cno4,40 to >44,ln_parados,sdid,placebo,-13,-.0072526800697128,.0082377449370293,-.0233986601462903,.0088933000068647,122,55
age3_cno4,40 to >44,ln_parados,sdid,placebo,-12,-.012937481349148,.0072322232633336,-.0271126389452819,.0012376762469858,122,54
age3_cno4,40 to >44,ln_parados,sdid,placebo,-11,-.0117673506134661,.0070622663975016,-.0256093927525693,.0020746915256371,122,53
age3_cno4,40 to >44,ln_parados,sdid,placebo,-10,-.0183378802790841,.0084651018445305,-.0349294798943639,-.0017462806638043,122,52
age3_cno4,40 to >44,ln_parados,sdid,placebo,-9,-.0068328998548326,.007553392341448,-.0216375488440707,.0079717491344055,122,51
age3_cno4,40 to >44,ln_parados,sdid,placebo,-8,-.0076579077329803,.0069022298661328,-.0211862782706007,.00587046280464,122,50
age3_cno4,40 to >44,ln_parados,sdid,placebo,-7,-.0142027823159569,.0072410826479576,-.0283953043059537,-.0000102603259601,122,49
age3_cno4,40 to >44,ln_parados,sdid,placebo,-6,-.0210746413430191,.0079156872979791,-.0365893884470582,-.0055598942389801,122,48
age3_cno4,40 to >44,ln_parados,sdid,placebo,-5,-.0197105118243756,.0065171763347959,-.0324841774405755,-.0069368462081758,122,47
age3_cno4,40 to >44,ln_parados,sdid,placebo,-4,-.0103074452648135,.007091742975408,-.0242072614966131,.0035923709669861,122,46
age3_cno4,40 to >44,ln_parados,sdid,placebo,-3,.0038016302913455,.0061081565222816,-.0081703564923264,.0157736170750175,122,45
age3_cno4,40 to >44,ln_parados,sdid,placebo,-2,.0056982117449574,.005021196866237,-.0041433341128672,.0155397576027819,122,44
age3_cno4,40 to >44,ln_parados,sdid,placebo,-1,-.0002684501894165,.0015119751934216,-.0032319215685228,.0026950211896897,122,43
age3_cno4,40 to >44,ln_parados,sdid,placebo,0,.0005138607618962,.0050612990212685,-.0094062853197901,.0104340068435826,122,2
age3_cno4,40 to >44,ln_parados,sdid,placebo,1,-.0014697446630798,.0062069104655754,-.0136352891756076,.0106957998494481,122,3
age3_cno4,40 to >44,ln_parados,sdid,placebo,2,.003019672881945,.0073437249997489,-.0113740281175629,.0174133738814528,122,4
age3_cno4,40 to >44,ln_parados,sdid,placebo,3,.0007813467877744,.0074720139580327,-.0138638005699696,.0154264941455185,122,5
age3_cno4,40 to >44,ln_parados,sdid,placebo,4,.0054647796512839,.0079076949682374,-.0100343024864613,.0209638617890292,122,6
