sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-20,.0131349394974671,.0230183860243883,-.0319810971103341,.0582509761052682,111,62
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-19,.0191422940554615,.0217171470262831,-.0234233141160533,.0617079022269762,111,61
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-18,.0179126984772219,.0216915217254944,-.024602684104747,.0604280810591909,111,60
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-17,-.0125529118296524,.0226234082980274,-.0568947920937861,.0317889684344812,111,59
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-16,.0248027737045484,.0232421791401912,-.0207518974102264,.0703574448193231,111,58
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-15,.0211136458208247,.0259885962372258,-.0298240028041379,.0720512944457873,111,57
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-14,.0447135154703241,.026887298378007,-.0079855893505697,.0974126202912179,111,56
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-13,.0471418525435238,.0274272181364831,-.006615495003983,.1008992000910306,111,55
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-12,.0426157973141101,.0300585788405518,-.0162990172133714,.1015306118415915,111,54
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-11,.0217181994280852,.0246573566109088,-.026610219529296,.0700466183854664,111,53
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-10,.0060137691138211,.0234472588837628,-.0399428582983541,.0519703965259962,111,52
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-9,.0119596414774229,.0224626399815122,-.032067132886341,.0559864158411869,111,51
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-8,.0011123243815218,.0185619942428392,-.0352691843344431,.0374938330974867,111,50
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-7,-.006746595817645,.0209861135743145,-.0478793784233015,.0343861867880115,111,49
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-6,-.0225249692054915,.0257666911383858,-.0730276838367276,.0279777454257446,111,48
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-5,-.0194342260613574,.03261815463659,-.0833658091490739,.044497357026359,111,47
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-4,-.0224784708076345,.0223677846902938,-.0663193288006104,.0213623871853414,111,46
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-3,-.0021486536573619,.0225425192125988,-.0463319913140555,.0420346839993317,111,45
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-2,.0161046832923832,.0201353932422131,-.0233606874623545,.0555700540471208,111,44
age3_cno4,<18 to 29,ln_parados,sdid,placebo,-1,.0078847888634838,.0156044922204426,-.0227000158885837,.0384695936155513,111,43
age3_cno4,<18 to 29,ln_parados,sdid,placebo,0,.0402999551857361,.0263393986940113,-.0113252662545261,.0919251766259983,111,2
age3_cno4,<18 to 29,ln_parados,sdid,placebo,1,.0387853457450757,.0259642272875076,-.0121045397384393,.0896752312285906,111,3
age3_cno4,<18 to 29,ln_parados,sdid,placebo,2,.0325181082735805,.0263920132870721,-.0192102377690807,.0842464543162418,111,4
age3_cno4,<18 to 29,ln_parados,sdid,placebo,3,.0013539498653029,.0295981822325584,-.0566584873105116,.0593663870411175,111,5
age3_cno4,<18 to 29,ln_parados,sdid,placebo,4,.0163412545893255,.0299424448444428,-.0423459373057824,.0750284464844334,111,6
age3_cno4,<18 to 29,ln_parados,sdid,placebo,5,.0247441215064265,.0340889221481454,-.0420701659039386,.0915584089167916,111,7
age3_cno4,<18 to 29,ln_parados,sdid,placebo,6,.0136718633830563,.0389831501208931,-.0627351108538941,.0900788376200067,111,8
