sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
gender_cno4,Mujer,ln_parados,sdid,placebo,-20,-.0113055139764771,.0107699847989184,-.0324146841823571,.009803656229403,122,63
gender_cno4,Mujer,ln_parados,sdid,placebo,-19,.0050554036728188,.0119676521767023,-.0184011945935178,.0285120019391553,122,62
gender_cno4,Mujer,ln_parados,sdid,placebo,-18,-.0087215632623701,.0137530723995396,-.0356775851654677,.0182344586407275,122,61
gender_cno4,Mujer,ln_parados,sdid,placebo,-17,-.0128607982511517,.0123564743170482,-.0370794879125662,.0113578914102628,122,60
gender_cno4,Mujer,ln_parados,sdid,placebo,-16,-.0003967650256089,.0168284059833344,-.0333804407529444,.0325869107017266,122,59
gender_cno4,Mujer,ln_parados,sdid,placebo,-15,.0119695956866068,.0156753848703333,-.0187541586592465,.0426933500324602,122,58
gender_cno4,Mujer,ln_parados,sdid,placebo,-14,.0210441399225139,.0155530336175073,-.0094398059678004,.0515280858128281,122,57
gender_cno4,Mujer,ln_parados,sdid,placebo,-13,.0076369490049069,.0154806080099656,-.0227050426946257,.0379789407044394,122,56
gender_cno4,Mujer,ln_parados,sdid,placebo,-12,.0076413101119113,.015850862191087,-.0234263797826193,.0387090000064418,122,55
gender_cno4,Mujer,ln_parados,sdid,placebo,-11,.0045462075189264,.0139699615751242,-.0228349171683171,.0319273322061699,122,54
gender_cno4,Mujer,ln_parados,sdid,placebo,-10,-.0077909084574563,.0131893258582754,-.0336419871396762,.0180601702247635,122,53
gender_cno4,Mujer,ln_parados,sdid,placebo,-9,-.0005563331320011,.0118651612997918,-.0238120492795931,.0226993830155909,122,52
gender_cno4,Mujer,ln_parados,sdid,placebo,-8,-.0026876729146736,.0113185467576643,-.0248720245596957,.0194966787303485,122,51
gender_cno4,Mujer,ln_parados,sdid,placebo,-7,.0017268433681576,.0081463451759889,-.0142399931767806,.0176936799130959,122,50
gender_cno4,Mujer,ln_parados,sdid,placebo,-6,-.007460233245896,.0098868182065415,-.0268383969307173,.0119179304389253,122,49
gender_cno4,Mujer,ln_parados,sdid,placebo,-5,-.0093316819344023,.0118965241968094,-.0326488693601487,.0139855054913442,122,48
gender_cno4,Mujer,ln_parados,sdid,placebo,-4,-.013325457643647,.011240042340363,-.0353559406307584,.0087050253434644,122,47
gender_cno4,Mujer,ln_parados,sdid,placebo,-3,.0018626238010824,.0116040992377195,-.0208814107048479,.0246066583070126,122,46
gender_cno4,Mujer,ln_parados,sdid,placebo,-2,.0174340912851627,.0125565950570815,-.0071768350267171,.0420450175970425,122,45
gender_cno4,Mujer,ln_parados,sdid,placebo,-1,.0039717050748194,.0074596091000105,-.0106491287612012,.0185925389108399,122,44
gender_cno4,Mujer,ln_parados,sdid,placebo,0,.0049149336483665,.0118679018088414,-.0183461538969626,.0281760211936955,122,2
gender_cno4,Mujer,ln_parados,sdid,placebo,1,.0049578644404993,.0146529684458029,-.0237619537132745,.0336776825942731,122,3
gender_cno4,Mujer,ln_parados,sdid,placebo,2,.0094058524151266,.0180029492471518,-.025879928109291,.0446916329395442,122,4
gender_cno4,Mujer,ln_parados,sdid,placebo,3,.0036136186327238,.0191455328907792,-.0339116258332035,.0411388630986511,122,5
gender_cno4,Mujer,ln_parados,sdid,placebo,4,.010771423265409,.0229134842834375,-.0341390059301285,.0556818524609465,122,6
gender_cno4,Mujer,ln_parados,sdid,placebo,5,.0281793675737707,.0226641211396184,-.0162423098598813,.0726010450074228,122,7
gender_cno4,Mujer,ln_parados,sdid,placebo,6,.0373899371811608,.0218333645021909,-.0054034572431334,.080183331605455,122,8
gender_cno4,Mujer,ln_parados,sdid,placebo,7,.0424294542180985,.0214425663957241,.0004020240824792,.0844568843537178,122,9
gender_cno4,Mujer,ln_parados,sdid,placebo,8,.0366552541287724,.021345087397358,-.0051811171700493,.078491625427594,122,10
gender_cno4,Mujer,ln_parados,sdid,placebo,9,.0524261718264643,.0191838477295946,.0148258302764588,.0900265133764697,122,11
gender_cno4,Mujer,ln_parados,sdid,placebo,10,.0677321543099709,.0178861282094969,.0326753430193571,.1027889656005848,122,12
gender_cno4,Mujer,ln_parados,sdid,placebo,11,.0653888537573626,.024015820303995,.0183178459615323,.1124598615531929,122,13
gender_cno4,Mujer,ln_parados,sdid,placebo,12,.0641972120671581,.0250062323690148,.0151849966238891,.1132094275104271,122,14
gender_cno4,Mujer,ln_parados,sdid,placebo,13,.0709533723306897,.0229519374880469,.0259675748541177,.1159391698072617,122,15
gender_cno4,Mujer,ln_parados,sdid,placebo,14,.0681487680819894,.0224979461905734,.0240527935484656,.1122447426155133,122,16
gender_cno4,Mujer,ln_parados,sdid,placebo,15,.0692349335867255,.0236141314530521,.0229512359387434,.1155186312347076,122,17
gender_cno4,Mujer,ln_parados,sdid,placebo,16,.0568616128826682,.0246386855167341,.0085697892698695,.105153436495467,122,18
gender_cno4,Mujer,ln_parados,sdid,placebo,17,.0674575140494444,.0265994363014722,.015322618898559,.1195924092003299,122,19
gender_cno4,Mujer,ln_parados,sdid,placebo,18,.0699008204835514,.0286661152893481,.0137152345164292,.1260864064506736,122,20
gender_cno4,Mujer,ln_parados,sdid,placebo,19,.0638847640562612,.0303690794102326,.0043613684122054,.123408159700317,122,21
gender_cno4,Mujer,ln_parados,sdid,placebo,20,.0650358219214868,.0303581368579867,.0055338736798329,.1245377701631407,122,22
gender_cno4,Mujer,ln_parados,sdid,placebo,21,.0777654745490408,.0336662959915998,.0117795344055052,.1437514146925764,122,23
gender_cno4,Mujer,ln_parados,sdid,placebo,22,.0850507258598117,.0322464144195295,.0218477535975339,.1482536981220894,122,24
gender_cno4,Mujer,ln_parados,sdid,placebo,23,.0739140460922392,.0385836659402328,-.001709939150617,.1495380313350954,122,25
gender_cno4,Mujer,ln_parados,sdid,placebo,24,.0798694078651523,.0384855439233529,.0044377417753805,.155301073954924,122,26
gender_cno4,Mujer,ln_parados,sdid,placebo,25,.0828720533368226,.035601586276726,.0130929442344396,.1526511624392055,122,27
gender_cno4,Mujer,ln_parados,sdid,placebo,26,.0749339970745635,.0340983265625833,.0081012770119002,.1417667171372268,122,28
gender_cno4,Mujer,ln_parados,sdid,placebo,27,.0745879134759293,.0362866341379159,.0034661105656141,.1457097163862445,122,29
gender_cno4,Mujer,ln_parados,sdid,placebo,28,.0902433851466315,.0391252990820199,.0135577989458726,.1669289713473905,122,30
gender_cno4,Mujer,ln_parados,sdid,placebo,29,.0967144793374577,.0428272550512623,.0127730594369835,.1806558992379318,122,31
