sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_parados,sdid,placebo,-20,-.0123828317762357,.010466849991865,-.032897857760291,.0081321942078197,122,63
total_cno4,all,ln_parados,sdid,placebo,-19,-.003601104104496,.009242796819452,-.021716985870622,.01451477766163,122,62
total_cno4,all,ln_parados,sdid,placebo,-18,-.0130046317968576,.0082568036521946,-.0291879669551589,.0031787033614437,122,61
total_cno4,all,ln_parados,sdid,placebo,-17,-.01432653372324,.0080652699961903,-.0301344629157729,.0014813954692929,122,60
total_cno4,all,ln_parados,sdid,placebo,-16,-.0083671305469309,.009684326712312,-.0273484109030625,.0106141498092006,122,59
total_cno4,all,ln_parados,sdid,placebo,-15,-.0012201738774916,.0107574182250471,-.0223047135985839,.0198643658436006,122,58
total_cno4,all,ln_parados,sdid,placebo,-14,.0001761543893751,.0115646386966453,-.0224905374560496,.0228428462347999,122,57
total_cno4,all,ln_parados,sdid,placebo,-13,.0014820577559783,.0090457919693962,-.0162476945040382,.0192118100159948,122,56
total_cno4,all,ln_parados,sdid,placebo,-12,-.0065058446681366,.0086863692859039,-.0235311284685083,.010519439132235,122,55
total_cno4,all,ln_parados,sdid,placebo,-11,-.0047758241868673,.0092022549515473,-.0228122438919,.0132605955181654,122,54
total_cno4,all,ln_parados,sdid,placebo,-10,-.0236571347074369,.0096630281392903,-.0425966698604459,-.0047175995544279,122,53
total_cno4,all,ln_parados,sdid,placebo,-9,-.0085271874543272,.009863145945464,-.0278589535074366,.0108045785987821,122,52
total_cno4,all,ln_parados,sdid,placebo,-8,-.0098691783734633,.0097678414489799,-.0290141476134639,.0092757908665372,122,51
total_cno4,all,ln_parados,sdid,placebo,-7,-.0154864881018192,.0096928185154412,-.0344844123920838,.0035114361884455,122,50
total_cno4,all,ln_parados,sdid,placebo,-6,-.0235684118199032,.0084070962442093,-.0400463204585535,-.007090503181253,122,49
total_cno4,all,ln_parados,sdid,placebo,-5,-.0228394701094553,.0088798766092189,-.0402440282635243,-.0054349119553863,122,48
total_cno4,all,ln_parados,sdid,placebo,-4,-.0193580026294541,.0072023285458763,-.0334745665793716,-.0052414386795365,122,47
total_cno4,all,ln_parados,sdid,placebo,-3,-.003774182057645,.0079646588191662,-.0193849133432107,.0118365492279207,122,46
total_cno4,all,ln_parados,sdid,placebo,-2,.0006542649390239,.0066753614705008,-.0124294435431577,.0137379734212055,122,45
total_cno4,all,ln_parados,sdid,placebo,-1,.0023045775579108,.0027579609325122,-.0031010258698131,.0077101809856347,122,44
total_cno4,all,ln_parados,sdid,placebo,0,.0098476263367887,.0071955826045757,-.0042557155681797,.0239509682417571,122,2
total_cno4,all,ln_parados,sdid,placebo,1,.0080019433824153,.0083779272779114,-.008418794082291,.0244226808471217,122,3
total_cno4,all,ln_parados,sdid,placebo,2,.0102186027227992,.0093600013637702,-.0081269999501905,.0285642053957889,122,4
