sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_contratos,sc,sc_event_spec1,-20,.0001257016639604,.0012608792312551,-.0023456216292996,.0025970249572204,116,63
total_cno4,all,ln_contratos,sc,sc_event_spec1,-19,-.0017011749528297,.0013055604530042,-.0042600734407179,.0008577235350584,116,62
total_cno4,all,ln_contratos,sc,sc_event_spec1,-18,.0008305778369024,.0015746190917564,-.0022556755829401,.003916831256745,116,61
total_cno4,all,ln_contratos,sc,sc_event_spec1,-17,-.0027162528422853,.0015162990597204,-.0056881989993372,.0002556933147667,116,60
total_cno4,all,ln_contratos,sc,sc_event_spec1,-16,.007400626717347,.0017549993779187,.0039608279366264,.0108404254980676,116,59
total_cno4,all,ln_contratos,sc,sc_event_spec1,-15,-.0013551537954504,.0017105933246121,-.0047079167116901,.0019976091207893,116,58
total_cno4,all,ln_contratos,sc,sc_event_spec1,-14,-.0022927533656443,.0012051631828801,-.0046548732040892,.0000693664728006,116,57
total_cno4,all,ln_contratos,sc,sc_event_spec1,-13,-.0023614977088995,.0015125979936582,-.0053261897764695,.0006031943586705,116,56
total_cno4,all,ln_contratos,sc,sc_event_spec1,-12,-.0012097753135185,.001236215931778,-.0036327585398034,.0012132079127663,116,55
total_cno4,all,ln_contratos,sc,sc_event_spec1,-11,-.0009410181427238,.0011958638645103,-.0032849113171641,.0014028750317164,116,54
total_cno4,all,ln_contratos,sc,sc_event_spec1,-10,.0022341282233258,.0013933423336854,-.0004968227506977,.0049650791973493,116,53
total_cno4,all,ln_contratos,sc,sc_event_spec1,-9,-.0033585696170224,.0017107023446425,-.0067115462125217,-5.59302152311e-06,116,52
total_cno4,all,ln_contratos,sc,sc_event_spec1,-8,-.0027725395485749,.0016980964795958,-.0061008086485827,.0005557295514329,116,51
total_cno4,all,ln_contratos,sc,sc_event_spec1,-7,.0056934084268914,.001654380882121,.0024508218979341,.0089359949558486,116,50
total_cno4,all,ln_contratos,sc,sc_event_spec1,-6,-.0001771504858334,.0013607014973338,-.0028441254206077,.0024898244489409,116,49
total_cno4,all,ln_contratos,sc,sc_event_spec1,-5,-.0003744300885238,.0016683806563566,-.0036444561749827,.0028955959979352,116,48
total_cno4,all,ln_contratos,sc,sc_event_spec1,-4,-.0030996749188574,.001511268351321,-.0060617608874466,-.0001375889502683,116,47
total_cno4,all,ln_contratos,sc,sc_event_spec1,-3,-.0020599921808024,.0020833350770426,-.006143328931806,.0020233445702011,116,46
total_cno4,all,ln_contratos,sc,sc_event_spec1,-2,.0008853751111326,.001434956551167,-.0019271397291547,.0036978899514199,116,45
total_cno4,all,ln_contratos,sc,sc_event_spec1,-1,.0052554481827904,.0010349284497991,.0032269884211842,.0072839079443967,116,44
total_cno4,all,ln_contratos,sc,sc_event_spec1,0,.0176091118039858,.0435837693512821,-.0678150761245271,.1030332997324987,116,2
total_cno4,all,ln_contratos,sc,sc_event_spec1,1,.0577866124593571,.0481039775590815,-.0364971835564426,.1520704084751568,116,3
total_cno4,all,ln_contratos,sc,sc_event_spec1,2,-.0011013985569308,.0583197491959319,-.1154081069809573,.1132053098670957,116,4
total_cno4,all,ln_contratos,sc,sc_event_spec1,3,.0856512084573398,.0735852206052486,-.0585758239289476,.2298782408436271,116,5
total_cno4,all,ln_contratos,sc,sc_event_spec1,4,-.0073387104673062,.0694286449716912,-.143418854611821,.1287414336772087,116,6
total_cno4,all,ln_contratos,sc,sc_event_spec1,5,.0371431128244604,.0923041429084406,-.1437730072760832,.218059232925004,116,7
total_cno4,all,ln_contratos,sc,sc_event_spec1,6,-.0197001105937522,.0617698930566445,-.1407691009847755,.1013688797972711,116,8
total_cno4,all,ln_contratos,sc,sc_event_spec1,7,.0289944293554001,.080351794033015,-.1284950869493094,.1864839456601096,116,9
total_cno4,all,ln_contratos,sc,sc_event_spec1,8,.0126781199742227,.0888739358163937,-.1615147942259089,.1868710341743544,116,10
total_cno4,all,ln_contratos,sc,sc_event_spec1,9,.0391779011494702,.0706356859301658,-.0992680432736548,.1776238455725951,116,11
total_cno4,all,ln_contratos,sc,sc_event_spec1,10,.0025355151769384,.077087939320136,-.1485568458905282,.153627876244405,116,12
total_cno4,all,ln_contratos,sc,sc_event_spec1,11,.0521421086552305,.0750108510440102,-.0948791593910295,.1991633767014905,116,13
total_cno4,all,ln_contratos,sc,sc_event_spec1,12,.0349829131441899,.0621938801121545,-.086917091875633,.1568829181640127,116,14
total_cno4,all,ln_contratos,sc,sc_event_spec1,13,.002149768268513,.0684512125039059,-.1320146082391427,.1363141447761686,116,15
total_cno4,all,ln_contratos,sc,sc_event_spec1,14,.0525793846009011,.0724294362465413,-.0893823104423199,.194541079644122,116,16
total_cno4,all,ln_contratos,sc,sc_event_spec1,15,-.0742333140276736,.0591013527233772,-.190071965365493,.0416053373101457,116,17
total_cno4,all,ln_contratos,sc,sc_event_spec1,16,.0435879665877872,.07503944544489,-.1034893464841971,.1906652796597715,116,18
total_cno4,all,ln_contratos,sc,sc_event_spec1,17,.0063426590965978,.0873066552844675,-.1647783852609585,.1774637034541542,116,19
total_cno4,all,ln_contratos,sc,sc_event_spec1,18,.0499128571791907,.0716656783262962,-.0905518723403498,.1903775866987312,116,20
total_cno4,all,ln_contratos,sc,sc_event_spec1,19,-.010016999183514,.0760527933669234,-.1590804741826837,.1390464758156558,116,21
total_cno4,all,ln_contratos,sc,sc_event_spec1,20,.0002127883678718,.0656214347430845,-.1284052237285739,.1288308004643174,116,22
total_cno4,all,ln_contratos,sc,sc_event_spec1,21,.0445976110401318,.0801259531262175,-.1124492570872544,.201644479167518,116,23
total_cno4,all,ln_contratos,sc,sc_event_spec1,22,.0447680655754734,.0962797420570425,-.1439402288563298,.2334763600072767,116,24
total_cno4,all,ln_contratos,sc,sc_event_spec1,23,.0405052445401601,.0723597210588573,-.1013198087352002,.1823302978155204,116,25
total_cno4,all,ln_contratos,sc,sc_event_spec1,24,-.0214473248517697,.07382846312432,-.1661511125754369,.1232564628718975,116,26
total_cno4,all,ln_contratos,sc,sc_event_spec1,25,.0592024155280599,.0598949072775999,-.0581916027360359,.1765964337921558,116,27
total_cno4,all,ln_contratos,sc,sc_event_spec1,26,.0513388699292161,.0721987696017546,-.090170718490223,.1928484583486552,116,28
total_cno4,all,ln_contratos,sc,sc_event_spec1,27,.0155345960936133,.0761654167564955,-.1337496207491178,.1648188129363444,116,29
total_cno4,all,ln_contratos,sc,sc_event_spec1,28,.0878813079265264,.0659537251887535,-.0413879934434305,.2171506092964832,116,30
total_cno4,all,ln_contratos,sc,sc_event_spec1,29,-.002096410106887,.0749917614235244,-.1490802624969948,.1448874422832208,116,31
total_cno4,all,ln_contratos,sc,sc_event_spec1,30,.1197947095064817,.0888599407124581,-.0543707742899361,.2939601933028996,116,32
total_cno4,all,ln_contratos,sc,sc_event_spec1,31,.0520887087469371,.0801129015718209,-.1049325783338318,.2091099958277059,116,33
total_cno4,all,ln_contratos,sc,sc_event_spec1,32,.0504106310635395,.0904244747627795,-.1268213394715083,.2276426015985873,116,34
total_cno4,all,ln_contratos,sc,sc_event_spec1,33,.1058544767381031,.0914893038413285,-.0734645587909008,.2851735122671071,116,35
total_cno4,all,ln_contratos,sc,sc_event_spec1,34,.0053816972587803,.0850668854795441,-.1613493982811262,.1721127927986869,116,36
total_cno4,all,ln_contratos,sc,sc_event_spec1,35,.0996816155945295,.0547565664939755,-.0076412547336625,.2070044859227215,116,37
total_cno4,all,ln_contratos,sc,sc_event_spec1,36,.0923399035213963,.0840567696665445,-.072411365025031,.2570911720678236,116,38
total_cno4,all,ln_contratos,sc,sc_event_spec1,37,.1237087800821399,.0906394242735029,-.0539444914939257,.3013620516582055,116,39
total_cno4,all,ln_contratos,sc,sc_event_spec1,38,.0568210492356043,.0769355808611279,-.0939726892522063,.2076147877234149,116,40
total_cno4,all,ln_contratos,sc,sc_event_spec1,39,.1032111065061283,.083676012209996,-.0607938774254638,.2672160904377204,116,41
total_cno4,all,ln_contratos,sc,sc_event_spec1,40,.1300130326976747,.0866451299798019,-.0398114220627369,.2998374874580864,116,42
total_cno4,all,ln_contratos,sc,sc_event_spec1,41,.033743655147636,.0585858611411611,-.0810846326890397,.1485719429843117,116,43
