sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_parados,sc,sc_event_spec1,-20,-.0078950858475348,.006972598953512,-.0215613797964184,.0057712081013487,122,63
total_cno4,all,ln_parados,sc,sc_event_spec1,-19,.0163820953065974,.0061519455311516,.0043242820655403,.0284399085476545,122,62
total_cno4,all,ln_parados,sc,sc_event_spec1,-18,-.0069827284374462,.0077445262212961,-.0221619998311865,.0081965429562941,122,61
total_cno4,all,ln_parados,sc,sc_event_spec1,-17,-.0137753243949419,.0071184748524435,-.0277275351057311,.0001768863158473,122,60
total_cno4,all,ln_parados,sc,sc_event_spec1,-16,.0003206082502292,.0048399929483217,-.0091657779284814,.0098069944289398,122,59
total_cno4,all,ln_parados,sc,sc_event_spec1,-15,-.0041772959415072,.0074676535573892,-.01881389691399,.0104593050309756,122,58
total_cno4,all,ln_parados,sc,sc_event_spec1,-14,.0044300769867931,.0051785754532938,-.0057199309016628,.0145800848752489,122,57
total_cno4,all,ln_parados,sc,sc_event_spec1,-13,.0036406796702417,.0057851643912755,-.0076982425366582,.0149796018771417,122,56
total_cno4,all,ln_parados,sc,sc_event_spec1,-12,.0009777027145068,.0075013707247769,-.0137249839060559,.0156803893350695,122,55
total_cno4,all,ln_parados,sc,sc_event_spec1,-11,-.0052518755639452,.0052135535905171,-.0154704406013588,.0049666894734683,122,54
total_cno4,all,ln_parados,sc,sc_event_spec1,-10,-.016081811300479,.0061411418019643,-.0281184492323291,-.004045173368629,122,53
total_cno4,all,ln_parados,sc,sc_event_spec1,-9,.0089920973035609,.0078228245825763,-.0063406388782886,.0243248334854103,122,52
total_cno4,all,ln_parados,sc,sc_event_spec1,-8,-.0015630778634659,.0064178601225848,-.0141420837037321,.0110159279768004,122,51
total_cno4,all,ln_parados,sc,sc_event_spec1,-7,-.0012403233479903,.0050235555099731,-.0110864921475376,.008605845451557,122,50
total_cno4,all,ln_parados,sc,sc_event_spec1,-6,.0069815382590432,.0084542250529413,-.0095887428447218,.0235518193628083,122,49
total_cno4,all,ln_parados,sc,sc_event_spec1,-5,.0011967783050197,.0059747456922234,-.0105137232517382,.0129072798617776,122,48
total_cno4,all,ln_parados,sc,sc_event_spec1,-4,-.007434788237239,.0076578752819971,-.0224442237899533,.0075746473154753,122,47
total_cno4,all,ln_parados,sc,sc_event_spec1,-3,.0000405037680222,.004996680301049,-.0097529896220338,.0098339971580783,122,46
total_cno4,all,ln_parados,sc,sc_event_spec1,-2,.0029604209888383,.0061952608407885,-.0091822902591072,.0151031322367838,122,45
total_cno4,all,ln_parados,sc,sc_event_spec1,-1,.0032865877592885,.0047362330891279,-.0059964290954022,.0125696046139791,122,44
total_cno4,all,ln_parados,sc,sc_event_spec1,0,-.0252998937495876,.0224614777266858,-.0693243900938918,.0187246025947165,122,2
total_cno4,all,ln_parados,sc,sc_event_spec1,1,-.0511530035298886,.0308674808867785,-.1116532660679744,.0093472590081972,122,3
total_cno4,all,ln_parados,sc,sc_event_spec1,2,-.0203875287802857,.0298068138669213,-.0788088839594514,.03803382639888,122,4
total_cno4,all,ln_parados,sc,sc_event_spec1,3,-.0349551949447404,.0276007288427358,-.0890526234765026,.0191422335870217,122,5
total_cno4,all,ln_parados,sc,sc_event_spec1,4,-.0184352729228223,.0270539419607403,-.0714609991658733,.0345904533202287,122,6
total_cno4,all,ln_parados,sc,sc_event_spec1,5,-.026453547188253,.0338421162732067,-.0927840950837382,.0398770007072322,122,7
total_cno4,all,ln_parados,sc,sc_event_spec1,6,-.0062609802301887,.0301964361207827,-.0654459950269227,.0529240345665453,122,8
total_cno4,all,ln_parados,sc,sc_event_spec1,7,.0217568187625474,.0287192399740999,-.0345328915866883,.0780465291117832,122,9
total_cno4,all,ln_parados,sc,sc_event_spec1,8,.0203725197554094,.0406121252044197,-.0592272456452531,.099972285156072,122,10
total_cno4,all,ln_parados,sc,sc_event_spec1,9,-.0081049464416747,.0456619539401212,-.0976023761643123,.0813924832809629,122,11
total_cno4,all,ln_parados,sc,sc_event_spec1,10,-.0450970189828217,.0486953381618393,-.1405398817800267,.0503458438143833,122,12
total_cno4,all,ln_parados,sc,sc_event_spec1,11,-.0204442068480244,.0632163135954736,-.1443481814951526,.1034597677991038,122,13
total_cno4,all,ln_parados,sc,sc_event_spec1,12,-.0196599217395779,.056637414382187,-.1306692539286644,.0913494104495087,122,14
total_cno4,all,ln_parados,sc,sc_event_spec1,13,-.0280568314892324,.0561577169320313,-.1381259566760139,.082012293697549,122,15
total_cno4,all,ln_parados,sc,sc_event_spec1,14,-.0115722732351555,.0494846331554427,-.1085621542198233,.0854176077495122,122,16
total_cno4,all,ln_parados,sc,sc_event_spec1,15,-.03213989807817,.0542057375183296,-.138383143614096,.074103347457756,122,17
