sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,parados_contratos,sc,sc_event_spec1,-20,-.0000260021249987,.0002727633643888,-.0005606183192008,.0005086140692034,116,63
total_cno4,all,parados_contratos,sc,sc_event_spec1,-19,.0003197295391995,.0005138448570499,-.0006874063806183,.0013268654590172,116,62
total_cno4,all,parados_contratos,sc,sc_event_spec1,-18,5.69126962446e-06,.0005430734541176,-.0010587327004461,.001070115239695,116,61
total_cno4,all,parados_contratos,sc,sc_event_spec1,-17,.0002643741060291,.0003999114035596,-.0005194522449477,.0010482004570059,116,60
total_cno4,all,parados_contratos,sc,sc_event_spec1,-16,-.0009085341006725,.0004424316481769,-.0017757001310992,-.0000413680702457,116,59
total_cno4,all,parados_contratos,sc,sc_event_spec1,-15,.0001446212759735,.0004234883003159,-.0006854157926456,.0009746583445926,116,58
total_cno4,all,parados_contratos,sc,sc_event_spec1,-14,.0002144575401495,.0002605847951705,-.0002962886583846,.0007252037386836,116,57
total_cno4,all,parados_contratos,sc,sc_event_spec1,-13,.0001561101242669,.0004236488812436,-.0006742416829707,.0009864619315044,116,56
total_cno4,all,parados_contratos,sc,sc_event_spec1,-12,.0003438323434191,.0003223583481059,-.0002879900188685,.0009756547057066,116,55
total_cno4,all,parados_contratos,sc,sc_event_spec1,-11,.0001868932754437,.0003180231734677,-.0004364321445529,.0008102186954404,116,54
total_cno4,all,parados_contratos,sc,sc_event_spec1,-10,-.0005649653531514,.0002557477543406,-.001066230951659,-.0000636997546438,116,53
total_cno4,all,parados_contratos,sc,sc_event_spec1,-9,.0004187742191801,.0005640673457405,-.0006867977784712,.0015243462168315,116,52
total_cno4,all,parados_contratos,sc,sc_event_spec1,-8,.0000811929274815,.0005059600133346,-.0009104886986542,.0010728745536173,116,51
total_cno4,all,parados_contratos,sc,sc_event_spec1,-7,-.0007031605562811,.0004940470210718,-.0016714927175817,.0002651716050196,116,50
total_cno4,all,parados_contratos,sc,sc_event_spec1,-6,-.0000591566672132,.0003729549656802,-.0007901483999464,.00067183506552,116,49
total_cno4,all,parados_contratos,sc,sc_event_spec1,-5,.0001564121251274,.0005228841556166,-.0008684408198811,.0011812650701359,116,48
total_cno4,all,parados_contratos,sc,sc_event_spec1,-4,-.0000143199691287,.0004929993271569,-.0009805986503562,.0009519587120988,116,47
total_cno4,all,parados_contratos,sc,sc_event_spec1,-3,.0004410541881743,.0003882338524045,-.0003198841625385,.0012019925388871,116,46
total_cno4,all,parados_contratos,sc,sc_event_spec1,-2,-2.19125327772e-06,.0003570048416078,-.0007019207428289,.0006975382362735,116,45
total_cno4,all,parados_contratos,sc,sc_event_spec1,-1,-.0002706385057522,.0003598462083313,-.0009759370740815,.0004346600625772,116,44
total_cno4,all,parados_contratos,sc,sc_event_spec1,0,-.0616482877053677,.0487775193387312,-.1572522256092808,.0339556501985455,116,2
total_cno4,all,parados_contratos,sc,sc_event_spec1,1,-.1111783083213862,.0536699294083578,-.2163713699617675,-.0059852466810049,116,3
total_cno4,all,parados_contratos,sc,sc_event_spec1,2,.0498170407047709,.0802107764995942,-.1073960812344337,.2070301626439755,116,4
total_cno4,all,parados_contratos,sc,sc_event_spec1,3,-.0172046615054169,.0633605121159554,-.1413912652526894,.1069819422418557,116,5
total_cno4,all,parados_contratos,sc,sc_event_spec1,4,.0382776408337999,.065145187219439,-.0894069261163006,.1659622077839004,116,6
total_cno4,all,parados_contratos,sc,sc_event_spec1,5,.0760907900453497,.0764488014186791,-.0737488607352613,.2259304408259607,116,7
total_cno4,all,parados_contratos,sc,sc_event_spec1,6,.0735120364994348,.0603637892147406,-.0448009903614567,.1918250633603263,116,8
total_cno4,all,parados_contratos,sc,sc_event_spec1,7,.0740651590412186,.0684450044377523,-.060087049656776,.2082173677392131,116,9
