sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-20,-.1119618516392259,.0362213843022148,-.182955764871567,-.0409679384068848,116,63
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-19,-.120981209208071,.0334596737518227,-.1865621697616434,-.0554002486544985,116,62
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-18,-.0950748760854943,.032548014840254,-.1588689851723921,-.0312807669985965,116,61
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-17,-.1137291253270077,.0300237521331045,-.1725756795078926,-.0548825711461229,116,60
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-16,-.0337457967613758,.0313513472419528,-.0951944373556033,.0277028438328518,116,59
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-15,-.1064048055927787,.0301535559269499,-.1655057752096005,-.047303835975957,116,58
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-14,-.1570922799935293,.0347086371698934,-.2251212088465203,-.0890633511405384,116,57
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-13,-.0280366660412429,.0341930862962939,-.095055115181979,.0389817830994933,116,56
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-12,-.0504565931228838,.0297031360267031,-.1086747397352218,.0077615534894542,116,55
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-11,-.0835784825571411,.0320754478265331,-.146446360297146,-.0207106048171363,116,54
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-10,.0024107427403911,.0346577131520216,-.0655183750375712,.0703398605183535,116,53
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-9,-.0591210666469478,.03173039374028,-.1213126383778965,.0030705050840009,116,52
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-8,.0008150706654647,.0236454070395115,-.0455299271319777,.0471600684629072,116,51
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-7,.0508525195443069,.029258275047071,-.0064936995479522,.1081987386365661,116,50
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-6,-.026427890045314,.0332341490594631,-.0915668222018617,.0387110421112338,116,49
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-5,-.0228642605098789,.0254153975097336,-.0726784396289567,.026949918609199,116,48
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-4,-.0348639117252657,.028016326228755,-.0897759111336254,.0200480876830941,116,47
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-3,-.0279762144291081,.026665668862449,-.0802409253995081,.0242884965412919,116,46
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-2,-.0571952450858425,.0278548866690421,-.111790822957165,-.0025996672145199,116,45
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,-1,.0887473951279557,.0253771995225729,.0390080840637128,.1384867061921987,116,44
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,0,.0928336493484813,.0299076605955653,.0342146345811734,.1514526641157892,116,2
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,1,.0876032953856568,.0365536079870877,.0159582237309649,.1592483670403487,116,3
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,2,.0711569976818058,.0407097910439852,-.0086341927644053,.1509481881280168,116,4
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,3,.06371769053412,.0424408464086515,-.019466368426837,.1469017494950771,116,5
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,4,.1189346486117272,.035189385211803,.0499634535965934,.187905843626861,116,6
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,5,.0813608322315788,.0443977755425818,-.0056588078318816,.1683804722950391,116,7
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,6,.0668301095327183,.0352326321423126,-.0022258494662143,.135886068531651,116,8
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,7,.0480838819346888,.0411253665112969,-.0325218364274531,.1286896002968309,116,9
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,8,.0766303224583726,.0399383079320217,-.00164876108839,.1549094060051351,116,10
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,9,.0196206071352076,.0357228244155401,-.050396128719251,.0896373429896661,116,11
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,10,-.0862249338641058,.0419041531725966,-.1683570740823951,-.0040927936458164,116,12
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,11,.0686959438667464,.0394735230357331,-.0086721612832905,.1460640490167834,116,13
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,12,.0909744967640726,.0314797330501754,.0292742199857288,.1526747735424163,116,14
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,13,.0954203362102851,.0413744054466277,.0143265015348948,.1765141708856755,116,15
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,14,.0946781914250464,.0582614087890256,-.0195141698014438,.2088705526515366,116,16
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,15,.0267950156798279,.0439979892299057,-.0594410432107872,.113031074570443,116,17
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,16,.0940832502039503,.0455506552303486,.0048039659524669,.1833625344554336,116,18
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,17,.0608172084985127,.0396541509748535,-.0169049274122001,.1385393444092255,116,19
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,18,.0803272434016512,.0390019905379548,.0038833419472598,.1567711448560426,116,20
total_cno4,all,ln_contratos,sdid,sdid_event_spec1,19,.0430610938389576,.0448885210924884,-.0449204075023197,.131042595180235,116,21
