sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-20,-.0123828317762357,.0087315729768548,-.029496714810871,.0047310512583997,122,63
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-19,-.003601104104496,.0082206987978085,-.0197136737482006,.0125114655392086,122,62
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-18,-.0130046317968576,.0082344845794199,-.0291442215725206,.0031349579788053,122,61
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-17,-.01432653372324,.0086112106302042,-.0312045065584402,.0025514391119602,122,60
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-16,-.0083671305469309,.0089770177653963,-.0259620853671077,.0092278242732458,122,59
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-15,-.0012201738774916,.0079170840470662,-.0167376586097414,.0142973108547581,122,58
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-14,.0001761543893751,.0086801299888979,-.0168369003888649,.0171892091676151,122,57
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-13,.0014820577559783,.0072536527554679,-.0127351016447387,.0156992171566953,122,56
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-12,-.0065058446681366,.0070771307895068,-.02037702101557,.0073653316792968,122,55
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-11,-.0047758241868673,.0074683318512494,-.0194137546153161,.0098621062415815,122,54
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-10,-.0236571347074369,.0088759748861176,-.0410540454842274,-.0062602239306464,122,53
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-9,-.0085271874543272,.0084627156581654,-.0251141101443314,.0080597352356769,122,52
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-8,-.0098691783734633,.0070661964716681,-.0237189234579327,.003980566711006,122,51
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-7,-.0154864881018192,.0076141617627106,-.0304102451567319,-.0005627310469064,122,50
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-6,-.0235684118199032,.0077847592113567,-.0388265398741623,-.0083102837656441,122,49
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-5,-.0228394701094553,.0085033669147469,-.0395060692623592,-.0061728709565514,122,48
total_cno4,all,ln_parados,sdid,sdid_event_spec1,-4,-.0193580026294541,.0067783148038119,-.0326434996449255,-.0060725056139827,122,47
