sample,subgroup,outcome,estimator,spec_id,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-20,.1153770850402411,.0383171506421162,.0402754697816934,.1904787002987889,116,63
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-19,.1324254160968112,.0330444274671302,.0676583382612361,.1971924939323864,116,62
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-18,.1008586452093219,.0334555466670893,.0352857737418268,.1664315166768169,116,61
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-17,.1194328388003949,.0306626370851211,.0593340701135576,.1795316074872322,116,60
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-16,.0440551584816995,.0368086072003977,-.02808971163108,.116200028594479,116,59
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-15,.1280817362210267,.0349004636576098,.0596768274521114,.196486644989942,116,58
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-14,.1827117794650353,.034897761111309,.1143121676868697,.2511113912432008,116,57
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-13,.0535933565038467,.0321392894095063,-.0093996507387857,.116586363746479,116,56
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-12,.0627817907325602,.0301603921176018,.0036674221820607,.1218961592830597,116,55
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-11,.0981564520659333,.0323898169455751,.0346724108526061,.1616404932792605,116,54
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-10,-.0078812283122121,.0406267644208164,-.0875096865770122,.0717472299525881,116,53
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-9,.0633263400558504,.0346917522602407,-.0046694943742213,.131322174485922,116,52
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-8,.0012675408469421,.0235645407988722,-.0449189591188474,.0474540408127316,116,51
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-7,-.0539485648183086,.0290425516282511,-.1108719660096806,.0029748363730635,116,50
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-6,.0229274427013306,.0344330398442815,-.0445613153934611,.0904162007961224,116,49
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-5,.0190870730427235,.028066585289857,-.0359234341253962,.0740975802108432,116,48
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-4,.0433648295993976,.0306685634388378,-.0167455547407245,.1034752139395196,116,47
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-3,.0486601634681325,.0304003433181669,-.0109245094354747,.1082448363717396,116,46
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-2,.0823014567709623,.0290918314428883,.0252814671429012,.1393214463990235,116,45
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,-1,-.0647280012962951,.0222935421305869,-.1084233438722453,-.0210326587203448,116,44
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,0,-.062301828370838,.0309001134183009,-.1228660506707078,-.0017376060709682,116,2
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,1,-.0614926619802947,.0394348502894016,-.1387849685475218,.0157996445869324,116,3
total_cno4,all,parados_contratos,sdid,sdid_event_spec1,2,-.0424604191188793,.0447068943968216,-.1300859321366496,.0451650938988909,116,4
