ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,4.2716146,4.1889954,.11161663,179246,110704,12.096515,11.614615
2021m1,middle,4.5855484,4.2189364,.41666362,84336,55204,11.342564,10.918791
2021m1,high,4.7383633,4.0524111,.80760002,127921,38969,11.759169,10.570521
2021m2,zero,4.2946405,4.1066589,.19407628,182370,98482,12.113792,11.497629
2021m2,middle,4.5697231,4.1034884,.51190239,85037,53349,11.350842,10.88461
2021m2,high,4.760016,4.0203967,.88699615,129652,36096,11.772609,10.493937
2021m3,zero,4.2221847,4.2763801,-.052723981,175951,121232,12.077961,11.705462
2021m3,middle,4.515934,4.3593841,.2488341,81647,57522,11.310161,10.959923
2021m3,high,4.6872201,4.2633562,.64661664,124704,43977,11.733698,10.691422
2021m4,zero,4.158226,4.2478557,-.067553692,171272,120674,12.051008,11.700848
2021m4,middle,4.5099583,4.2434111,.28186971,79301,55513,11.281006,10.924373
2021m4,high,4.6835938,4.2090535,.63215929,121398,43489,11.70683,10.680264
2021m5,zero,4.1109219,4.2949791,-.14263666,161094,138789,11.989743,11.84071
2021m5,middle,4.397017,4.4486098,.1034442,74214,64228,11.214708,11.070194
2021m5,high,4.5693679,4.2677794,.47532117,114401,46155,11.647465,10.73976
2021m6,zero,4.0325055,4.3557434,-.31144604,145982,164151,11.891238,12.008542
2021m6,middle,4.2952209,4.3766546,.0072906041,69230,66780,11.145189,11.109159
2021m6,high,4.4681673,4.4157944,.24022606,104363,54969,11.555631,10.914525
2021m7,zero,3.9142153,4.4097733,-.47696868,130355,174262,11.778017,12.068316
2021m7,middle,4.2640448,4.4842029,-.14883801,66120,60832,11.099227,11.015871
2021m7,high,4.3860602,4.285255,.19624941,96069,51212,11.472822,10.843729
2021m8,zero,3.9217789,4.2110043,-.23994377,126197,130041,11.7456,11.775605
2021m8,middle,4.3224258,4.1580973,.22017069,65279,47252,11.086426,10.76325
2021m8,high,4.4120274,3.9566157,.55694145,93745,36582,11.448334,10.507312
2021m9,zero,3.8496048,4.4790945,-.59308773,123514,166136,11.72411,12.020562
2021m9,middle,4.0506115,4.5852489,-.41760764,55082,70106,10.916578,11.157763
2021m9,high,4.4406161,4.4053926,.099332504,89042,54098,11.396863,10.898553
2021m10,zero,3.8829925,4.4131255,-.53009766,125333,167985,11.738729,12.03163
2021m10,middle,4.168119,4.4759822,-.29857764,60342,73877,11.007784,11.210156
2021m10,high,4.4135633,4.4562368,.044909339,89921,56653,11.406687,10.9447
2021m11,zero,3.8368118,4.5271072,-.63605273,121377,173536,11.706656,12.06414
2021m11,middle,4.1064191,4.57724,-.37466142,57606,79161,10.961382,11.279239
2021m11,high,4.3787932,4.3872104,.027013035,85179,58379,11.35251,10.974711
2021m12,zero,3.8339851,4.2305808,-.38293946,115037,143307,11.653009,11.872745
2021m12,middle,4.0854325,4.4093013,-.26140761,55038,68247,10.915779,11.130889
2021m12,high,4.37114,4.1923018,.19476378,79738,47716,11.286502,10.773022
2022m1,zero,3.8162677,4.2978387,-.47824499,117597,132672,11.675019,11.795635
2022m1,middle,4.1760139,4.4263515,-.28435668,55855,65653,10.930514,11.092138
2022m1,high,4.3233204,4.2655931,.14008163,82702,48086,11.322999,10.780746
2022m2,zero,3.8098347,4.3106828,-.46716741,118241,119452,11.68048,11.69067
2022m2,middle,4.090518,4.362587,-.29105303,55813,59016,10.929762,10.985564
