ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,6.3215652,4.6011596,1.7873892,996788,206478,13.812293,12.237949
2021m1,middle,6.1650763,4.5158091,2.0239346,373441,128826,12.830515,11.766218
2021m1,high,6.3593936,4.1080585,2.4290154,560072,36600,13.235821,10.507804
2021m2,zero,6.3300085,4.5750899,1.8032241,1006032,185783,13.821525,12.132335
2021m2,middle,6.1714969,4.3318577,2.0649652,376420,128294,12.838461,11.76208
2021m2,high,6.3706017,4.0783396,2.4657617,565556,36014,13.245564,10.491663
2021m3,zero,6.3234301,4.809442,1.5814229,1001119,222717,13.816628,12.313657
2021m3,middle,6.1573062,4.5177426,1.8494958,374588,133785,12.833582,11.803989
2021m3,high,6.3740139,4.2693987,2.2674785,564447,43758,13.243602,10.68643
2021m4,zero,6.3212457,4.6924753,1.6724123,997290,210803,13.812797,12.258679
2021m4,middle,6.1438551,4.3828812,1.9234962,373336,122545,12.830235,11.716233
2021m4,high,6.3668413,4.1625705,2.3486786,563647,41539,13.242184,10.634388
2021m5,zero,6.3070517,4.7808247,1.5868034,980136,231497,13.795446,12.352323
2021m5,middle,6.1218772,4.3192778,1.9252589,366963,143220,12.813016,11.872137
2021m5,high,6.3527851,4.2769265,2.2602835,559441,43299,13.234694,10.675885
2021m6,zero,6.2791238,4.7662907,1.5390862,950199,260030,13.764427,12.468553
2021m6,middle,6.1007719,4.5412173,1.8045703,360090,141170,12.794109,11.85772
2021m6,high,6.3412151,4.3079305,2.1266277,549827,48508,13.217359,10.789484
2021m7,zero,6.2450652,4.841269,1.4737581,908931,277112,13.720024,12.532177
2021m7,middle,6.0923147,4.5129209,1.7925502,348326,127562,12.760894,11.756358
2021m7,high,6.3219051,4.2947469,2.1404414,536560,49573,13.192934,10.811202
2021m8,zero,6.2307906,4.5292039,1.7440228,891107,231797,13.70022,12.353618
2021m8,middle,6.0963798,4.2893434,2.0217466,340658,107191,12.738634,11.582368
2021m8,high,6.316144,3.9755144,2.4675908,531416,36523,13.1833,10.505697
2021m9,zero,6.2110291,4.8869057,1.3758899,875276,297782,13.682295,12.604117
2021m9,middle,6.0255132,4.7042184,1.4787008,312359,151924,12.651909,11.931136
2021m9,high,6.2700238,4.3693342,1.9802253,519491,53486,13.160604,10.887176
2021m10,zero,6.2400212,4.8751321,1.4023594,878995,291304,13.686535,12.582123
2021m10,middle,6.1145449,4.7564025,1.5457889,332130,162486,12.713282,11.998347
2021m10,high,6.2827477,4.3551822,2.0060065,522948,56512,13.167237,10.942208
2021m11,zero,6.2005396,4.9683404,1.2623382,867163,324643,13.672982,12.690481
2021m11,middle,6.0903778,4.7278895,1.4905757,328098,182704,12.701068,12.115623
2021m11,high,6.2671061,4.4885201,1.8337917,516382,60067,13.154602,11.003216
2021m12,zero,6.1971869,4.6891966,1.5463043,861335,254222,13.666239,12.445963
2021m12,middle,6.0749226,4.4511523,1.6989067,324653,163121,12.690513,12.002248
2021m12,high,6.2503796,4.249114,2.0745885,507529,47766,13.137309,10.77407
2022m1,zero,6.1974754,4.8148618,1.4481654,863583,252409,13.668845,12.438807
2022m1,middle,6.080153,4.6548367,1.603122,325953,155285,12.694509,11.953017
2022m1,high,6.2620401,4.365068,2.0080383,512175,47330,13.146421,10.764899
