ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,1.9406526,1.4087853,.91966003,9328,1311,9.1407757,7.1785455
2021m1,middle,2.0754199,1.67182,.8552866,3612,1636,8.1920166,7.4000096
2021m1,high,1.6187325,1.0246592,1.3838099,3381,290,8.125927,5.6698809
2021m2,zero,2.0451066,1.3135766,1.1088438,9624,1127,9.1720152,7.0273147
2021m2,middle,2.1830463,1.7895355,1.1027775,3686,1316,8.2122974,7.1823521
2021m2,high,1.6661992,1.1100099,1.3341357,3522,295,8.1667843,5.6869755
2021m3,zero,2.0171974,1.3776776,.81321442,9723,1853,9.1822491,7.5245614
2021m3,middle,2.2055004,2.0581174,.65071017,3634,1307,8.1980896,7.1754899
2021m3,high,1.6180766,1.3582034,1.137544,3542,367,8.1724472,5.9053617
2021m4,zero,2.0455165,1.4846305,.84003454,9982,2007,9.208539,7.6043963
2021m4,middle,2.2546656,1.942709,.75970954,3694,1301,8.2144651,7.1708884
2021m4,high,1.5273278,1.3067867,1.0571938,3740,388,8.226841,5.9610052
2021m5,zero,1.9981545,1.4753767,.70024502,10171,2887,9.2272959,7.9679732
2021m5,middle,2.1747367,2.1036763,.56072408,3729,2320,8.2238951,7.7493224
2021m5,high,1.496634,1.2434645,.54890746,3949,544,8.2812176,6.2989492
2021m6,zero,2.0679455,1.9373127,-.12059866,10174,9580,9.2275906,9.1674328
2021m6,middle,2.2858195,2.2924454,-.31433481,3766,3825,8.2337685,8.2493134
2021m6,high,1.5450236,1.5120598,.11874546,4028,1647,8.3010254,7.4067106
2021m7,zero,1.9779572,2.2002051,-.52092862,9132,14779,9.1195402,9.6009626
2021m7,middle,2.0518436,2.6222353,-.76204723,3407,4928,8.1335878,8.5026884
2021m7,high,1.419925,1.8050722,-.30065751,3712,2858,8.219326,7.9578772
2021m8,zero,1.9151295,1.9372799,-.029605402,8064,7859,8.9951649,8.9694147
2021m8,middle,2.003526,2.2700136,-.3848024,2991,3365,8.0033627,8.1211834
2021m8,high,1.4906418,1.7517778,-.009155714,3343,1300,8.114624,7.1701198
2021m9,zero,2.0043242,1.835735,.11341427,8223,6435,9.0146904,8.7695074
