ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,2.8637228,2.3882265,.98970079,1978271,719972,14.497734,13.486968
2021m1,middle,2.9718392,2.2597528,1.2437983,799805,400646,13.592123,12.900833
2021m1,high,2.9484663,1.8957107,1.6388434,1186277,181274,13.98633,12.107765
2021m2,zero,2.8695235,2.3672879,1.0204955,2002029,645219,14.509672,13.377345
2021m2,middle,2.9688528,2.2098548,1.2870628,806569,395073,13.600545,12.886826
2021m2,high,2.955591,1.8530183,1.7157679,1200191,171490,13.997992,12.05228
2021m3,zero,2.8559258,2.4545941,.85111409,1973017,779038,14.495074,13.565815
2021m3,middle,2.9475582,2.3377719,1.1094304,793270,414575,13.583919,12.935009
2021m3,high,2.9386101,1.9403836,1.5381509,1183353,209731,13.983863,12.253581
2021m4,zero,2.8429348,2.4228938,.89164215,1953227,760876,14.484993,13.542226
2021m4,middle,2.9317274,2.3037183,1.1549165,784927,390341,13.573346,12.874776
2021m4,high,2.9256978,1.9199899,1.5646569,1172474,205015,13.974627,12.230839
2021m5,zero,2.8206332,2.4645629,.79217345,1886640,866966,14.450308,13.672755
2021m5,middle,2.9168098,2.3505988,1.0574635,756334,460458,13.536239,13.039977
2021m5,high,2.9004281,1.9425213,1.4907168,1138276,217296,13.945025,12.289016
2021m6,zero,2.7885287,2.5929358,.5910849,1789695,1049747,14.397555,13.864059
2021m6,middle,2.8922834,2.416158,.88708186,730691,477440,13.501746,13.076194
2021m6,high,2.8812177,2.0603635,1.283906,1093953,269973,13.905309,12.506077
2021m7,zero,2.7541709,2.6086745,.50314474,1671290,1136048,14.329106,13.943067
2021m7,middle,2.8761961,2.4761178,.82723904,700415,436150,13.459428,12.985742
2021m7,high,2.8699024,2.0598509,1.2487165,1044793,265346,13.859329,12.48879
2021m8,zero,2.742291,2.4761822,.72360224,1625123,875757,14.301094,13.682844
2021m8,middle,2.8760195,2.3041809,1.0638558,682494,346657,13.433509,12.756091
2021m8,high,2.8654358,1.8885039,1.5228148,1026298,184430,13.841469,12.125025
2021m9,zero,2.729136,2.5812976,.50419897,1591941,1092960,14.280464,13.9044
2021m9,middle,2.7818291,2.4704049,.67527616,614096,500604,13.327907,13.12357
2021m9,high,2.8134673,2.0998333,1.158995,994381,266111,13.809875,12.491669
2021m10,zero,2.7345364,2.5724149,.5391705,1603340,1089388,14.2876,13.901127
2021m10,middle,2.8196495,2.4707243,.74091059,653140,527142,13.389546,13.175225
2021m10,high,2.8139269,2.1173043,1.1413387,1000587,275086,13.816097,12.524839
2021m11,zero,2.7215822,2.5878057,.47408873,1570295,1155378,14.266774,13.959938
2021m11,middle,2.806469,2.4808996,.68377644,638314,576841,13.366586,13.265322
2021m11,high,2.7813156,2.0921032,1.132302,974078,288668,13.789247,12.573032
2021m12,zero,2.7109993,2.4494624,.70884275,1539251,937126,14.246806,13.750573
2021m12,middle,2.7973733,2.3762393,.87666082,624692,508462,13.345014,13.139146
2021m12,high,2.7691023,1.9748031,1.3064296,941962,235584,13.75572,12.369823
2022m1,zero,2.7132673,2.4797926,.63311583,1544192,883502,14.250011,13.691648
2022m1,middle,2.7968321,2.35481,.84949458,627179,479806,13.348988,13.081137
2022m1,high,2.7813139,1.991423,1.2631382,951707,232478,13.766012,12.356551
2022m2,zero,2.7085443,2.4507267,.65678984,1538398,794816,14.246252,13.585866
2022m2,middle,2.789547,2.3636162,.81884015,625268,423194,13.345936,12.955586
2022m2,high,2.7895062,1.9980927,1.2521721,948018,225290,13.762129,12.325144
2022m3,zero,2.7090163,2.5215812,.53295702,1542561,919662,14.248955,13.731762
2022m3,middle,2.780051,2.4522047,.67341781,624038,475304,13.343966,13.07171
2022m3,high,2.7747173,2.1006351,1.0645372,942164,275789,13.755935,12.527391
2022m4,zero,2.6997399,2.4249108,.65295392,1499482,833217,14.220631,13.633049
2022m4,middle,2.7730443,2.3489697,.85044634,603120,383229,13.309872,12.856388
2022m4,high,2.771745,1.9943004,1.2364515,919901,233254,13.732021,12.359883
2022m5,zero,2.6838596,2.4946499,.55776924,1449495,938005,14.186726,13.751511
2022m5,middle,2.7514081,2.4070885,.72269505,581758,449949,13.273809,13.01689
2022m5,high,2.7416387,2.030371,1.1415569,891738,251664,13.700928,12.43585
2022m6,zero,2.6696861,2.5657778,.41715273,1416129,1036835,14.163438,13.851684
2022m6,middle,2.7407899,2.4433801,.65645754,584889,445481,13.279178,13.00691
