ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,7.0057793,5.9126148,1.0931646,1978271,720372,14.497734,13.487523
2021m1,middle,6.9708114,5.7892952,1.3273444,799805,400740,13.592123,12.901068
2021m1,high,7.1564755,5.5147266,1.6684583,1186277,181317,13.98633,12.108002
2021m2,zero,7.0120554,5.9669151,1.0948846,2002029,645628,14.509672,13.377978
2021m2,middle,6.9700069,5.6302543,1.3773932,806569,395147,13.600545,12.887013
2021m2,high,7.161108,5.5048022,1.7159204,1200191,171509,13.997992,12.052391
2021m3,zero,6.9905238,6.1059461,.91031152,1973017,779642,14.495074,13.56659
2021m3,middle,6.9457927,5.8245583,1.1683891,793270,414702,13.583919,12.935315
2021m3,high,7.1491528,5.6940975,1.5233307,1183353,209763,13.983863,12.253734
2021m4,zero,6.9807034,6.044476,.96181452,1953227,761353,14.484993,13.542852
2021m4,middle,6.927228,5.8411689,1.18349,784927,390450,13.573346,12.875055
2021m4,high,7.1296,5.7742343,1.4940113,1172474,205042,13.974627,12.23097
2021m5,zero,6.949368,6.0438299,.90553808,1886640,867386,14.450308,13.67324
2021m5,middle,6.8822799,5.8030052,1.1259172,756334,460598,13.536239,13.040281
2021m5,high,7.0958757,5.7883558,1.4337114,1138276,217324,13.945025,12.289145
2021m6,zero,6.905725,6.2222543,.70948935,1789695,1050346,14.397555,13.86463
2021m6,middle,6.838625,6.0290976,.93718511,730691,477700,13.501746,13.076738
2021m6,high,7.063592,5.8516994,1.2395351,1093953,270001,13.905309,12.506181
2021m7,zero,6.8512292,6.2178125,.64541101,1671290,1136485,14.329106,13.943451
2021m7,middle,6.8176856,5.9485145,.91856301,700415,436385,13.459428,12.98628
2021m7,high,7.0299602,5.8452597,1.213936,1044793,265380,13.859329,12.488918
2021m8,zero,6.833559,5.9349675,.9118337,1625123,876210,14.301094,13.683361
2021m8,middle,6.8153057,5.6875525,1.2067664,682494,346899,13.433509,12.756789
2021m8,high,7.0213871,5.5226808,1.5632066,1026298,184454,13.841469,12.125155
2021m9,zero,6.8049116,6.2515864,.56662834,1591941,1093534,14.280464,13.904925
2021m9,middle,6.7321701,6.0481877,.68398207,614096,500859,13.327907,13.12408
2021m9,high,6.9666147,5.9586535,1.03664,994381,266139,13.809875,12.491774
2021m10,zero,6.8381171,6.1970272,.64109027,1603340,1089745,14.2876,13.901454
2021m10,middle,6.7680726,6.0487761,.76501775,653140,527292,13.389546,13.175509
2021m10,high,6.9760003,5.9089794,1.0960842,1000587,275118,13.816097,12.524956
2021m11,zero,6.7893209,6.2954736,.50801551,1570295,1155877,14.266774,13.96037
2021m11,middle,6.7414174,6.0952964,.67674202,638314,576976,13.366586,13.265556
2021m11,high,6.9494414,5.9730849,1.0044293,974078,288693,13.789247,12.573119
2021m12,zero,6.7784472,6.0672846,.75176269,1539251,937398,14.246806,13.750863
2021m12,middle,6.7152953,5.8618984,.89637285,624692,508556,13.345014,13.139331
2021m12,high,6.9182825,5.758122,1.1882303,941962,235596,13.75572,12.369874
2022m1,zero,6.7753954,6.1381354,.6644209,1544192,883883,14.250011,13.69208
2022m1,middle,6.7206078,5.9690218,.82384074,627179,479940,13.348988,13.081416
2022m1,high,6.9269471,5.7837677,1.1701391,951707,232509,13.766012,12.356685
2022m2,zero,6.7609019,6.0952668,.69206625,1538398,795372,14.246252,13.586565
2022m2,middle,6.6965871,5.8769732,.81961364,625268,423357,13.345936,12.955971
2022m2,high,6.9114008,5.8428106,1.1304439,948018,225328,13.762129,12.325313
2022m3,zero,6.7591372,6.2453933,.53019649,1542561,920462,14.248955,13.732631
2022m3,middle,6.689075,6.0788956,.6101796,624038,475551,13.343966,13.072229
2022m3,high,6.9012785,5.9998808,.92711836,942164,275828,13.755935,12.527533
2022m4,zero,6.7373185,6.0498085,.70061845,1499482,833416,14.220631,13.633288
2022m4,middle,6.6545353,5.8921189,.83914709,603120,383386,13.309872,12.856797
2022m4,high,6.8705106,5.8194838,1.1158803,919901,233291,13.732021,12.360042
2022m5,zero,6.7354083,6.117641,.61774194,1449495,938711,14.186726,13.752263
2022m5,middle,6.6262193,5.90622,.71999955,581758,450197,13.273809,13.017441
2022m5,high,6.8422294,5.9329352,.99404818,891738,251687,13.700928,12.435942
2022m6,zero,6.6820025,6.2214298,.47400984,1416129,1037378,14.163438,13.852207
2022m6,middle,6.6117973,6.0397768,.61648196,584889,445731,13.279178,13.007471
2022m6,high,6.8254504,5.9655309,.90898621,879564,285879,13.687181,12.563324
2022m7,zero,6.677403,6.1536331,.52376986,1402640,1007688,14.153867,13.823169
2022m7,middle,6.6408792,6.0421576,.64341748,597006,377771,13.299683,12.842044
2022m7,high,6.8530135,5.8935871,.98722368,884166,270056,13.6924,12.506385
2022m8,zero,6.6918612,5.9053788,.82157755,1418466,781709,14.165087,13.569238
2022m8,middle,6.6623034,5.7037096,1.0034623,606517,307400,13.315488,12.635905
2022m8,high,6.8755903,5.5675311,1.3360397,899257,194682,13.709324,12.179123
2022m9,zero,6.68784,6.1253529,.59002072,1437868,905858,14.178672,13.716638
2022m9,middle,6.6491141,6.1977324,.56890488,599057,469201,13.303112,13.058786
2022m9,high,6.8425193,5.9440904,.92470139,891002,264249,13.700102,12.484647
2022m10,zero,6.6896415,6.0690804,.64809757,1434039,847577,14.176005,13.650137
2022m10,middle,6.6393304,6.1105714,.68544406,582806,420474,13.27561,12.949138
2022m10,high,6.866127,5.928822,.99799591,898047,256088,13.707977,12.453277
2022m11,zero,6.6856418,5.9578328,.74245119,1420419,768185,14.166463,13.551785
2022m11,middle,6.6346087,5.841393,.79321599,574717,410613,13.261633,12.925406
2022m11,high,6.8583169,5.7836432,1.1022555,886244,245485,13.694748,12.410991
2022m12,zero,6.6743903,5.6751995,1.0144336,1402395,638006,14.153692,13.366103
2022m12,middle,6.6237164,5.5829873,1.0407289,565318,358236,13.245144,12.788947
2022m12,high,6.8504119,5.5521808,1.36315,869940,193675,13.67618,12.173937
2023m1,zero,6.6983891,5.9089413,.81494969,1438313,641943,14.178982,13.372254
2023m1,middle,6.6433101,5.7959194,.89210606,576007,362295,13.263875,12.800214
2023m1,high,6.8731833,5.698101,1.2035851,894077,196511,13.703547,12.188474
2023m2,zero,6.7221189,5.8489089,.89772409,1440412,586232,14.18044,13.281471
2023m2,middle,6.640512,5.7118511,.92866081,574804,310759,13.261785,12.646773
2023m2,high,6.8757949,5.8035359,1.1736088,895799,187811,13.705471,12.143191
2023m3,zero,6.6752281,5.9679928,.70723557,1416731,729381,14.163862,13.499951
2023m3,middle,6.6176391,5.9392328,.70684642,563424,366333,13.241788,12.811298
2023m3,high,6.8671403,5.884769,1.0430642,882105,219379,13.690066,12.298556
2023m4,zero,6.648664,5.8416038,.84660196,1380547,646842,14.13799,13.379857
2023m4,middle,6.5815134,5.7194247,.90630573,547611,322697,13.213321,12.684469
2023m4,high,6.8438501,5.6761847,1.2268202,860212,187777,13.664934,12.14301
2023m5,zero,6.6324883,5.9931955,.66396254,1353181,781926,14.117969,13.569515
2023m5,middle,6.554492,5.8272772,.72721481,537811,407442,13.195263,12.917654
2023m5,high,6.8317256,5.8296394,1.0652847,847632,222269,13.650202,12.311644
2023m6,zero,6.6180272,6.0204902,.61102599,1321785,859710,14.094494,13.664351
2023m6,middle,6.5387826,5.877759,.70816547,533094,379294,13.186453,12.846066
2023m6,high,6.8318043,5.8999019,.99421525,833963,253799,13.633945,12.444298
2023m7,zero,6.6150203,5.9677706,.66105729,1302441,853176,14.079751,13.656721
2023m7,middle,6.5704842,5.8088036,.80907887,538625,334588,13.196774,12.720655
2023m7,high,6.852356,5.8100514,1.1411028,836808,243619,13.63735,12.40336
2023m8,zero,6.6267734,5.6827183,.95727283,1309350,654557,14.085041,13.391714
2023m8,middle,6.5988936,5.5965586,1.1247052,545515,267584,13.209486,12.497189
2023m8,high,6.8714461,5.383873,1.5495982,847835,166690,13.650441,12.023891
2023m9,zero,6.6310148,5.9476504,.69631547,1325425,766196,14.097243,13.549193
2023m9,middle,6.5961518,5.8856292,.71052265,540501,377783,13.200252,12.842075
2023m9,high,6.8507109,5.7575259,1.1250443,844136,224189,13.646069,12.320245
2023m10,zero,6.6479177,5.9597335,.70134181,1352508,779888,14.117471,13.566906
2023m10,middle,6.6018028,5.9621677,.751683,544907,375047,13.20837,12.834806
2023m10,high,6.8820825,5.8696203,1.0810729,861989,241579,13.666998,12.394952
2023m11,zero,6.6407452,5.9174924,.75382745,1344323,721023,14.111402,13.488426
2023m11,middle,6.5849166,5.7827554,.83241653,539617,387989,13.198615,12.868732
2023m11,high,6.8731313,5.7214422,1.1788987,850891,247281,13.654039,12.418281
2023m12,zero,6.6336403,5.5697012,1.0774899,1332575,605378,14.102624,13.313608
2023m12,middle,6.58286,5.6604114,1.0780078,534620,329040,13.189311,12.703935
2023m12,high,6.8634462,5.4697347,1.4548564,840261,181735,13.641468,12.110305
2024m1,zero,6.6504226,5.9459653,.75718361,1365061,656008,14.12671,13.393929
2024m1,middle,6.5993943,5.8012495,.86283648,544598,328114,13.207803,12.701117
2024m1,high,6.8749232,5.7102566,1.2342761,858201,201478,13.662594,12.213435
2024m2,zero,6.648087,5.8644991,.81093788,1365464,618870,14.127005,13.33565
2024m2,middle,6.5912209,5.835403,.82622987,541054,323104,13.201274,12.68573
2024m2,high,6.8697634,5.7537479,1.2099229,853890,195433,13.657557,12.182973
2024m3,zero,6.6439958,5.7737975,.88395184,1349309,625005,14.115103,13.345515
2024m3,middle,6.5744104,5.6162281,.95818257,533783,305544,13.187745,12.629849
2024m3,high,6.8672218,5.6405807,1.2837961,843911,192939,13.645802,12.17013
2024m4,zero,6.6184716,5.8948326,.75090367,1320455,706849,14.093487,13.468573
2024m4,middle,6.5329556,5.8137875,.8066749,519329,349313,13.160293,12.763723
2024m4,high,6.8465266,5.7604976,1.14381,826716,211278,13.625216,12.26093
2024m5,zero,6.5932012,5.9026194,.70827681,1287394,753612,14.06813,13.532633
2024m5,middle,6.5148058,5.8027616,.80489141,507808,371822,13.137858,12.826171
2024m5,high,6.8246284,5.8130822,1.1388832,812648,214219,13.608053,12.274755
2024m6,zero,6.5750322,5.9202166,.68173355,1258322,796891,14.04529,13.588473
2024m6,middle,6.5023041,5.8645458,.75073665,502287,341915,13.126927,12.742317
2024m6,high,6.8085032,5.747735,1.1191679,800458,241157,13.592939,12.393204
2024m7,zero,6.5763416,6.0110407,.58269209,1239110,915221,14.029904,13.726921
2024m7,middle,6.5342646,5.8616791,.7196914,508083,344305,13.1384,12.749283
2024m7,high,6.8303494,5.7836552,1.0751346,803044,261990,13.596165,12.476062
2024m8,zero,6.590394,5.6188793,.99727333,1245227,624170,14.034828,13.344178
2024m8,middle,6.5639663,5.472868,1.177627,513938,252470,13.149858,12.439048
2024m8,high,6.8557506,5.3146424,1.6199982,812956,163519,13.608432,12.004684
2024m9,zero,6.5906997,5.9662952,.65028822,1253646,788728,14.041567,13.578176
2024m9,middle,6.5547142,5.9293451,.66253668,507254,380522,13.136767,12.849299
2024m9,high,6.8429217,5.9009805,1.0570978,812763,240330,13.608195,12.389769
2024m10,zero,6.6021347,6.0158329,.59913826,1274576,860337,14.058125,13.665079
2024m10,middle,6.5623627,5.9593935,.68149751,508552,412116,13.139322,12.92906
2024m10,high,6.8539209,5.9271312,1.0298998,818926,254554,13.615749,12.447268
2024m11,zero,6.5969043,5.851037,.75694621,1268093,698497,14.053024,13.456686
2024m11,middle,6.5663743,5.7624755,.83616811,504588,384964,13.131497,12.860905
2024m11,high,6.852212,5.7280574,1.2217438,813337,218021,13.608901,12.292347
2024m12,zero,6.5989475,5.6403689,.98449832,1257482,633733,14.044621,13.359383
2024m12,middle,6.5571532,5.5165191,1.1181204,499883,357547,13.122129,12.787022
2024m12,high,6.8463683,5.5670285,1.4225781,803353,191426,13.596549,12.162256
2025m1,zero,6.611434,5.9001775,.73778689,1273732,661111,14.057462,13.401677
