event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-20,bevent_m20,-0.03303317768907593,0.020771532532221942,0.11176492625942003,-0.07374538145223095,0.007679026074079075,sample1_total_ocup4d,ln_parados
-19,bevent_m19,-0.034676306200715296,0.020859297085467892,0.09643441707984435,-0.07556052848823236,0.006207916086801775,sample1_total_ocup4d,ln_parados
-18,bevent_m18,-0.025100442187592276,0.019879455010558808,0.20672135096591715,-0.06406417400828754,0.013863289633102988,sample1_total_ocup4d,ln_parados
-17,bevent_m17,-0.03483268357123337,0.01889773095866328,0.06529683482541682,-0.0718722362502134,0.002206869107746659,sample1_total_ocup4d,ln_parados
-16,bevent_m16,-0.03722119887633932,0.01820471662595609,0.04089520238831956,-0.07290244346321326,-0.0015399542894653853,sample1_total_ocup4d,ln_parados
-15,bevent_m15,-0.02586203244115623,0.01683639528396519,0.12451901754892347,-0.058861367197728,0.007137302315415539,sample1_total_ocup4d,ln_parados
-14,bevent_m14,-0.004998211807882513,0.013437470245091893,0.7099220564351423,-0.03133565348826262,0.021339229872497596,sample1_total_ocup4d,ln_parados
-13,bevent_m13,0.004098964165674623,0.012934063408517044,0.7513101262446105,-0.021251800115018784,0.02944972844636803,sample1_total_ocup4d,ln_parados
-12,bevent_m12,-0.004142644614233387,0.014232484521174359,0.7709980337247679,-0.03203831427573513,0.023753025047268356,sample1_total_ocup4d,ln_parados
-11,bevent_m11,-0.02119915217248111,0.014182405563100882,0.13497967301290537,-0.04899666707615884,0.006598362731196617,sample1_total_ocup4d,ln_parados
-10,bevent_m10,-0.02360835765696001,0.014379281329544615,0.10062492002950463,-0.05179174906286746,0.0045750337489474345,sample1_total_ocup4d,ln_parados
-9,bevent_m9,-0.043893769839178504,0.013354924211349343,0.0010136497746155992,-0.07006942129342322,-0.01771811838493379,sample1_total_ocup4d,ln_parados
-8,bevent_m8,-0.0321772892926899,0.013504300631230905,0.01718414668417223,-0.05864571852990247,-0.005708860055477324,sample1_total_ocup4d,ln_parados
-7,bevent_m7,-0.03323024769221336,0.01347830134923975,0.01368364651021059,-0.05964771833672327,-0.006812777047703451,sample1_total_ocup4d,ln_parados
-6,bevent_m6,-0.04158774847937355,0.013039017796785752,0.0014252665648160079,-0.06714422336107362,-0.016031273597673475,sample1_total_ocup4d,ln_parados
-5,bevent_m5,-0.05053699354721072,0.012086963509104898,2.9008213297876395e-05,-0.07422744202505632,-0.026846545069365124,sample1_total_ocup4d,ln_parados
-4,bevent_m4,-0.05226134401244839,0.012857780649551535,4.8121183521931954e-05,-0.0774625940855694,-0.027060093939327384,sample1_total_ocup4d,ln_parados
-3,bevent_m3,-0.040280980622546786,0.010989978757921107,0.0002471005148432237,-0.061821338988072155,-0.018740622257021416,sample1_total_ocup4d,ln_parados
-2,bevent_m2,-0.00811845116261134,0.004888691613194114,0.09678189313023,-0.017700286724471805,0.0014633843992491232,sample1_total_ocup4d,ln_parados
-1,reference,0.0,,,,,sample1_total_ocup4d,ln_parados
0,bevent_0,-0.01116690746379076,0.009082152880777163,0.21886787505064964,-0.028967927110114,0.00663411218253248,sample1_total_ocup4d,ln_parados
1,bevent_p1,-0.007243816747277948,0.011566359454382022,0.5311291959457787,-0.02991388127786671,0.015426247783310813,sample1_total_ocup4d,ln_parados
2,bevent_p2,-0.011054259836783487,0.012636403178356589,0.3816855651335227,-0.035821610066362405,0.013713090392795429,sample1_total_ocup4d,ln_parados
3,bevent_p3,-0.0077076591331630695,0.01240843924170072,0.534492604497141,-0.03202820004689648,0.01661288178057034,sample1_total_ocup4d,ln_parados
4,bevent_p4,-0.008935205375845023,0.013894761734840952,0.5201833051855143,-0.03616893837613329,0.018298527624443242,sample1_total_ocup4d,ln_parados
5,bevent_p5,-0.005406431104367504,0.01505387342815524,0.7194912039826118,-0.03491202302355177,0.024099160814816764,sample1_total_ocup4d,ln_parados
6,bevent_p6,0.008182822556948077,0.015856729217369404,0.6058213625097837,-0.022896366709095953,0.039262011822992104,sample1_total_ocup4d,ln_parados
