event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-20,bevent_m20,-0.045821540433076374,0.015970051352904076,0.004114895772272753,-0.07712284108476836,-0.014520239781384385,sample2_province_ocup4d,ln_parados_p1
-19,bevent_m19,-0.04575533186124801,0.0159446551601572,0.004109465715348648,-0.07700685597515611,-0.014503807747339899,sample2_province_ocup4d,ln_parados_p1
-18,bevent_m18,-0.04445549648057334,0.015275779408229297,0.003612033465985043,-0.07439602412070276,-0.014514968840443919,sample2_province_ocup4d,ln_parados_p1
-17,bevent_m17,-0.0467570428145207,0.014838985977091323,0.0016273509229374206,-0.0758414553296197,-0.017672630299421704,sample2_province_ocup4d,ln_parados_p1
-16,bevent_m16,-0.04839595980827402,0.014450430210531573,0.0008107404229740212,-0.07671880302091591,-0.020073116595632136,sample2_province_ocup4d,ln_parados_p1
-15,bevent_m15,-0.04060496730229475,0.012411234966009413,0.0010692945666201936,-0.06493098783567319,-0.0162789467689163,sample2_province_ocup4d,ln_parados_p1
-14,bevent_m14,-0.015224730424445197,0.008889080958119012,0.086759432299506,-0.03264732910235846,0.0021978682534680646,sample2_province_ocup4d,ln_parados_p1
-13,bevent_m13,-0.00995943579586625,0.008717930416539909,0.2532843557479345,-0.02704657941228447,0.007127707820551971,sample2_province_ocup4d,ln_parados_p1
-12,bevent_m12,-0.016809979883765976,0.010817095826206215,0.12017972040799396,-0.03801148770313016,0.004391527935598206,sample2_province_ocup4d,ln_parados_p1
-11,bevent_m11,-0.03389643800655317,0.011277474346815222,0.0026499088006013416,-0.05600028772631101,-0.011792588286795334,sample2_province_ocup4d,ln_parados_p1
-10,bevent_m10,-0.03732544313008185,0.011943430996743104,0.001776926752602881,-0.06073456788369833,-0.013916318376465363,sample2_province_ocup4d,ln_parados_p1
-9,bevent_m9,-0.05614490693922374,0.0113944683789104,8.333840246788071e-07,-0.07847806496188812,-0.03381174891655936,sample2_province_ocup4d,ln_parados_p1
-8,bevent_m8,-0.04967138925841447,0.01175182942393164,2.3714960723619782e-05,-0.07270497492932049,-0.026637803587508453,sample2_province_ocup4d,ln_parados_p1
-7,bevent_m7,-0.05135472110859755,0.012144821597772996,2.3522499376982253e-05,-0.07515857144023262,-0.027550870776962475,sample2_province_ocup4d,ln_parados_p1
-6,bevent_m6,-0.06015584605190154,0.0122725964799254,9.504003044558118e-07,-0.08421013515255532,-0.036101556951247754,sample2_province_ocup4d,ln_parados_p1
-5,bevent_m5,-0.06063771706977508,0.011719871474712498,2.2922885145604255e-07,-0.08360866516021158,-0.037666768979338586,sample2_province_ocup4d,ln_parados_p1
