event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-20,bevent_m20,-0.005545157023628677,0.03707940714118619,0.8811211122872826,-0.0782207950203536,0.06713048097309625,sample4_age3039_ocup4d,ln_parados
-19,bevent_m19,-0.00989849731942587,0.036867395398033416,0.788322790647561,-0.08215859229957136,0.06236159766071962,sample4_age3039_ocup4d,ln_parados
-18,bevent_m18,-0.0022121156473121598,0.03535084591683219,0.9501041161023409,-0.07149977364430325,0.06707554234967893,sample4_age3039_ocup4d,ln_parados
-17,bevent_m17,-0.037068416326509465,0.03375401374517562,0.272120290650659,-0.10322628326705369,0.029089450614034756,sample4_age3039_ocup4d,ln_parados
-16,bevent_m16,-0.02180739226203039,0.034279773031336114,0.5246726767880061,-0.08899574740344918,0.04538096287938839,sample4_age3039_ocup4d,ln_parados
-15,bevent_m15,0.002372270816197867,0.03234143255605444,0.9415269466991525,-0.061016936993668835,0.06576147862606457,sample4_age3039_ocup4d,ln_parados
-14,bevent_m14,0.03998220137143508,0.02945403819879994,0.1746402409125205,-0.017747713498212803,0.09771211624108296,sample4_age3039_ocup4d,ln_parados
-13,bevent_m13,0.021746599655704104,0.03185432077976256,0.4948032776999882,-0.040687869072630514,0.08418106838403872,sample4_age3039_ocup4d,ln_parados
-12,bevent_m12,0.0357719928596531,0.03184734721045908,0.2613385305385041,-0.02664880767284669,0.0981927933921529,sample4_age3039_ocup4d,ln_parados
-11,bevent_m11,-0.008014953900343708,0.03147044415879174,0.7989687629999567,-0.06969702445157551,0.053667116650888094,sample4_age3039_ocup4d,ln_parados
-10,bevent_m10,-0.00036650103586843586,0.031037921358950518,0.9905786628177629,-0.061200826899411455,0.06046782482767458,sample4_age3039_ocup4d,ln_parados
-9,bevent_m9,-0.017322539141697072,0.03281865149528651,0.5976200757754642,-0.08164709607245862,0.04700201778906449,sample4_age3039_ocup4d,ln_parados
-8,bevent_m8,-0.029473763412574325,0.030440551808014853,0.3329244643828686,-0.08913724495628343,0.030189718131134784,sample4_age3039_ocup4d,ln_parados
-7,bevent_m7,-0.03946412780002219,0.03134934160659022,0.20808441145220513,-0.10090883734893902,0.02198058174889464,sample4_age3039_ocup4d,ln_parados
-6,bevent_m6,-0.05959607369715063,0.02957803162487305,0.043917616166502915,-0.11756901568190181,-0.0016231317123994518,sample4_age3039_ocup4d,ln_parados
-5,bevent_m5,-0.0512684892995866,0.02679241715662243,0.05567834985480702,-0.10378162692656656,0.0012446483273933634,sample4_age3039_ocup4d,ln_parados
-4,bevent_m4,-0.03748931286429457,0.021178089321578802,0.07669493690701956,-0.07899836793458903,0.004019742205999884,sample4_age3039_ocup4d,ln_parados
-3,bevent_m3,-0.034886595618183525,0.01943584908947635,0.07265987696468312,-0.07298085983355718,0.0032076685971901206,sample4_age3039_ocup4d,ln_parados
