event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-20,bevent_m20,-0.020507750078034147,0.02346907006219838,0.3822161180559469,-0.06650712739994297,0.02549162724387468,sample4_age_ocup4d,ln_parados
-19,bevent_m19,-0.023466735103363612,0.023809662540716404,0.32433084619024033,-0.07013367368316777,0.023200203476440542,sample4_age_ocup4d,ln_parados
-18,bevent_m18,-0.009020378888700496,0.02352263254796858,0.7013664254523881,-0.05512473868271891,0.03708398090531791,sample4_age_ocup4d,ln_parados
-17,bevent_m17,-0.028826771596233595,0.022290213354896452,0.19592533392814726,-0.07251558977183065,0.014862046579363453,sample4_age_ocup4d,ln_parados
-16,bevent_m16,-0.04139093250138086,0.023272976910745105,0.07532217337819813,-0.08700596724644127,0.004224102243679549,sample4_age_ocup4d,ln_parados
-15,bevent_m15,-0.019881433502958637,0.021116438762642204,0.3464412568093769,-0.06126965347773736,0.021506786471820083,sample4_age_ocup4d,ln_parados
-14,bevent_m14,0.008118944231170782,0.018407166194879473,0.6591585677950156,-0.027959101510792984,0.044196989973134544,sample4_age_ocup4d,ln_parados
-13,bevent_m13,0.030956889062420365,0.018381771229823946,0.09216078721217258,-0.005071382548034572,0.0669851606728753,sample4_age_ocup4d,ln_parados
-12,bevent_m12,0.026526935156449726,0.01921773857916767,0.16748323546905697,-0.011139832458718909,0.06419370277161836,sample4_age_ocup4d,ln_parados
-11,bevent_m11,0.00972208324328243,0.019115674009853607,0.6110380774750708,-0.02774463781603064,0.0471888043025955,sample4_age_ocup4d,ln_parados
-10,bevent_m10,0.010308574154984103,0.0196175060508728,0.5992507194811436,-0.028141737704726583,0.04875888601469479,sample4_age_ocup4d,ln_parados
-9,bevent_m9,-0.014421343264698348,0.019228506414482746,0.4532558494527059,-0.052109215837084534,0.023266529307687835,sample4_age_ocup4d,ln_parados
-8,bevent_m8,-0.015124769197383644,0.01952231318441868,0.4384917270170483,-0.053388503038844265,0.023138964644076974,sample4_age_ocup4d,ln_parados
-7,bevent_m7,-0.03221500796505079,0.019676370463282255,0.10157961900107892,-0.07078069407308402,0.006350678142982423,sample4_age_ocup4d,ln_parados
-6,bevent_m6,-0.03976099420531088,0.019616665377289233,0.04267277010548787,-0.07820965834479778,-0.0013123300658239856,sample4_age_ocup4d,ln_parados
-5,bevent_m5,-0.04812636264660754,0.01783950769062652,0.006981183416016723,-0.0830917977202355,-0.013160927572979562,sample4_age_ocup4d,ln_parados
-4,bevent_m4,-0.05907767418002014,0.017757506326049406,0.0008781386432310523,-0.09388238657907697,-0.02427296178096331,sample4_age_ocup4d,ln_parados
-3,bevent_m3,-0.023032533065120528,0.013292722549740784,0.08314589143828677,-0.04908626926261246,0.003021203132371409,sample4_age_ocup4d,ln_parados
-2,bevent_m2,-0.0010298838920642368,0.01104792390346244,0.9257290428819185,-0.022683814742850618,0.020624046958722143,sample4_age_ocup4d,ln_parados
-1,reference,0.0,,,,,sample4_age_ocup4d,ln_parados
0,bevent_0,-0.011978786067883353,0.014489332730739433,0.4083893301859489,-0.04037787822013264,0.016420306084365933,sample4_age_ocup4d,ln_parados
1,bevent_p1,0.010141626236621275,0.01532879700591099,0.5082236707313297,-0.019902815894964267,0.04018606836820682,sample4_age_ocup4d,ln_parados
2,bevent_p2,0.0010690061362569614,0.016933416799927346,0.9496630073209642,-0.032120490791600634,0.03425850306411456,sample4_age_ocup4d,ln_parados
3,bevent_p3,-0.0048040206717865986,0.016352521829565293,0.7689271025265059,-0.03685496345773457,0.027246922114161375,sample4_age_ocup4d,ln_parados
4,bevent_p4,-0.007079120184314453,0.018248061534973055,0.6980617664808066,-0.042845320792861644,0.028687080424232736,sample4_age_ocup4d,ln_parados
5,bevent_p5,-0.00880213767244939,0.018513984820855704,0.6344792120972758,-0.045089547921326564,0.027485272576427786,sample4_age_ocup4d,ln_parados
