sample,subgroup,event_time,estimate,std_error,ci_low,ci_high,overall_att,overall_se
total_cno4,all,-20,0.0021975269076632887,4.955730221538202e-4,3.80627518476053e-4,0.004014426296850525,0.020405895775075282,0.003403458109803279
total_cno4,all,-19,0.002693125194103451,5.180685940208246e-4,7.937511968212421e-4,0.00459249919138566,0.020405895775075282,0.003403458109803279
total_cno4,all,-18,0.001828487764713583,6.939070698862653e-4,-7.155557466737954e-4,0.004372531276100961,0.020405895775075282,0.003403458109803279
total_cno4,all,-17,0.0026568746901514126,6.540925043886903e-4,2.588017148898807e-4,0.005054947665412944,0.020405895775075282,0.003403458109803279
total_cno4,all,-16,0.0051344230506888125,0.0012525424431652403,5.422771949128938e-4,0.009726568906464731,0.020405895775075282,0.003403458109803279
total_cno4,all,-15,-0.0017899408998166408,0.0014535145552147593,-0.007118902706629342,0.00353902090699606,0.020405895775075282,0.003403458109803279
total_cno4,all,-14,2.0943569381262812e-4,0.0010211335030205966,-0.003534304895320735,0.003953176282945991,0.020405895775075282,0.003403458109803279
total_cno4,all,-13,-0.0010745344150443052,0.001050189239708486,-0.004924800880043901,0.00277573204995529,0.020405895775075282,0.003403458109803279
total_cno4,all,-12,-0.003489394469814596,0.0012124724950702812,-0.007934633490545127,9.558445509159352e-4,0.020405895775075282,0.003403458109803279
total_cno4,all,-11,-8.379423657827452e-4,7.763448106509269e-4,-0.003684224042174188,0.0020083393106086977,0.020405895775075282,0.003403458109803279
total_cno4,all,-10,-0.002115879656791762,8.28703842790084e-4,-0.005154123141553278,9.223638279697538e-4,0.020405895775075282,0.003403458109803279
total_cno4,all,-9,2.887141061471374e-4,8.289358466591556e-4,-0.0027503799650449574,0.003327808177339232,0.020405895775075282,0.003403458109803279
total_cno4,all,-8,0.00317787112663421,8.147766287320872e-4,1.9068842521614317e-4,0.006165053828052277,0.020405895775075282,0.003403458109803279
total_cno4,all,-7,-0.001449992862441628,0.0010159756987633273,-0.005174823601793718,0.0022748378769104627,0.020405895775075282,0.003403458109803279
total_cno4,all,-6,0.005354963554166326,0.001142014926981069,0.0011680402744108425,0.00954188683392181,0.020405895775075282,0.003403458109803279
total_cno4,all,-5,-3.5021332722122846e-4,7.84844511610973e-4,-0.0032276571145271526,0.0025272304600846953,0.020405895775075282,0.003403458109803279
total_cno4,all,-4,0.0034058398026977237,7.809057246231481e-4,5.42836631309945e-4,0.0062688429740855025,0.020405895775075282,0.003403458109803279
total_cno4,all,-3,6.532344957157243e-6,0.0010721266856236714,-0.003924162493464381,0.003937227183378696,0.020405895775075282,0.003403458109803279
total_cno4,all,-2,6.868255928848226e-4,7.188194543768732e-4,-0.0019485531892714592,0.0033222043750411046,0.020405895775075282,0.003403458109803279
total_cno4,all,-1,-9.638741040069287e-4,0.0011649636827977795,-0.005234933481899422,0.003307185273885564,0.020405895775075282,0.003403458109803279
total_cno4,all,0,0.0016218613346371538,0.0011865240578241775,-0.002728243976881548,0.005971966646155855,0.020405895775075282,0.003403458109803279
total_cno4,all,1,8.640418056490851e-4,0.001549187234054814,-0.0048156808859892795,0.00654376449728745,0.020405895775075282,0.003403458109803279
total_cno4,all,2,0.0016755830484792343,0.0017458900170770563,-0.004725303125326269,0.008076469222284737,0.020405895775075282,0.003403458109803279
total_cno4,all,3,0.0025644360637945463,0.001745759105538619,-0.003835970154316051,0.008964842281905144,0.020405895775075282,0.003403458109803279
total_cno4,all,4,0.004683454901182375,0.002352236409780863,-0.003940454603779123,0.013307364406143874,0.020405895775075282,0.003403458109803279
total_cno4,all,5,0.006638544984193863,0.0026478128020319203,-0.0030690243297804513,0.01634611429816818,0.020405895775075282,0.003403458109803279
total_cno4,all,6,0.010726601873822957,0.0019896814602241046,0.0034319129618904758,0.01802129078575544,0.020405895775075282,0.003403458109803279
total_cno4,all,7,0.01533385342423696,0.0023554083782841755,0.0066983146590482955,0.023969392189425624,0.020405895775075282,0.003403458109803279
total_cno4,all,8,0.02002577541467878,0.0022724975407074468,0.011694209310260587,0.028357341519096975,0.020405895775075282,0.003403458109803279
total_cno4,all,9,0.02031499210018355,0.0026473596514080652,0.010609084154070046,0.030020900046297053,0.020405895775075282,0.003403458109803279
total_cno4,all,10,0.01836443766792175,0.0028151975847920895,0.008043192274013863,0.028685683061829635,0.020405895775075282,0.003403458109803279
total_cno4,all,11,0.01614567150723362,0.0019488891162816136,0.009000537921114703,0.02329080509335254,0.020405895775075282,0.003403458109803279
total_cno4,all,12,0.01620116920886563,0.0036203085961961996,0.0029281777766231414,0.02947416064110812,0.020405895775075282,0.003403458109803279
total_cno4,all,13,0.017388444441752485,0.0035154983833036446,0.0044997144669990195,0.03027717441650595,0.020405895775075282,0.003403458109803279
total_cno4,all,14,0.016556679288738524,0.0026596455261169816,0.006805728135556877,0.026307630441920173,0.020405895775075282,0.003403458109803279
total_cno4,all,15,0.014444825056305424,0.0043142173456262355,-0.0013722160449680491,0.030261866157578896,0.020405895775075282,0.003403458109803279
total_cno4,all,16,0.013895586577821976,0.0036309959998754777,5.834123483955608e-4,0.02720776080724839,0.020405895775075282,0.003403458109803279
total_cno4,all,17,0.018085047184702437,0.004613500256507804,0.0011707572146111601,0.03499933715479371,0.020405895775075282,0.003403458109803279
total_cno4,all,18,0.021191099112445006,0.0045148946212108226,0.004638323007178067,0.03774387521771194,0.020405895775075282,0.003403458109803279
total_cno4,all,19,0.02076002698151818,0.0042180734452304,0.005295474385660264,0.0362245795773761,0.020405895775075282,0.003403458109803279
total_cno4,all,20,0.022202660450445142,0.004447459745688815,0.005897118110271701,0.03850820279061858,0.020405895775075282,0.003403458109803279
total_cno4,all,21,0.022559018607687796,0.006320493391967235,-6.135514674903836e-4,0.045731588682865976,0.020405895775075282,0.003403458109803279
total_cno4,all,22,0.020869955639361566,0.005761827957663682,-2.544018799057503e-4,0.04199431315862888,0.020405895775075282,0.003403458109803279
total_cno4,all,23,0.019537262599811565,0.0051130595840761395,7.914584097231149e-4,0.03828306678990001,0.020405895775075282,0.003403458109803279
total_cno4,all,24,0.019108576988109496,0.005937752244744931,-0.002660764651463525,0.040877918627682516,0.020405895775075282,0.003403458109803279
total_cno4,all,25,0.01947136928806335,0.006021136075480028,-0.002603679128025175,0.04154641770415188,0.020405895775075282,0.003403458109803279
total_cno4,all,26,0.021221846431173717,0.0050377833882002225,0.0027520243228234473,0.03969166853952399,0.020405895775075282,0.003403458109803279
total_cno4,all,27,0.018458029090398922,0.005073120798252205,-1.413491395898213e-4,0.03705740732038766,0.020405895775075282,0.003403458109803279
total_cno4,all,28,0.022687481140882825,0.004455912487976005,0.00635094885248378,0.03902401342928187,0.020405895775075282,0.003403458109803279
total_cno4,all,29,0.025348214805615422,0.0065523585220290635,0.001325566953095287,0.04937086265813556,0.020405895775075282,0.003403458109803279
total_cno4,all,30,0.025330107753049006,0.005272158884804397,0.006001004211722741,0.04465921129437527,0.020405895775075282,0.003403458109803279
total_cno4,all,31,0.028074730475056854,0.005798931087876972,0.006814343245519033,0.04933511770459467,0.020405895775075282,0.003403458109803279
total_cno4,all,32,0.029965335591706097,0.005727061660254647,0.008968440346822173,0.05096223083659002,0.020405895775075282,0.003403458109803279
total_cno4,all,33,0.032851693697633244,0.006599811622406679,0.008655070456548942,0.05704831693871755,0.020405895775075282,0.003403458109803279
total_cno4,all,34,0.03360717495429711,0.004287513802898472,0.017888035975016366,0.04932631393357785,0.020405895775075282,0.003403458109803279
total_cno4,all,35,0.03459073263758559,0.007170939198333283,0.008300207393242217,0.060881257881928955,0.020405895775075282,0.003403458109803279
total_cno4,all,36,0.02792940518384687,0.009731040354702507,-0.007747115704587516,0.06360592607228126,0.020405895775075282,0.003403458109803279
total_cno4,all,37,0.03183175731751676,0.0059941922222388365,0.009855492064166818,0.0538080225708667,0.020405895775075282,0.003403458109803279
total_cno4,all,38,0.031526673375509504,0.00693851613000932,0.006088271455061998,0.05696507529595701,0.020405895775075282,0.003403458109803279
total_cno4,all,39,0.03228118064170569,0.005008302113426561,0.013919444542347455,0.05064291674106392,0.020405895775075282,0.003403458109803279
total_cno4,all,40,0.036769510885982674,0.006718302789275453,0.012138468257474298,0.06140055351449105,0.020405895775075282,0.003403458109803279
total_cno4,all,41,0.043342773019559126,0.0068749327952572084,0.01813748411557792,0.06854806192354033,0.020405895775075282,0.003403458109803279
