event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
-20,cevent_m20,-0.01371295032240053,0.0051274647165345764,0.007486054412779275,-0.0237627811668083,-0.0036631194779927594,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-19,cevent_m19,-0.013304777963337787,0.005049804766305049,0.008420885885559004,-0.023202395305295682,-0.0034071606213798913,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-18,cevent_m18,-0.013346471724741196,0.00483769300244278,0.00580050656749731,-0.022828350009529045,-0.0038645934399533476,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-17,cevent_m17,-0.013456234627679618,0.004618852305693108,0.0035759806033284214,-0.02250918514683811,-0.0044032841085211265,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-16,cevent_m16,-0.013772618882660652,0.004499464194312549,0.0022063856303451423,-0.022591568703513247,-0.004953669061808056,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-15,cevent_m15,-0.0113280754700816,0.0038927504766484845,0.0036137778724076863,-0.01895786640431263,-0.003698284535850571,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-14,cevent_m14,-0.004774531678293392,0.002879883427366441,0.09733954876725459,-0.010419103195931617,0.0008700398393448319,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-13,cevent_m13,-0.003562584978003274,0.002984910738303303,0.23266128481800186,-0.009413010025077748,0.0022878400690712,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-12,cevent_m12,-0.00590814087800316,0.0034201677235018704,0.08408833912205083,-0.012611669616066825,0.0007953878600605062,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-11,cevent_m11,-0.011919937637445891,0.003536298700848204,0.000749670240425715,-0.018851083091108372,-0.004988792183783412,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-10,cevent_m10,-0.012811216620816177,0.003621894879247816,0.0004044567089196427,-0.019910130584141896,-0.005712302657490457,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-9,cevent_m9,-0.01765114490807659,0.0035114412795885738,4.988564890062719e-07,-0.024533569816070196,-0.010768720000082985,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-8,cevent_m8,-0.015147175694200009,0.003349250461647931,6.109706281343108e-06,-0.021711706599029955,-0.008582644789370064,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-7,cevent_m7,-0.015364192103341301,0.003489234349725496,1.0661002108447448e-05,-0.022203091428803272,-0.00852529277787933,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-6,cevent_m6,-0.018051289362386067,0.003445950287521043,1.6196874930152205e-07,-0.02480535192592731,-0.011297226798844822,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-5,cevent_m5,-0.017222386160476274,0.0032178807891891995,8.694434816547414e-08,-0.023529432507287104,-0.010915339813665444,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-4,cevent_m4,-0.017367685051881323,0.003349020850000845,2.149748932200879e-07,-0.02393176591788298,-0.010803604185879667,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-3,cevent_m3,-0.011120637783800109,0.002478275238445506,7.2148775636105e-06,-0.0159780572511533,-0.006263218316446918,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-2,cevent_m2,-0.0032691861045355463,0.0009742561462684357,0.0007920119599580389,-0.00517872815122168,-0.0013596440578494125,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
-1,reference,0.0,,,,,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
0,cevent_0,-0.0031699706974726276,0.0019344262870960797,0.10127291680768402,-0.006961446220180944,0.0006215048252356885,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
1,cevent_p1,-0.0038282222093796634,0.0024024629874463688,0.11105763787450962,-0.008537049664774546,0.0008806052460152195,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
2,cevent_p2,-0.005602677905282255,0.002655500337005042,0.03487223470830303,-0.010807458565812136,-0.00039789724475237324,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
3,cevent_p3,-0.005147684871502181,0.002551762549438858,0.04366363196955381,-0.010149139468402343,-0.00014623027460201887,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
4,cevent_p4,-0.004329063714283597,0.0028938211146400617,0.13466200070803502,-0.010000953098978117,0.0013428256704109244,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
5,cevent_p5,-0.004650968340149778,0.003129487836748574,0.13723269013275452,-0.010784764500176982,0.0014828278198774263,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
6,cevent_p6,-0.004265741775289154,0.0033661597442589844,0.20506847822444163,-0.010863414874036763,0.002331931323458455,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
7,cevent_p7,-0.00512864973365635,0.003613776539654825,0.15584248480040275,-0.012211651751379806,0.001954352284067107,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
8,cevent_p8,-0.0034974015077138777,0.003709259689341764,0.34574025419407906,-0.010767550498823737,0.0037727474833959803,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
9,cevent_p9,0.0002613653399647127,0.0033966411014175134,0.9386647715929171,-0.006396051218813613,0.006918781898743039,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
