event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
-20,cevent_m20,-0.013393129278992368,0.006321893804424096,0.03413010530868976,-0.025784041135663596,-0.0010022174223211396,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-19,cevent_m19,-0.012706804246001166,0.006441248361460601,0.04852703351942145,-0.025331651034463942,-8.195745753838794e-05,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-18,cevent_m18,-0.010357529621484611,0.006065908413139391,0.08772943315185655,-0.022246710111237817,0.001531650868268595,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-17,cevent_m17,-0.01200449999332974,0.005873163225863151,0.04095767913587589,-0.023515899916021515,-0.000493100070637964,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-16,cevent_m16,-0.012517535750899249,0.005650826545071169,0.02674846725000002,-0.02359315577923874,-0.001441915722559757,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-15,cevent_m15,-0.007271841421722547,0.005298006333808046,0.16988859596446604,-0.017655933835986317,0.0031122509925412233,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-14,cevent_m14,-0.0009680355859700285,0.00429993711712479,0.8218798180959483,-0.009395912335534617,0.00745984116359456,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-13,cevent_m13,0.00039032007676764735,0.004331132644192458,0.9281921492168346,-0.00809869990584957,0.008879340059384865,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-12,cevent_m12,-0.0035605736433855575,0.004417805092816995,0.42026598509096136,-0.012219471625306868,0.005098324338535753,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-11,cevent_m11,-0.00816297820922765,0.004404590779761337,0.06384099355755501,-0.01679597613755987,0.00047001971910456963,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-10,cevent_m10,-0.00963495661916771,0.0043771710700303635,0.02772303779394747,-0.018214211916427223,-0.0010557013219081972,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-9,cevent_m9,-0.012678022670219655,0.003981868939730959,0.0014528627315582021,-0.020482485792092334,-0.004873559548346975,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-8,cevent_m8,-0.011007128714694066,0.0036736674564166317,0.002733460193199422,-0.018207516929270664,-0.0038067405001174677,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-7,cevent_m7,-0.011299604002716152,0.0037135864459367173,0.00234408365703076,-0.018578233436752117,-0.0040209745686801855,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-6,cevent_m6,-0.012084647719631941,0.00352065296203187,0.0005980398554843447,-0.018985127525214404,-0.005184167914049477,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-5,cevent_m5,-0.013542214833553542,0.0032952861694469844,3.96393601931333e-05,-0.020000975725669633,-0.007083453941437453,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-4,cevent_m4,-0.014753550007975895,0.0034243068270044886,1.6438195858725635e-05,-0.02146519138890469,-0.008041908627047099,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-3,cevent_m3,-0.010403480478095105,0.0026964698852678967,0.00011423202981020175,-0.01568856145322018,-0.005118399502970028,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-2,cevent_m2,-0.002914348564495621,0.0013908559322564522,0.03613870370970096,-0.005640426191718267,-0.00018827093727297487,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-1,reference,0.0,,,,,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
0,cevent_0,-0.003770312645795748,0.0022723083863291933,0.097066759599447,-0.008224037083000967,0.000683411791409471,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
1,cevent_p1,-0.004476098037808261,0.002922274843809691,0.12559228708602221,-0.010203756731675256,0.001251560656058733,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
2,cevent_p2,-0.004433721621662723,0.0031826173142052772,0.1635878961824213,-0.010671651557505067,0.0018042083141796205,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
3,cevent_p3,-0.0031643733713665745,0.003181574924627202,0.31993406647959377,-0.00940026022363589,0.003071513480902741,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
4,cevent_p4,-0.004353341780930442,0.0036729421708104754,0.23592000729080098,-0.011552308435718974,0.0028456248738580898,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
5,cevent_p5,-0.0035920379594282584,0.0038171007696930904,0.34668524033170933,-0.011073555468026715,0.0038894795491701984,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
6,cevent_p6,-0.002612309152626488,0.0041425759666729196,0.5283019807679883,-0.01073175804730541,0.0055071397420524346,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
7,cevent_p7,0.0004672583278316003,0.003969905495485243,0.9063052767608766,-0.007313756443319476,0.008248273098982677,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
8,cevent_p8,0.002042448811007798,0.004063403740932408,0.6152140169590474,-0.00592182252121972,0.010006720143235316,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
9,cevent_p9,0.0040322761158235465,0.004063319814520553,0.3210219363674065,-0.003931830720636737,0.01199638295228383,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
10,cevent_p10,0.011065169843261724,0.003977404612797952,0.005402377571961825,0.0032694568021777387,0.01886088288434571,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
11,cevent_p11,0.013123427808747805,0.003982886320933468,0.0009843773989093307,0.005316970619718208,0.0209298849977774,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
12,cevent_p12,0.010305403558279726,0.004534645840754217,0.023050728997029202,0.0014174977104014618,0.019193309406157988,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
13,cevent_p13,0.0074189609495724645,0.005218630689480712,0.15513374647845724,-0.0028095552018097304,0.01764747710095466,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
14,cevent_p14,0.008337144698122502,0.005631859224089621,0.1387788291348211,-0.002701299381093156,0.019375588777338158,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
15,cevent_p15,0.009688041963571009,0.0056539173850136725,0.08661882074053584,-0.001393636111055788,0.020769720038197804,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
16,cevent_p16,0.007388241654056396,0.006233876372870105,0.23594780422369244,-0.004830156036769008,0.0196066393448818,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
17,cevent_p17,0.005589649670725234,0.006774262334299493,0.40929757224158414,-0.007687904504501773,0.01886720384595224,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
18,cevent_p18,0.00802463620651453,0.007282606928036124,0.2705092303751613,-0.006249273372436274,0.022298545785465335,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
19,cevent_p19,0.008742015516697801,0.007738249216521451,0.2585963725455658,-0.006424952947684243,0.023908983981079844,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
20,cevent_p20,0.008871283169779802,0.007906538674087228,0.2618545468448983,-0.006625532631431164,0.024368098970990768,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
21,cevent_p21,0.011357386130319162,0.007648199142275896,0.13755039099190824,-0.0036330841885415938,0.02634785644917992,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
22,cevent_p22,0.01607067159329298,0.007824542122712367,0.039987294903988335,0.0007345690327767405,0.031406774153809214,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
23,cevent_p23,0.019241644755435293,0.00796920577655315,0.01575683703924602,0.0036220014333911196,0.034861288077479465,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
24,cevent_p24,0.015049436323144198,0.00860849806196959,0.08042819492210507,-0.0018232198783161985,0.031922092524604595,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
25,cevent_p25,0.014610554351751855,0.009163072705258287,0.11082323777639091,-0.0033490681505543886,0.032570176854058094,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
26,cevent_p26,0.016279091208856414,0.009328384535566153,0.08096508755370269,-0.002004542480853244,0.03456272489856607,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
27,cevent_p27,0.016102776345726384,0.009281573515935816,0.08275518948790683,-0.002089107745507815,0.03429466043696058,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
28,cevent_p28,0.0153463846903883,0.009420025643451754,0.10328688757405646,-0.0031168655707771373,0.03380963495155374,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
29,cevent_p29,0.01873578817873576,0.009559692890334185,0.05001058484479226,-1.2098863192422371e-06,0.03747278624379076,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
