event_time,term,estimate,se,ci95_low,ci95_high,p_value,reference_period,pretrend_wald_chi2,pretrend_df,pretrend_p_value
-20,event_m20,-0.03303317768903948,0.020771532532220704,-0.07374538145219206,0.007679026074113096,0.11176492625979405,False,73.82498057190351,19,2.1035108987987883e-08
-19,event_m19,-0.03467630620074707,0.02085929708546654,-0.07556052848826147,0.006207916086767344,0.09643441707951757,False,73.82498057190351,19,2.1035108987987883e-08
-18,event_m18,-0.02510044218759937,0.019879455010557545,-0.06406417400829216,0.013863289633093415,0.20672135096575983,False,73.82498057190351,19,2.1035108987987883e-08
-17,event_m17,-0.034832683571210436,0.018897730958662245,-0.07187223625018843,0.002206869107767566,0.06529683482557913,False,73.82498057190351,19,2.1035108987987883e-08
-16,event_m16,-0.03722119887628163,0.018204716625955006,-0.07290244346315344,-0.0015399542894098187,0.04089520238862026,False,73.82498057190351,19,2.1035108987987883e-08
-15,event_m15,-0.025862032441142713,0.016836395283964918,-0.058861367197713954,0.007137302315428529,0.12451901754911435,False,73.82498057190351,19,2.1035108987987883e-08
-14,event_m14,-0.0049982118078403266,0.01343747024509092,-0.031335653488218526,0.021339229872537877,0.7099220564374599,False,73.82498057190351,19,2.1035108987987883e-08
-13,event_m13,0.004098964165721084,0.012934063408515455,-0.02125180011496921,0.029449728446411375,0.7513101262418551,False,73.82498057190351,19,2.1035108987987883e-08
-12,event_m12,-0.004142644614186694,0.014232484521172291,-0.03203831427568438,0.023753025047311,0.7709980337272446,False,73.82498057190351,19,2.1035108987987883e-08
-11,event_m11,-0.021199152172484005,0.014182405563099383,-0.048996667076158795,0.006598362731190785,0.134979673012811,False,73.82498057190351,19,2.1035108987987883e-08
-10,event_m10,-0.023608357656937168,0.01437928132954433,-0.051791749062844054,0.004575033748969719,0.1006249200298272,False,73.82498057190351,19,2.1035108987987883e-08
-9,event_m9,-0.04389376983917493,0.013354924211348308,-0.07006942129341762,-0.017718118384932247,0.0010136497746156571,False,73.82498057190351,19,2.1035108987987883e-08
-8,event_m8,-0.03217728929272276,0.013504300631229631,-0.05864571852993283,-0.005708860055512684,0.017184146684048083,False,73.82498057190351,19,2.1035108987987883e-08
-7,event_m7,-0.033230247692190615,0.01347830134923878,-0.05964771833669862,-0.006812777047682607,0.01368364651026831,False,73.82498057190351,19,2.1035108987987883e-08
-6,event_m6,-0.04158774847936523,0.013039017796784362,-0.06714422336106257,-0.01603127359766788,0.0014252665648174705,False,73.82498057190351,19,2.1035108987987883e-08
-5,event_m5,-0.05053699354721123,0.01208696350910413,-0.07422744202505532,-0.026846545069367136,2.9008213297913014e-05,False,73.82498057190351,19,2.1035108987987883e-08
-4,event_m4,-0.05226134401242536,0.012857780649549762,-0.0774625940855429,-0.027060093939307826,4.812118352226534e-05,False,73.82498057190351,19,2.1035108987987883e-08
-3,event_m3,-0.040280980622543434,0.01098997875792063,-0.06182133898806787,-0.018740622257019002,0.0002471005148433817,False,73.82498057190351,19,2.1035108987987883e-08
-2,event_m2,-0.00811845116257826,0.004888691613192924,-0.017700286724436392,0.0014633843992798712,0.09678189313150848,False,73.82498057190351,19,2.1035108987987883e-08
-1,reference,0.0,,,,,True,73.82498057190351,19,2.1035108987987883e-08
0,event_0,-0.011166907463772137,0.009082152880776462,-0.028967927110094,0.006634112182549728,0.21886787505138217,False,73.82498057190351,19,2.1035108987987883e-08
1,event_p1,-0.007243816747275272,0.011566359454380089,-0.02991388127786025,0.015426247783309702,0.5311291959458617,False,73.82498057190351,19,2.1035108987987883e-08
2,event_p2,-0.011054259836760595,0.012636403178354306,-0.03582161006633504,0.013713090392813845,0.38168556513442276,False,73.82498057190351,19,2.1035108987987883e-08
3,event_p3,-0.007707659133121362,0.012408439241699636,-0.032028200046852646,0.016612881780609923,0.5344926044993165,False,73.82498057190351,19,2.1035108987987883e-08
4,event_p4,-0.008935205375848387,0.013894761734839637,-0.03616893837613407,0.018298527624437302,0.5201833051853175,False,73.82498057190351,19,2.1035108987987883e-08
5,event_p5,-0.005406431104379733,0.015053873428154148,-0.03491202302356186,0.024099160814802397,0.7194912039819845,False,73.82498057190351,19,2.1035108987987883e-08
6,event_p6,0.00818282255694305,0.015856729217368,-0.022896366709098226,0.039262011822984326,0.6058213625099733,False,73.82498057190351,19,2.1035108987987883e-08
7,event_p7,0.01145694698343138,0.016304531781695983,-0.020499935308692742,0.0434138292755555,0.4822521897019182,False,73.82498057190351,19,2.1035108987987883e-08
8,event_p8,0.017273982253949476,0.01683005431289136,-0.01571292419931759,0.05026088870721654,0.3047138702887561,False,73.82498057190351,19,2.1035108987987883e-08
9,event_p9,0.030047781879538334,0.016447428290253627,-0.002189177569358776,0.06228474132843544,0.067715033609106,False,73.82498057190351,19,2.1035108987987883e-08
10,event_p10,0.05360646374339646,0.014217250057231602,0.025740653631222524,0.0814722738555704,0.0001629059980433015,False,73.82498057190351,19,2.1035108987987883e-08
11,event_p11,0.060943668738395726,0.014264988604497415,0.03298429107358079,0.08890304640321066,1.9350611824371317e-05,False,73.82498057190351,19,2.1035108987987883e-08
12,event_p12,0.057319559912601244,0.01628042061501121,0.025409935507179272,0.08922918431802321,0.0004303013111756126,False,73.82498057190351,19,2.1035108987987883e-08
13,event_p13,0.05043548426568384,0.01835613798787599,0.0144574538094469,0.08641351472192077,0.006003160781823118,False,73.82498057190351,19,2.1035108987987883e-08
14,event_p14,0.04865686905589863,0.019455747929855435,0.010523603113381977,0.08679013499841529,0.012387834854581526,False,73.82498057190351,19,2.1035108987987883e-08
15,event_p15,0.04607678170315797,0.01833809583143909,0.010134113873537354,0.08201944953277858,0.011983620425329982,False,73.82498057190351,19,2.1035108987987883e-08
16,event_p16,0.04077144510004802,0.019949525900034605,0.0016703743359801973,0.07987251586411584,0.040980225160026126,False,73.82498057190351,19,2.1035108987987883e-08
17,event_p17,0.037947012327555735,0.022556031531231112,-0.0062628094736572465,0.08215683412876872,0.09250208476730909,False,73.82498057190351,19,2.1035108987987883e-08
18,event_p18,0.03949695606033584,0.023172104257791086,-0.005920368284934689,0.08491428040560636,0.08828687544891939,False,73.82498057190351,19,2.1035108987987883e-08
19,event_p19,0.0443257481939245,0.024718262829393798,-0.004122046951687344,0.09277354333953634,0.07293474705683962,False,73.82498057190351,19,2.1035108987987883e-08
20,event_p20,0.047697869034745266,0.025092254630549243,-0.001482950041131248,0.09687868811062178,0.057315100580939964,False,73.82498057190351,19,2.1035108987987883e-08
21,event_p21,0.04974171026196661,0.02374068483732085,0.0032099679808177475,0.09627345254311548,0.036152366207369786,False,73.82498057190351,19,2.1035108987987883e-08
22,event_p22,0.07027859370915462,0.023412824216100723,0.024389458245597205,0.11616772917271204,0.002684645895977498,False,73.82498057190351,19,2.1035108987987883e-08
23,event_p23,0.08162735678687233,0.024117183838883866,0.034357676462659956,0.1288970371110847,0.000712784270556998,False,73.82498057190351,19,2.1035108987987883e-08
24,event_p24,0.07270111060748564,0.02641666505512514,0.02092444709944037,0.12447777411553092,0.005921575915675196,False,73.82498057190351,19,2.1035108987987883e-08
25,event_p25,0.06805710341651894,0.02805559892650155,0.0130681295205759,0.12304607731246198,0.015274938109282673,False,73.82498057190351,19,2.1035108987987883e-08
26,event_p26,0.07157819604523266,0.028378584225845334,0.01595617096257581,0.1272002211278895,0.0116603158582439,False,73.82498057190351,19,2.1035108987987883e-08
27,event_p27,0.06369165423784834,0.027783887712207786,0.009235234321921082,0.1181480741537756,0.021882841685254974,False,73.82498057190351,19,2.1035108987987883e-08
28,event_p28,0.06418094381715037,0.028938453391517027,0.007461575169776996,0.12090031246452373,0.026565544900409032,False,73.82498057190351,19,2.1035108987987883e-08
29,event_p29,0.07817551288472868,0.029292362431089035,0.020762482519794172,0.13558854324966318,0.007612232993793874,False,73.82498057190351,19,2.1035108987987883e-08
30,event_p30,0.07873536981470709,0.03003789320168868,0.019861099139397285,0.1376096404900169,0.008762046406780159,False,73.82498057190351,19,2.1035108987987883e-08
31,event_p31,0.08259489630452456,0.03024970095068221,0.02330548244118743,0.14188431016786168,0.006325046160794982,False,73.82498057190351,19,2.1035108987987883e-08
32,event_p32,0.09020735116273769,0.03111792121396243,0.02921622558337133,0.15119847674210404,0.0037448930116319645,False,73.82498057190351,19,2.1035108987987883e-08
33,event_p33,0.10459559283313041,0.030529032569173983,0.04475868899754941,0.1644324966687114,0.0006123094135265985,False,73.82498057190351,19,2.1035108987987883e-08
34,event_p34,0.1284690737217371,0.029540160748538834,0.07057035865460098,0.18636778878887322,1.3678262420508673e-05,False,73.82498057190351,19,2.1035108987987883e-08
35,event_p35,0.13088365594561904,0.02982894670919356,0.07241892039559966,0.18934839149563842,1.1449940174315816e-05,False,73.82498057190351,19,2.1035108987987883e-08
36,event_p36,0.13217790145366326,0.031201631892303232,0.07102270294474892,0.19333309996257758,2.272840921969084e-05,False,73.82498057190351,19,2.1035108987987883e-08
37,event_p37,0.1189058057420994,0.03355453322446703,0.05313892062214402,0.1846726908620548,0.0003946160809811564,False,73.82498057190351,19,2.1035108987987883e-08
38,event_p38,0.11982018210697637,0.034127468365380165,0.05293034411083125,0.1867100201031215,0.0004464912926897259,False,73.82498057190351,19,2.1035108987987883e-08
39,event_p39,0.10361874579895869,0.03325711921146269,0.03843479214449182,0.16880269945342558,0.0018351747682062455,False,73.82498057190351,19,2.1035108987987883e-08
40,event_p40,0.11085036571779974,0.03413350801676935,0.04394869000493182,0.17775204143066767,0.001164021102316835,False,73.82498057190351,19,2.1035108987987883e-08
41,event_p41,0.12132490321245942,0.03487478426534146,0.05297032605239016,0.18967948037252869,0.0005035294249342984,False,73.82498057190351,19,2.1035108987987883e-08
42,event_p42,0.1377235633855177,0.035890299355875135,0.06737857664800243,0.20806855012303296,0.00012437023878082595,False,73.82498057190351,19,2.1035108987987883e-08
