cno2,n_ocup4d,exposure_min,exposure_p25,exposure_mean,exposure_median,exposure_p75,exposure_max,exposure_range,exposure_sd,exposure_iqr,n_zero_exposure,share_zero_exposure,n_high_exposure,share_high_exposure,highest_cno4,highest_occupation_title,highest_exposure,lowest_cno4,lowest_occupation_title,lowest_exposure
38,8,0.0,0.014775,0.29218750000000004,0.312,0.47142500000000004,0.7451,0.7451,0.27219380930033765,0.45665000000000006,2,0.25,5,0.625,3820,Programadores informáticos,0.7451,3831,Técnicos de grabación audiovisual,0.0
35,10,0.0,0.03795,0.21362,0.1592,0.30979999999999996,0.6279,0.6279,0.20812271913998776,0.27185,1,0.1,6,0.6,3510,Agentes y representantes comerciales,0.6279,3533,Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos),0.0
26,13,0.0,0.1731,0.26642307692307693,0.2706,0.3504,0.5716,0.5716,0.16740852304988413,0.17729999999999999,1,0.07692307692307693,10,0.7692307692307693,2613,Analistas financieros,0.5716,2623,Especialistas de la administración pública,0.0
41,6,0.0,0.09395,0.23565,0.203,0.38105,0.5099,0.5099,0.20234856807005083,0.2871,1,0.16666666666666666,3,0.5,4113,"Empleados de oficina de servicios estadísticos, financieros y bancarios",0.5099,4121,Empleados de control de abastecimientos e inventario,0.0
36,10,0.0,0.006875,0.12050000000000001,0.0374,0.16469999999999999,0.4528,0.4528,0.1631263177894835,0.157825,3,0.3,3,0.3,3613,Asistentes de dirección y administrativos,0.4528,3612,Asistentes jurídico-legales,0.0
28,7,0.0,0.0433,0.18218571428571426,0.1116,0.31255,0.452,0.452,0.1798389597072098,0.26925,1,0.14285714285714285,3,0.42857142857142855,2822,"Filósofos, historiadores y profesionales en ciencias políticas",0.452,2824,Profesionales del trabajo y la educación social,0.0
34,5,0.0,0.1857,0.22962000000000002,0.2107,0.3104,0.4413,0.4413,0.16305375493989707,0.1247,1,0.2,4,0.8,3401,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas",0.4413,3405,Tasadores,0.0
44,13,0.0,0.0,0.17891538461538462,0.0846,0.4054,0.4338,0.4338,0.1917837360420753,0.4054,5,0.38461538461538464,6,0.46153846153846156,4412,Recepcionistas (excepto de hoteles),0.4338,4442,Empleados de venta de apuestas,0.0
29,13,0.0,0.0634,0.17079230769230766,0.1011,0.2462,0.4304,0.4304,0.1410013975198973,0.18280000000000002,1,0.07692307692307693,6,0.46153846153846156,2923,"Filólogos, intérpretes y traductores",0.4304,2911,Archivistas y conservadores de museos,0.0
58,17,0.0,0.0304,0.13203529411764706,0.1169,0.1875,0.4054,0.4054,0.14231631556666505,0.1571,4,0.23529411764705882,7,0.4117647058823529,5825,Guías de turismo,0.4054,5892,Empleados de pompas fúnebres y embalsamadores,0.0
42,4,0.0,0.07335,0.170125,0.13795000000000002,0.23472500000000002,0.4046,0.4046,0.17244858895721163,0.16137500000000002,1,0.25,2,0.5,4223,Empleados de servicio de personal,0.4046,4221,Empleados de servicios de correos (excepto empleados de mostrador),0.0
12,6,0.0,0.0358,0.17941666666666667,0.1374,0.34115,0.3907,0.3907,0.1781784321029531,0.30535,1,0.16666666666666666,3,0.5,1211,Directores financieros,0.3907,1212,Directores de recursos humanos,0.0
13,14,0.0,0.018225,0.09571428571428575,0.0592,0.146575,0.3907,0.3907,0.10647984176968288,0.12835000000000002,2,0.14285714285714285,5,0.35714285714285715,1327,"Directores de sucursales de bancos, de servicios financieros y de seguros",0.3907,1311,Directores de producción de explotaciones agropecuarias y forestales,0.0
24,42,0.0,0.0,0.0665952380952381,0.040499999999999994,0.0796,0.3849,0.3849,0.0930942217493259,0.0796,14,0.3333333333333333,6,0.14285714285714285,2411,Físicos y astrónomos,0.3849,2435,Ingenieros químicos,0.0
37,15,0.0,0.0,0.04946,0.0,0.0394,0.3565,0.3565,0.10249978257816664,0.0394,11,0.7333333333333333,2,0.13333333333333333,3739,Otros técnicos y profesionales de apoyo de actividades culturales y artísticas,0.3565,3715,Animadores comunitarios,0.0
27,8,0.1987,0.269475,0.3343125,0.3039,0.37445,0.5195,0.3208,0.11319382160701175,0.10497499999999998,0,0.0,8,1.0,2719,Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes,0.5195,2723,Analistas de redes informáticas,0.1987
31,25,0.0,0.0,0.07442800000000001,0.0058,0.0776,0.3148,0.3148,0.118630741940415,0.0776,12,0.48,6,0.24,3129,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías",0.3148,3126,Técnicos en mecánica,0.0
33,17,0.0,0.0,0.05444117647058824,0.0,0.0179,0.3063,0.3063,0.10248604818964098,0.0179,12,0.7058823529411765,4,0.23529411764705882,3322,Técnicos superiores en documentación sanitaria,0.3063,3321,Técnicos superiores en higiene bucodental,0.0
22,6,0.0,0.009875,0.08283333333333333,0.051949999999999996,0.09334999999999999,0.2901,0.2901,0.10890955268784584,0.083475,2,0.3333333333333333,1,0.16666666666666666,2230,Profesores de enseñanza secundaria (excepto materias específicas de formación profesional),0.2901,2220,Profesores de formación profesional (materias específicas),0.0
25,6,0.0216,0.118325,0.15606666666666666,0.1673,0.1673,0.3109,0.2893,0.09524328147783795,0.048975000000000005,0,0.0,4,0.6666666666666666,2513,Jueces y magistrados,0.3109,2591,Notarios y registradores,0.0216
54,8,0.0,0.0591,0.1334,0.1758,0.1758,0.2852,0.2852,0.09914387813389475,0.11670000000000001,2,0.25,5,0.625,5420,Operadores de telemarketing,0.2852,5430,Expendedores de gasolineras,0.0
14,7,0.0,0.0,0.09192857142857143,0.1215,0.12965,0.2627,0.2627,0.09863112616014809,0.12965,3,0.42857142857142855,4,0.5714285714285714,1432,Directores y gerentes de empresas de comercio al por menor,0.2627,1422,"Directores y gerentes de bares, cafeterías y similares",0.0
23,9,0.0636,0.0989,0.18943333333333334,0.2142,0.2621,0.3043,0.24070000000000003,0.09161776574442318,0.1632,0,0.0,6,0.6666666666666666,2321,Especialistas en métodos didácticos y pedagógicos,0.3043,2322,Profesores de enseñanza no reglada de idiomas,0.0636
43,2,0.4528,0.5072749999999999,0.56175,0.56175,0.616225,0.6707,0.21789999999999998,0.1540785676205487,0.1089500000000001,0,0.0,2,1.0,4301,Grabadores de datos,0.6707,4309,Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes,0.4528
11,4,0.0,0.0,0.053524999999999996,0.01665,0.070175,0.1808,0.1808,0.08628987484056284,0.070175,2,0.5,1,0.25,1113,Directores de organizaciones de interés social,0.1808,1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo",0.0
94,10,0.0,0.0,0.05406,0.0206,0.07435,0.1758,0.1758,0.0708738503728044,0.07435,5,0.5,2,0.2,9420,"Repartidores de publicidad, limpiabotas y otros trabajadores de oficios callejeros",0.1758,9490,Otras ocupaciones elementales,0.0
21,16,0.0,0.0,0.030425,0.0,0.061399999999999996,0.1328,0.1328,0.045760237470246296,0.061399999999999996,9,0.5625,1,0.0625,2153,Dietistas y nutricionistas,0.1328,2121,Enfermeros no especializados,0.0
59,12,0.0,0.0,0.03560833333333333,0.0,0.07367499999999999,0.1234,0.1234,0.055372826587076304,0.07367499999999999,8,0.6666666666666666,3,0.25,5923,Policías locales,0.1234,5932,Bomberos forestales,0.0
32,8,0.0,0.0,0.025575,0.0,0.0363,0.1186,0.1186,0.04291259388904048,0.0363,5,0.625,1,0.125,3202,Supervisores de la construcción,0.1186,3209,Supervisores de otras industrias manufactureras,0.0
76,12,0.0,0.0,0.021958333333333333,0.0,0.0539,0.1018,0.1018,0.034762635592448014,0.0539,8,0.6666666666666666,0,0.0,7621,Trabajadores de procesos de preimpresión,0.1018,7614,"Trabajadores de la cerámica, alfareros y afines",0.0
15,2,0.0443,0.067675,0.09105,0.09105,0.114425,0.1378,0.0935,0.0661144840409422,0.04675,0,0.0,1,0.5,1509,Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes,0.1378,1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas",0.0443
56,5,0.0,0.0,0.0147,0.0,0.0,0.0735,0.0735,0.03287019926924691,0.0,4,0.8,0,0.0,5621,Técnicos auxiliares de farmacia,0.0735,5611,Auxiliares de enfermería hospitalaria,0.0
52,2,0.2627,0.277575,0.29245,0.29245,0.30732499999999996,0.3222,0.0595,0.042072853480599574,0.029749999999999943,0,0.0,2,1.0,5220,Vendedores en tiendas y almacenes,0.3222,5210,Jefes de sección de tiendas y almacenes,0.2627
78,15,0.0,0.0,0.011326666666666667,0.0,0.023799999999999998,0.0539,0.0539,0.018128291490952818,0.023799999999999998,10,0.6666666666666666,0,0.0,7899,"Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes",0.0539,7820,Ebanistas y trabajadores afines,0.0
72,14,0.0,0.0,0.007278571428571428,0.0,0.0116,0.0439,0.0439,0.01260629748434235,0.0116,9,0.6428571428571429,0,0.0,7292,Instaladores de material aislante térmico y de insonorización,0.0439,7240,"Soladores, colocadores de parquet y afines",0.0
81,27,0.0,0.0,0.004348148148148149,0.0,0.0,0.032,0.032,0.00992593225113546,0.0,22,0.8148148148148148,0,0.0,8152,Operadores de telares y otras máquinas tejedoras,0.032,8156,"Operadores de máquinas para la fabricación del calzado, marroquinería y guantería de piel",0.0
96,3,0.0,0.01405,0.018733333333333334,0.0281,0.0281,0.0281,0.0281,0.016223542564228484,0.01405,1,0.3333333333333333,0,0.0,9602,Peones de la construcción de edificios,0.0281,9603,"Peones de la minería, canteras y otras industrias extractivas",0.0
95,7,0.0,0.0,0.0058,0.0,0.01015,0.0203,0.0203,0.00990538574042761,0.01015,5,0.7142857142857143,0,0.0,9511,"Peones agrícolas (excepto en huertas, invernaderos, viveros y jardines)",0.0203,9520,Peones ganaderos,0.0
57,3,0.0,0.0061,0.008133333333333334,0.0122,0.0122,0.0122,0.0122,0.0070436732841134345,0.0061,1,0.3333333333333333,0,0.0,5721,Cuidadores de niños en guarderías y centros educativos,0.0122,5710,Trabajadores de los cuidados personales a domicilio,0.0
51,2,0.0,0.0029,0.0058,0.0058,0.0087,0.0116,0.0116,0.00820243866176395,0.0058,1,0.5,0,0.0,5110,Cocineros asalariados,0.0116,5120,Camareros asalariados,0.0
93,2,0.0,0.0029,0.0058,0.0058,0.0087,0.0116,0.0116,0.00820243866176395,0.0058,1,0.5,0,0.0,9310,Ayudantes de cocina,0.0116,9320,Preparadores de comidas rápidas,0.0
00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0,0.0,0020,Tropa y marinería de las fuerzas armadas,0.0,0020,Tropa y marinería de las fuerzas armadas,0.0
45,1,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.0,0.0,0.0,0,0.0,1,1.0,4500,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,0.4528,4500,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,0.4528
50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,5000,Camareros y cocineros propietarios,0.0,5000,Camareros y cocineros propietarios,0.0
