cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados
9210,"Personal de limpieza de oficinas, hoteles y otros establecimientos similares",0.0,0.0,0.044686909047619,zero,315975.22222222225,75501.01587301587,356014.5714285714
9700,Peones de las industrias manufactureras,0.0,0.0,0.0248359692857142,zero,185193.7142857143,101702.04761904762,217594.47619047618
5120,Camareros asalariados,0.0,0.0139655490773945,0.0511525269047619,zero,118915.57142857143,135041.52380952382,150507.7619047619
7121,Albañiles,0.0,0.0,0.0333640157142857,zero,57359.52380952381,23804.444444444445,71732.57142857143
9811,Peones del transporte de mercancías y descargadores,0.0,0.0,0.0266810319841269,zero,54823.28571428572,34585.46031746032,61221.380952380954
9820,Reponedores,0.0,0.0,0.0706233084920634,zero,31537.777777777777,6909.412698412699,35721.0
5611,Auxiliares de enfermería hospitalaria,0.0,0.0,0.0426618597619047,zero,30214.920634920636,18069.968253968254,32718.428571428572
8412,"Conductores asalariados de automóviles, taxis y furgonetas",0.0,0.0577325952151067,0.0422460247619047,zero,30192.619047619046,15769.52380952381,35128.09523809524
9100,Empleados domésticos,0.0,0.0,0.030474199047619,zero,27503.68253968254,16069.79365079365,28505.04761904762
7231,Pintores y empapeladores,0.0,0.0,0.0767884523809523,zero,22567.52380952381,2545.809523809524,26869.190476190477
5710,Trabajadores de los cuidados personales a domicilio,0.0,0.0,0.0400841314285714,zero,17142.25396825397,14655.746031746032,19971.714285714286
5812,"Especialistas en tratamientos de estética, bienestar y afines",0.0,0.0,0.0749591059523809,zero,16144.15873015873,3601.1428571428573,17120.714285714286
7401,Mecánicos y ajustadores de vehículos de motor,0.0,0.0,0.0332585967460317,zero,16036.698412698413,3859.6984126984125,19203.333333333332
8432,Conductores asalariados de camiones,0.0,0.0,0.0223433661904761,zero,15527.730158730159,17324.698412698413,19298.761904761905
5942,Auxiliares de vigilante de seguridad y similares no habilitados para ir armados,0.0,0.0,0.0240057519047618,zero,14561.587301587302,5493.412698412699,17117.571428571428
8153,Operadores de máquinas de coser y bordar,0.0,0.0,0.0386357443650793,zero,14270.920634920634,322.74603174603175,17268.85714285714
5629,Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes,0.0,0.0,0.0406201830952381,zero,14255.920634920634,12121.666666666666,14783.714285714286
7131,Carpinteros (excepto ebanistas),0.0,0.0,0.0367361504761905,zero,13982.444444444445,1543.8412698412699,17106.238095238095
7510,Electricistas de la construcción y afines,0.0,0.0,0.0320978356349206,zero,13506.650793650793,3773.9841269841268,16402.52380952381
3724,Monitores de actividades recreativas y de entretenimiento,0.0,0.029906784306698,0.0656925630952381,zero,12556.412698412698,26768.904761904763,15240.52380952381
7111,Encofradores y operarios de puesta en obra de hormigón,0.0,0.0,0.0204599371428571,zero,11261.095238095239,2379.4444444444443,14660.904761904761
