category,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
18-24,2021-01,2021-01-01,high,4.225648463814815,3.7487601006229245,0.5696942011914691
18-24,2021-01,2021-01-01,middle,3.907931190183644,3.9081722494464604,0.2116574248007091
18-24,2021-01,2021-01-01,zero,3.909597818186337,4.012958467715972,-0.037165503967620916
18-24,2021-02,2021-02-01,high,4.226451465526515,3.6946829172969236,0.643104366572772
18-24,2021-02,2021-02-01,middle,3.9473902055715806,3.8542276624990204,0.19282976690683604
18-24,2021-02,2021-02-01,zero,3.8782887754724515,3.966316253657611,-0.028615089429902256
18-24,2021-03,2021-03-01,high,4.18266325423385,3.8680005441707594,0.47405739510261774
18-24,2021-03,2021-03-01,middle,3.8787112963160335,3.9902830292403038,-0.006813530955409407
18-24,2021-03,2021-03-01,zero,3.880895333842837,4.084207091287192,-0.20228639180888
18-24,2021-04,2021-04-01,high,4.121240571589399,3.8466949208519003,0.4026581151424918
18-24,2021-04,2021-04-01,middle,3.802403546340326,3.8614028837804475,0.07215700130190701
18-24,2021-04,2021-04-01,zero,3.8990101083688566,4.160794584673761,-0.2369867169031509
18-24,2021-05,2021-05-01,high,3.9772711739199575,3.8799425198450628,0.15322884318240362
18-24,2021-05,2021-05-01,middle,3.6000388953174216,3.983618716795618,-0.29701144499698734
18-24,2021-05,2021-05-01,zero,3.77695072318626,4.173650366116774,-0.4130118601502836
18-24,2021-06,2021-06-01,high,3.9645486316081344,4.206329262868358,-0.2860461888955933
18-24,2021-06,2021-06-01,middle,3.7053280008442773,4.288337919853392,-0.635174662344937
18-24,2021-06,2021-06-01,zero,3.723608160746612,4.4342371584820865,-0.78230367033601
18-24,2021-07,2021-07-01,high,3.9177562187879675,4.109490763117496,-0.3664056828096389
18-24,2021-07,2021-07-01,middle,3.6645116266996576,4.425800037704031,-0.8195496349780225
18-24,2021-07,2021-07-01,zero,3.582301587068255,4.617555310408478,-1.0700331521139717
18-24,2021-08,2021-08-01,high,3.875726713711594,3.794332456527263,0.16907365225553345
18-24,2021-08,2021-08-01,middle,3.6703750318917576,4.157554958177393,-0.42947821013833154
18-24,2021-08,2021-08-01,zero,3.5209744438888566,4.226849749025175,-0.675774672897291
18-24,2021-09,2021-09-01,high,3.9442603421499465,4.302517227857184,-0.42563024088546275
18-24,2021-09,2021-09-01,middle,3.728716470355521,4.345410399877679,-0.7598812697447314
18-24,2021-09,2021-09-01,zero,3.567377842831025,4.499627739879804,-0.9195633515247967
18-24,2021-10,2021-10-01,high,3.9837745274516476,4.304523773374549,-0.26174061606965027
18-24,2021-10,2021-10-01,middle,3.6325106095900463,4.329075190415304,-0.6983145018775367
18-24,2021-10,2021-10-01,zero,3.6198436926213176,4.342816517043604,-0.7481406547789594
18-24,2021-11,2021-11-01,high,3.873228845318321,4.143453987789227,-0.23160687489173556
18-24,2021-11,2021-11-01,middle,3.635589875050222,4.2969273983276794,-0.6679936033493629
18-24,2021-11,2021-11-01,zero,3.566180509892231,4.382398561145594,-0.8143882758570491
18-24,2021-12,2021-12-01,high,3.8092598938343083,3.9800351173067527,-0.20970929509840947
18-24,2021-12,2021-12-01,middle,3.5773506302618765,4.102444724077322,-0.5445215692324686
18-24,2021-12,2021-12-01,zero,3.5208320370927084,4.205910531740382,-0.6494853073653607
18-24,2022-01,2022-01-01,high,3.783473690882177,3.9507008409663076,-0.15445133205600486
18-24,2022-01,2022-01-01,middle,3.5803919167295755,4.3105144704837075,-0.6624673914142941
18-24,2022-01,2022-01-01,zero,3.483675582285887,4.17822442790104,-0.6789178479088528
18-24,2022-02,2022-02-01,high,3.7784472704063656,4.0262657306491825,-0.2150672410560029
18-24,2022-02,2022-02-01,middle,3.6471263510624743,3.959605816851786,-0.5628785652487502
18-24,2022-02,2022-02-01,zero,3.477134204236975,4.236456988267109,-0.7209646219936375
18-24,2022-03,2022-03-01,high,3.812669578787945,4.188586062635494,-0.37838390199845373
18-24,2022-03,2022-03-01,middle,3.62674485013309,4.226632233808858,-0.7812519030402806
18-24,2022-03,2022-03-01,zero,3.588482479584362,4.3363490868914285,-0.8251763937757728
18-24,2022-04,2022-04-01,high,3.7929043586088276,3.9726483231695395,-0.21551819538085817
18-24,2022-04,2022-04-01,middle,3.4103928583949186,4.064178014716072,-0.6440793519666868
18-24,2022-04,2022-04-01,zero,3.6031849722586835,4.093484289306518,-0.6069847124957107
18-24,2022-05,2022-05-01,high,3.5005072381673115,4.172109314608524,-0.6114524477929645
18-24,2022-05,2022-05-01,middle,3.2428016174347616,4.215534494505903,-1.0951823174419302
18-24,2022-05,2022-05-01,zero,3.4736251931193163,4.333380918614864,-0.9854154169142693
18-24,2022-06,2022-06-01,high,3.6345359110419104,4.3245079130851956,-0.7702680054523964
18-24,2022-06,2022-06-01,middle,3.4094597688387984,4.376361592905284,-1.1032888244803376
18-24,2022-06,2022-06-01,zero,3.4993267335088816,4.48948446826443,-1.131761539536
18-24,2022-07,2022-07-01,high,3.562880457948865,4.283929499073362,-0.8976016020745454
18-24,2022-07,2022-07-01,middle,3.2581004047189634,4.353408019172549,-1.2823492360924997
18-24,2022-07,2022-07-01,zero,3.369826896832921,4.515430374894535,-1.2798043043300489
18-24,2022-08,2022-08-01,high,3.6009799329367724,3.8546730208759716,-0.34350557431700507
18-24,2022-08,2022-08-01,middle,3.440169240662905,3.9777288177174386,-0.674455453152754
18-24,2022-08,2022-08-01,zero,3.503994349353518,4.210643684838468,-0.7959652945741077
18-24,2022-09,2022-09-01,high,3.800179850381031,4.316853880431957,-0.7490569989970939
18-24,2022-09,2022-09-01,middle,3.343130100484566,4.354724972972176,-1.1596795463712641
18-24,2022-09,2022-09-01,zero,3.505997842425749,4.369440587275708,-0.9823752768777338
18-24,2022-10,2022-10-01,high,3.740979088439844,4.25425886525748,-0.5076322425312687
18-24,2022-10,2022-10-01,middle,3.4556032260352763,4.310116925769113,-0.8681498795195587
18-24,2022-10,2022-10-01,zero,3.5237669149630304,4.246826173667595,-0.7828061602694778
18-24,2022-11,2022-11-01,high,3.7043953471610163,4.109166952563308,-0.34776852363169314
18-24,2022-11,2022-11-01,middle,3.491012990518375,4.0530780452223585,-0.659240091448063
18-24,2022-11,2022-11-01,zero,3.474379548824226,4.187165459718456,-0.7064049952765755
18-24,2022-12,2022-12-01,high,3.7651902835202806,3.9064373994423995,-0.10617189970237337
18-24,2022-12,2022-12-01,middle,3.486627332502447,3.8550850324333243,-0.47829850794125
18-24,2022-12,2022-12-01,zero,3.4394651152087774,4.055877127209778,-0.5000728466686526
18-24,2023-01,2023-01-01,high,3.724486673808054,4.06628665823892,-0.2934341124592794
18-24,2023-01,2023-01-01,middle,3.572987964695522,3.9973190511791903,-0.5640707019575886
18-24,2023-01,2023-01-01,zero,3.503846723146449,4.0192278807961825,-0.5215026299477822
18-24,2023-02,2023-02-01,high,3.839027299736271,3.957584518541539,-0.18317016750829904
18-24,2023-02,2023-02-01,middle,3.542132429193229,4.093804224139006,-0.5342473004545792
18-24,2023-02,2023-02-01,zero,3.5312689732286375,4.056378263952186,-0.4850359871487094
18-24,2023-03,2023-03-01,high,3.7654695106993006,4.09890280293913,-0.3104896326357108
18-24,2023-03,2023-03-01,middle,3.652462549669471,4.089943999277171,-0.6599521043331655
18-24,2023-03,2023-03-01,zero,3.5183694967953025,4.189536425291983,-0.6311924248363506
18-24,2023-04,2023-04-01,high,3.5949187756253704,3.905341683007631,-0.3238199463218112
18-24,2023-04,2023-04-01,middle,3.4745495034096536,3.872678871902069,-0.710930387423934
18-24,2023-04,2023-04-01,zero,3.422441934878447,4.100061925016269,-0.6789816736089276
18-24,2023-05,2023-05-01,high,3.6149790310870253,4.070045419987682,-0.473898993100183
18-24,2023-05,2023-05-01,middle,3.470940412208312,4.1793340838139,-1.0111804426327033
18-24,2023-05,2023-05-01,zero,3.36561816190525,4.2642547594431335,-0.9347018108202622
18-24,2023-06,2023-06-01,high,3.62503735016864,4.261638756981651,-0.7939270138646126
18-24,2023-06,2023-06-01,middle,3.4312406622886735,4.501618642484888,-1.3558254119475353
18-24,2023-06,2023-06-01,zero,3.301002172818946,4.4631892082357885,-1.1897529124656139
18-24,2023-07,2023-07-01,high,3.7256455467829657,4.188382880648821,-0.6057195981166194
18-24,2023-07,2023-07-01,middle,3.4174768969334703,4.296802787369879,-1.127487258195521
18-24,2023-07,2023-07-01,zero,3.34535695542295,4.529698712856148,-1.1596569944651236
18-24,2023-08,2023-08-01,high,3.8872981097112325,3.8998470221627923,-0.00896581942709672
18-24,2023-08,2023-08-01,middle,3.5737555132746546,4.154857504778032,-0.6472162330133793
18-24,2023-08,2023-08-01,zero,3.4048477412152747,4.06570842420088,-0.6717886076959665
18-24,2023-09,2023-09-01,high,3.966325884928499,4.1981745014667435,-0.3421845671802294
18-24,2023-09,2023-09-01,middle,3.6371029697516972,4.384094572680847,-0.8208930712898754
18-24,2023-09,2023-09-01,zero,3.5406307760174727,4.274734436597831,-0.793797392655008
18-24,2023-10,2023-10-01,high,4.085944743469135,4.228554313239001,-0.2523556547087832
18-24,2023-10,2023-10-01,middle,3.666664944077351,4.3708153058664685,-0.734851264741418
18-24,2023-10,2023-10-01,zero,3.5497116648347835,4.130249455384271,-0.6235495030914149
18-24,2023-11,2023-11-01,high,3.999240965726178,4.146309099370637,-0.19483043294969637
18-24,2023-11,2023-11-01,middle,3.66246691289879,4.098456255943535,-0.499470301895632
18-24,2023-11,2023-11-01,zero,3.5556773399637884,4.1697530662262015,-0.5797864436004057
18-24,2023-12,2023-12-01,high,3.892313227321503,3.869974595773846,0.08120647632718496
18-24,2023-12,2023-12-01,middle,3.6288227760056113,4.021621299397556,-0.3329473298896634
18-24,2023-12,2023-12-01,zero,3.516584903296711,3.8907768747438873,-0.3467233153770459
18-24,2024-01,2024-01-01,high,3.8188297225766923,4.043677877926077,-0.13289494616250255
18-24,2024-01,2024-01-01,middle,3.633035986029003,4.130081040259527,-0.4767619103836765
18-24,2024-01,2024-01-01,zero,3.500956543635125,4.096371560770586,-0.5701706515430223
18-24,2024-02,2024-02-01,high,3.93639527277595,4.034379756244913,-0.0926606499411457
