age_bucket,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
30-39,2021-01,2021-01-01,high,5.481010288394368,4.50361224391701,1.127808959472403
30-39,2021-01,2021-01-01,middle,5.36067519880674,4.532074586472696,0.8895659832119632
30-39,2021-01,2021-01-01,zero,5.248001135225777,4.6873501654145695,0.583807967765497
30-39,2021-02,2021-02-01,high,5.437442469513445,4.408053859333504,1.18611971228343
30-39,2021-02,2021-02-01,middle,5.368546627671314,4.525939540745189,0.9490909596229645
30-39,2021-02,2021-02-01,zero,5.248087379966995,4.737134960825388,0.5985442262741729
30-39,2021-03,2021-03-01,high,5.401141528131564,4.568469449155193,0.9843668184002372
30-39,2021-03,2021-03-01,middle,5.345840525763641,4.570534273925357,0.7381474366031178
30-39,2021-03,2021-03-01,zero,5.208034836544997,4.898497360244517,0.374484187066972
30-39,2021-04,2021-04-01,high,5.356457080201719,4.578599655157188,0.9587380135233616
30-39,2021-04,2021-04-01,middle,5.324461716248512,4.5561486461169505,0.7935834572984163
30-39,2021-04,2021-04-01,zero,5.215264086692737,4.748960035781229,0.46367600182659274
30-39,2021-05,2021-05-01,high,5.3286229310247295,4.507117246651284,0.9817977692269383
30-39,2021-05,2021-05-01,middle,5.282400885885908,4.642316308422382,0.7314029503156613
30-39,2021-05,2021-05-01,zero,5.155111516052882,4.851558827716526,0.3353183035762546
30-39,2021-06,2021-06-01,high,5.3270993493126975,4.687190154700673,0.7451769482282268
30-39,2021-06,2021-06-01,middle,5.2154328712875975,4.703719650874282,0.5566674685062839
30-39,2021-06,2021-06-01,zero,5.1147165636771,4.897929178921246,0.21881386717923615
30-39,2021-07,2021-07-01,high,5.327399710813664,4.544654486540525,0.7850327765000611
30-39,2021-07,2021-07-01,middle,5.194452870718191,4.686517829629359,0.5493337248181469
30-39,2021-07,2021-07-01,zero,5.020466498256212,4.853661756563774,0.16411521307605734
30-39,2021-08,2021-08-01,high,5.260657603256901,4.268522017822672,1.0837562609924682
30-39,2021-08,2021-08-01,middle,5.1736346889242695,4.478783070761471,0.810236904172441
30-39,2021-08,2021-08-01,zero,5.0042914730409755,4.592312887716827,0.4136264996654459
30-39,2021-09,2021-09-01,high,5.218225328067731,4.642728436577407,0.5486753552908843
30-39,2021-09,2021-09-01,middle,5.030825464731658,4.89108380352504,0.20039310318074052
30-39,2021-09,2021-09-01,zero,4.937552555586863,4.93726437822003,0.016979036385929062
30-39,2021-10,2021-10-01,high,5.170274657285257,4.6668144010095105,0.5774623633290573
30-39,2021-10,2021-10-01,middle,5.104800098549263,4.845823067755204,0.29975847662820604
30-39,2021-10,2021-10-01,zero,4.943670080625379,4.914362595071579,0.05088933819628712
30-39,2021-11,2021-11-01,high,5.137433731115989,4.659659147102879,0.5026714321923225
30-39,2021-11,2021-11-01,middle,5.0569366576720345,4.913106471481806,0.2105079264476266
30-39,2021-11,2021-11-01,zero,4.903180701591636,5.06513225128898,-0.09569315670402073
30-39,2021-12,2021-12-01,high,5.107481478493715,4.469491887537944,0.6900544439720636
30-39,2021-12,2021-12-01,middle,4.991885449951176,4.6740974469769005,0.40363432716491376
30-39,2021-12,2021-12-01,zero,4.872303043892796,4.727561253100425,0.20623128663417162
30-39,2022-01,2022-01-01,high,5.131698841124238,4.558416739716948,0.6074116266581017
30-39,2022-01,2022-01-01,middle,4.950324796169171,4.707185802575753,0.3064355385202243
30-39,2022-01,2022-01-01,zero,4.893258348998739,4.885438399972199,0.07197289712098938
30-39,2022-02,2022-02-01,high,5.067771006371796,4.538135575013977,0.5520076187944584
30-39,2022-02,2022-02-01,middle,4.891113298903133,4.826911904906613,0.30161848572745736
30-39,2022-02,2022-02-01,zero,4.8716523592595395,4.812373198666856,0.10620794328268608
30-39,2022-03,2022-03-01,high,5.035428304650637,4.764375169802424,0.29252777318206896
30-39,2022-03,2022-03-01,middle,4.911742820778187,4.906721336760243,0.07016691357595253
30-39,2022-03,2022-03-01,zero,4.859441603435508,4.9583488994364995,-0.0908332356199404
30-39,2022-04,2022-04-01,high,5.009433500008708,4.6225562464890935,0.5005606380104999
30-39,2022-04,2022-04-01,middle,4.940319574833228,4.700445553808846,0.3124895101980016
30-39,2022-04,2022-04-01,zero,4.823583460811354,4.751872270101282,0.08389510291616072
30-39,2022-05,2022-05-01,high,4.971004092836454,4.724768444550506,0.349803195191959
30-39,2022-05,2022-05-01,middle,4.885353146651363,4.765289525121179,0.1790028691639646
30-39,2022-05,2022-05-01,zero,4.7559924319581315,4.859828035961654,-0.056399455814268806
30-39,2022-06,2022-06-01,high,4.936993848155108,4.741873253452618,0.34018839926410704
30-39,2022-06,2022-06-01,middle,4.8503305094230535,4.731551371510729,0.13111580593717806
30-39,2022-06,2022-06-01,zero,4.73726091321307,4.862874441401033,-0.12878711677072788
30-39,2022-07,2022-07-01,high,4.9820604140791325,4.641611670981963,0.43665694193529675
