sample,label,outcome,month_id,event_time,treated_mean,sdid_control_mean,raw_gap,weighted_pre_gap,sdid_event_gap,period_type
total_cno4,Total CNO4,ln_parados,24253,-20,7.135123272382652,7.13512316747119,1.0491146174018695e-07,1.0325017829326631e-07,1.6612834469206408e-09,pre
total_cno4,Total CNO4,ln_parados,24254,-19,7.140029850082109,7.1400301612151456,-3.111330366678544e-07,1.0325017829326631e-07,-4.143832149611207e-07,pre
total_cno4,Total CNO4,ln_parados,24255,-18,7.128224872984548,7.128224362643511,5.10341036985551e-07,1.0325017829326631e-07,4.070908586922847e-07,pre
total_cno4,Total CNO4,ln_parados,24256,-17,7.108699299801438,7.108699579420015,-2.7961857629321685e-07,1.0325017829326631e-07,-3.8286875458648314e-07,pre
total_cno4,Total CNO4,ln_parados,24257,-16,7.074998788364808,7.07499886258613,-7.422132242140833e-08,1.0325017829326631e-07,-1.7747150071467463e-07,pre
total_cno4,Total CNO4,ln_parados,24258,-15,7.0413114270165265,7.041311351882036,7.513449062912514e-08,1.0325017829326631e-07,-2.811568766414117e-08,pre
total_cno4,Total CNO4,ln_parados,24259,-14,7.00277731399984,7.00277725830191,5.5697930712028665e-08,1.0325017829326631e-07,-4.7552247581237645e-08,pre
total_cno4,Total CNO4,ln_parados,24260,-13,6.993328511967104,6.993328541099964,-2.9132859680203183e-08,1.0325017829326631e-07,-1.3238303797346948e-07,pre
total_cno4,Total CNO4,ln_parados,24261,-12,6.96661491585928,6.966614901199014,1.466026589014291e-08,1.0325017829326631e-07,-8.85899124031234e-08,pre
total_cno4,Total CNO4,ln_parados,24262,-11,6.953290620899388,6.953290678230879,-5.733149155418005e-08,1.0325017829326631e-07,-1.6058166984744634e-07,pre
total_cno4,Total CNO4,ln_parados,24263,-10,6.927554206872868,6.9275540937439555,1.1312891246006984e-07,1.0325017829326631e-07,9.878734166803531e-09,pre
total_cno4,Total CNO4,ln_parados,24264,-9,6.896128081816383,6.8961282703431435,-1.8852676042513394e-07,1.0325017829326631e-07,-2.9177693871840024e-07,pre
total_cno4,Total CNO4,ln_parados,24265,-8,6.906011704252558,6.906011648071923,5.618063525503203e-08,1.0325017829326631e-07,-4.706954303823428e-08,pre
total_cno4,Total CNO4,ln_parados,24266,-7,6.890880388084492,6.890880331342067,5.6742424980882333e-08,1.0325017829326631e-07,-4.650775331238398e-08,pre
total_cno4,Total CNO4,ln_parados,24267,-6,6.880888477747702,6.880888442851254,3.489644839760331e-08,1.0325017829326631e-07,-6.8353729895663e-08,pre
total_cno4,Total CNO4,ln_parados,24268,-5,6.849675227313291,6.849675349626988,-1.2231369694859495e-07,1.0325017829326631e-07,-2.2556387524186125e-07,pre
total_cno4,Total CNO4,ln_parados,24269,-4,6.821554723012714,6.821554737990359,-1.4977645790281713e-08,1.0325017829326631e-07,-1.1822782408354802e-07,pre
total_cno4,Total CNO4,ln_parados,24270,-3,6.802605594491491,6.802605597450338,-2.9588465011443077e-09,1.0325017829326631e-07,-1.0620902479441062e-07,pre
total_cno4,Total CNO4,ln_parados,24271,-2,6.824502904037723,6.8245029529369665,-4.889924376527688e-08,1.0325017829326631e-07,-1.5214942205854318e-07,pre
total_cno4,Total CNO4,ln_parados,24272,-1,6.8465663620089305,6.846566369768991,-7.760060150019399e-09,1.0325017829326631e-07,-1.1101023844328571e-07,pre
total_cno4,Total CNO4,ln_parados,24273,0,6.842519129155324,6.842519013975454,1.1517987008602404e-07,1.0325017829326631e-07,1.1929691792757729e-08,pre
total_cno4,Total CNO4,ln_parados,24274,1,6.8440149484705035,6.831422178631876,0.012592769838627227,1.0325017829326631e-07,0.012592666588448934,post
total_cno4,Total CNO4,ln_parados,24275,2,6.8368893309846746,6.823773680418988,0.013115650565686643,1.0325017829326631e-07,0.01311554731550835,post
total_cno4,Total CNO4,ln_parados,24276,3,6.828639444206769,6.806456335022815,0.022183109183954386,1.0325017829326631e-07,0.022183005933776093,post
total_cno4,Total CNO4,ln_parados,24277,4,6.852218865943859,6.847557006624421,0.0046618593194382996,1.0325017829326631e-07,0.004661756069260006,post
total_cno4,Total CNO4,ln_parados,24278,5,6.855265493101708,6.841996484653815,0.013269008447893249,1.0325017829326631e-07,0.013268905197714956,post
total_cno4,Total CNO4,ln_parados,24279,6,6.846884603556665,6.812204354578009,0.03468024897865618,1.0325017829326631e-07,0.034680145728477885,post
total_cno4,Total CNO4,ln_parados,24280,7,6.823434609218674,6.7818015025227565,0.04163310669591791,1.0325017829326631e-07,0.041633003445739614,post
total_cno4,Total CNO4,ln_parados,24281,8,6.811457237163154,6.772695272722282,0.0387619644408721,1.0325017829326631e-07,0.0387618611906938,post
total_cno4,Total CNO4,ln_parados,24282,9,6.810337757575744,6.772653046564206,0.03768471101153814,1.0325017829326631e-07,0.037684607761359845,post
total_cno4,Total CNO4,ln_parados,24283,10,6.826495021824769,6.782947776516322,0.04354724530844667,1.0325017829326631e-07,0.04354714205826837,post
total_cno4,Total CNO4,ln_parados,24284,11,6.844723819069862,6.793692296447113,0.05103152262274868,1.0325017829326631e-07,0.051031419372570386,post
total_cno4,Total CNO4,ln_parados,24285,12,6.850710810328301,6.790653903994963,0.0600569063333376,1.0325017829326631e-07,0.060056803083159305,post
total_cno4,Total CNO4,ln_parados,24286,13,6.86075217782072,6.800357266203571,0.060394911617148495,1.0325017829326631e-07,0.0603948083669702,post
total_cno4,Total CNO4,ln_parados,24287,14,6.852600975168325,6.791113750041992,0.06148722512633231,1.0325017829326631e-07,0.061487121876154016,post
total_cno4,Total CNO4,ln_parados,24288,15,6.842524840826853,6.782123142759978,0.06040169806687423,1.0325017829326631e-07,0.060401594816695936,post
total_cno4,Total CNO4,ln_parados,24289,16,6.8545776114987556,6.804315816226411,0.050261795272344756,1.0325017829326631e-07,0.05026169202216646,post
total_cno4,Total CNO4,ln_parados,24290,17,6.8499969172811115,6.79530214557175,0.05469477170936177,1.0325017829326631e-07,0.05469466845918347,post
total_cno4,Total CNO4,ln_parados,24291,18,6.847373147288391,6.792861572715695,0.05451157457269673,1.0325017829326631e-07,0.054511471322518434,post
total_cno4,Total CNO4,ln_parados,24292,19,6.827223056091949,6.7624044587621235,0.06481859732982542,1.0325017829326631e-07,0.06481849407964713,post
total_cno4,Total CNO4,ln_parados,24293,20,6.805468794668886,6.740227172689184,0.06524162197970185,1.0325017829326631e-07,0.06524151872952355,post
total_cno4,Total CNO4,ln_parados,24294,21,6.788018469317681,6.721666419828577,0.06635204948910367,1.0325017829326631e-07,0.06635194623892537,post
total_cno4,Total CNO4,ln_parados,24295,22,6.805059485158337,6.7417305137576085,0.06332897140072813,1.0325017829326631e-07,0.06332886815054983,post
total_cno4,Total CNO4,ln_parados,24296,23,6.829920345933248,6.7689757539437,0.06094459198954816,1.0325017829326631e-07,0.06094448873936986,post
total_cno4,Total CNO4,ln_parados,24297,24,6.824727405929889,6.760614423038297,0.06411298289159184,1.0325017829326631e-07,0.06411287964141354,post
total_cno4,Total CNO4,ln_parados,24298,25,6.83374429304333,6.763684383605754,0.07005990943757645,1.0325017829326631e-07,0.07005980618739815,post
total_cno4,Total CNO4,ln_parados,24299,26,6.8328711627956045,6.750889772678457,0.08198139011714733,1.0325017829326631e-07,0.08198128686696904,post
total_cno4,Total CNO4,ln_parados,24300,27,6.826747870623874,6.753990581879958,0.07275728874391518,1.0325017829326631e-07,0.07275718549373689,post
total_cno4,Total CNO4,ln_parados,24301,28,6.838699704366458,6.766885374588114,0.07181432977834401,1.0325017829326631e-07,0.07181422652816571,post
total_cno4,Total CNO4,ln_parados,24302,29,6.8435636047237045,6.755887206205649,0.08767639851805509,1.0325017829326631e-07,0.08767629526787679,post
total_cno4,Total CNO4,ln_parados,24303,30,6.8378567766784375,6.747396174985067,0.09046060169337089,1.0325017829326631e-07,0.0904604984431926,post
total_cno4,Total CNO4,ln_parados,24304,31,6.81004497460187,6.7115763791598635,0.09846859544200637,1.0325017829326631e-07,0.09846849219182807,post
total_cno4,Total CNO4,ln_parados,24305,32,6.796101913555365,6.693783799731495,0.1023181138238698,1.0325017829326631e-07,0.1023180105736915,post
total_cno4,Total CNO4,ln_parados,24306,33,6.782573578173899,6.675582136780384,0.10699144139351535,1.0325017829326631e-07,0.10699133814333706,post
total_cno4,Total CNO4,ln_parados,24307,34,6.807753121006253,6.69953407656449,0.10821904444176322,1.0325017829326631e-07,0.10821894119158493,post
total_cno4,Total CNO4,ln_parados,24308,35,6.8280930324244125,6.718370569976972,0.10972246244744088,1.0325017829326631e-07,0.10972235919726259,post
total_cno4,Total CNO4,ln_parados,24309,36,6.827258869313376,6.703642699437348,0.12361616987602808,1.0325017829326631e-07,0.12361606662584979,post
total_cno4,Total CNO4,ln_parados,24310,37,6.833434964772075,6.710939685792415,0.1224952789796605,1.0325017829326631e-07,0.12249517572948221,post
total_cno4,Total CNO4,ln_parados,24311,38,6.831460964450223,6.702857328860937,0.12860363558928523,1.0325017829326631e-07,0.12860353233910693,post
total_cno4,Total CNO4,ln_parados,24312,39,6.822577534185728,6.706805391433722,0.11577214275200642,1.0325017829326631e-07,0.11577203950182813,post
total_cno4,Total CNO4,ln_parados,24313,40,6.832837463299554,6.701372641664038,0.13146482163551632,1.0325017829326631e-07,0.13146471838533802,post
total_cno4,Total CNO4,ln_parados,24314,41,6.836946979721927,6.703917976039641,0.1330290036822861,1.0325017829326631e-07,0.1330289004321078,post
total_cno4,Total CNO4,ln_parados,24315,42,6.843374043882404,6.694667664137917,0.1487063797444872,1.0325017829326631e-07,0.1487062764943089,post
province_cno4,Province-CNO4,ln_parados_p1,24253,-20,2.6600570730671866,2.6600570730836943,-1.6507684108546528e-11,4.2756176980169363e-10,-4.4406945391024016e-10,pre
province_cno4,Province-CNO4,ln_parados_p1,24254,-19,2.662930432023746,2.6629304326444623,-6.207163671945182e-10,4.2756176980169363e-10,-1.048278136996212e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24255,-18,2.649076483136451,2.649076483382891,-2.4644020157893465e-10,4.2756176980169363e-10,-6.740019713806283e-10,pre
province_cno4,Province-CNO4,ln_parados_p1,24256,-17,2.635465708579447,2.635465709534596,-9.55148848902354e-10,4.2756176980169363e-10,-1.3827106187040478e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24257,-16,2.6050762243310808,2.605076225272164,-9.41083211358773e-10,4.2756176980169363e-10,-1.3686449811604668e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24258,-15,2.5735098693527587,2.5735098698267858,-4.740270398428947e-10,4.2756176980169363e-10,-9.015888096445884e-10,pre
province_cno4,Province-CNO4,ln_parados_p1,24259,-14,2.5479158469777246,2.547915845159135,1.8185897232569914e-09,4.2756176980169363e-10,1.3910279534552977e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24260,-13,2.5412756448011775,2.541275644308782,4.92395457740713e-10,4.2756176980169363e-10,6.48336879390194e-11,pre
province_cno4,Province-CNO4,ln_parados_p1,24261,-12,2.519484224717736,2.519484223629027,1.0887086787647604e-09,4.2756176980169363e-10,6.611469089630668e-10,pre
province_cno4,Province-CNO4,ln_parados_p1,24262,-11,2.5067067875797333,2.5067067888740517,-1.2943184302116606e-09,4.2756176980169363e-10,-1.7218802000133543e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24263,-10,2.487278256088387,2.4872782545803784,1.5080083848317827e-09,4.2756176980169363e-10,1.080446615030089e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24264,-9,2.463420423759078,2.463420426007275,-2.2481967398846336e-09,4.2756176980169363e-10,-2.6757585096863274e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24265,-8,2.4775370508447976,2.477537050373592,4.712057410927173e-10,4.2756176980169363e-10,4.364397129102366e-11,pre
province_cno4,Province-CNO4,ln_parados_p1,24266,-7,2.470803862775919,2.4708038617006984,1.0752203571939845e-09,4.2756176980169363e-10,6.476585873922908e-10,pre
province_cno4,Province-CNO4,ln_parados_p1,24267,-6,2.4617870852998487,2.4617870859811126,-6.812639341546856e-10,4.2756176980169363e-10,-1.1088257039563793e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24268,-5,2.445636685210092,2.4456366867626382,-1.5525460916876455e-09,4.2756176980169363e-10,-1.980107861489339e-09,pre
province_cno4,Province-CNO4,ln_parados_p1,24269,-4,2.423190993729356,2.423190993773344,-4.39879244140684e-11,4.2756176980169363e-10,-4.71549694215762e-10,pre
