event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,label,outcome
-20,memo_bevent_m20,-0.03303317768907735,0.02077153253222199,0.1117649262594056,-0.07374538145223244,0.007679026074077756,total_cno4,Total CNO4,ln_parados
-19,memo_bevent_m19,-0.03467630620071688,0.020859297085467878,0.09643441707982903,-0.07556052848823391,0.006207916086800165,total_cno4,Total CNO4,ln_parados
-18,memo_bevent_m18,-0.025100442187593636,0.019879455010559148,0.20672135096590027,-0.06406417400828956,0.013863289633102294,total_cno4,Total CNO4,ln_parados
-17,memo_bevent_m17,-0.034832683571234646,0.01889773095866367,0.06529683482541238,-0.07187223625021544,0.0022068691077461455,total_cno4,Total CNO4,ln_parados
-16,memo_bevent_m16,-0.03722119887634068,0.01820471662595631,0.04089520238831468,-0.07290244346321505,-0.0015399542894663082,total_cno4,Total CNO4,ln_parados
-15,memo_bevent_m15,-0.02586203244115748,0.01683639528396581,0.12451901754891925,-0.05886136719773046,0.007137302315415504,total_cno4,Total CNO4,ln_parados
-14,memo_bevent_m14,-0.00499821180788379,0.013437470245092462,0.7099220564350834,-0.03133565348826502,0.021339229872497433,total_cno4,Total CNO4,ln_parados
-13,memo_bevent_m13,0.00409896416567318,0.012934063408517125,0.7513101262446966,-0.021251800115020387,0.029449728446366747,total_cno4,Total CNO4,ln_parados
-12,memo_bevent_m12,-0.004142644614234886,0.014232484521174598,0.7709980337246911,-0.0320383142757371,0.023753025047267326,total_cno4,Total CNO4,ln_parados
-11,memo_bevent_m11,-0.0211991521724825,0.014182405563101106,0.13497967301288605,-0.04899666707616067,0.0065983627311956665,total_cno4,Total CNO4,ln_parados
-10,memo_bevent_m10,-0.023608357656961204,0.014379281329544321,0.10062492002948042,-0.05179174906286807,0.004575033748945665,total_cno4,Total CNO4,ln_parados
-9,memo_bevent_m9,-0.0438937698391797,0.013354924211349603,0.0010136497746155992,-0.07006942129342492,-0.017718118384934475,total_cno4,Total CNO4,ln_parados
-8,memo_bevent_m8,-0.03217728929269145,0.013504300631230757,0.01718414668416557,-0.05864571852990373,-0.0057088600554791695,total_cno4,Total CNO4,ln_parados
-7,memo_bevent_m7,-0.03323024769221494,0.013478301349239764,0.013683646510206149,-0.05964771833672488,-0.006812777047705006,total_cno4,Total CNO4,ln_parados
-6,memo_bevent_m6,-0.041587748479374936,0.013039017796785736,0.0014252665648155638,-0.06714422336107498,-0.016031273597674894,total_cno4,Total CNO4,ln_parados
-5,memo_bevent_m5,-0.050536993547212194,0.012086963509105124,2.9008213297876395e-05,-0.07422744202505824,-0.02684654506936615,total_cno4,Total CNO4,ln_parados
-4,memo_bevent_m4,-0.05226134401244978,0.012857780649551691,4.8121183521931954e-05,-0.07746259408557109,-0.027060093939328466,total_cno4,Total CNO4,ln_parados
-3,memo_bevent_m3,-0.0402809806225482,0.010989978757921345,0.0002471005148432237,-0.061821338988074036,-0.018740622257022367,total_cno4,Total CNO4,ln_parados
-2,memo_bevent_m2,-0.008118451162612755,0.0048886916131946675,0.09678189313020957,-0.017700286724474303,0.0014633843992487919,total_cno4,Total CNO4,ln_parados
-1,reference,0.0,,,,,total_cno4,Total CNO4,ln_parados
0,memo_bevent_0,-0.011166907463792508,0.009082152880776698,0.21886787505055372,-0.028967927110114835,0.006634112182529819,total_cno4,Total CNO4,ln_parados
1,memo_bevent_p1,-0.007243816747279225,0.011566359454382074,0.5311291959457081,-0.02991388127786809,0.01542624778330964,total_cno4,Total CNO4,ln_parados
2,memo_bevent_p2,-0.011054259836784902,0.012636403178355902,0.3816855651334361,-0.035821610066362475,0.013713090392792667,total_cno4,Total CNO4,ln_parados
3,memo_bevent_p3,-0.0077076591331644295,0.012408439241700694,0.5344926044970679,-0.03202820004689779,0.016612881780568932,total_cno4,Total CNO4,ln_parados
