period,period_date,nearest_group,occupations,total_parados,mean_parados,mean_ln_parados,total_contratos,ln_total_parados,base_ln_total_parados,ln_total_parados_index
2021-01,2021-01-01,high,124,1186277.0,9566.75,7.156475383274553,181317.0,13.986330389448094,13.725741342557969,0.2605890468901251
2021-01,2021-01-01,middle,125,799805.0,6398.44,6.9708113160239265,400740.0,13.592123226938204,13.314614822809181,0.2775084041290228
2021-01,2021-01-01,zero,253,1978271.0,7819.252964426877,7.005779315272238,720372.0,14.497733788858039,14.204370638300036,0.29336315055800277
2021-02,2021-02-01,high,124,1200191.0,9678.959677419354,7.161108221113693,171509.0,13.997991268759225,13.725741342557969,0.27224992620125654
2021-02,2021-02-01,middle,125,806569.0,6452.552,6.970007073744663,395147.0,13.6005447277545,13.314614822809181,0.2859299049453181
2021-02,2021-02-01,zero,253,2002029.0,7913.158102766798,7.012055281623017,645628.0,14.509671724266875,14.204370638300036,0.305301085966839
2021-03,2021-03-01,high,124,1183353.0,9543.16935483871,7.14915262191391,209763.0,13.983862492363693,13.725741342557969,0.2581211498057243
2021-03,2021-03-01,middle,125,793270.0,6346.16,6.945792663946076,414702.0,13.583918921860036,13.314614822809181,0.2693040990508546
2021-03,2021-03-01,zero,253,1973017.0,7798.486166007905,6.990523818410111,779642.0,14.495074401287956,14.204370638300036,0.29070376298792056
2021-04,2021-04-01,high,124,1172474.0,9455.435483870968,7.1295997990140645,205042.0,13.97462660421662,13.725741342557969,0.24888526165865166
2021-04,2021-04-01,middle,125,784927.0,6279.416,6.927227814380624,390450.0,13.573345998809797,13.314614822809181,0.2587311760006159
2021-04,2021-04-01,zero,253,1953227.0,7720.264822134387,6.980703236893906,761353.0,14.484993434543277,14.204370638300036,0.28062279624324127
2021-05,2021-05-01,high,124,1138276.0,9179.645161290322,7.0958759522438335,217324.0,13.945025395018297,13.725741342557969,0.21928405246032767
2021-05,2021-05-01,middle,125,756334.0,6050.672,6.882279728358484,460598.0,13.536238356539052,13.314614822809181,0.2216235337298702
2021-05,2021-05-01,zero,253,1886640.0,7457.075098814229,6.9493679054287805,867386.0,14.450308027135748,14.204370638300036,0.2459373888357117
2021-06,2021-06-01,high,124,1093953.0,8822.201612903225,7.063592123443359,270001.0,13.905308299432413,13.725741342557969,0.17956695687444402
2021-06,2021-06-01,middle,125,730691.0,5845.528,6.8386251472859785,477700.0,13.501745940747112,13.314614822809181,0.18713111793793047
2021-06,2021-06-01,zero,253,1789695.0,7073.893280632411,6.905724910193125,1050346.0,14.39755577223728,14.204370638300036,0.19318513393724324
2021-07,2021-07-01,high,124,1044793.0,8425.75,7.029960096451261,265380.0,13.859329337635,13.725741342557969,0.1335879950770309
2021-07,2021-07-01,middle,125,700415.0,5603.32,6.81768575813714,436385.0,13.45942829549803,13.314614822809181,0.14481347268884903
2021-07,2021-07-01,zero,253,1671290.0,6605.889328063241,6.851229062567752,1136485.0,14.329106341292874,14.204370638300036,0.12473570299283843
2021-08,2021-08-01,high,124,1026298.0,8276.59677419355,7.021387292526985,184454.0,13.841468710883978,13.725741342557969,0.11572736832600938
2021-08,2021-08-01,middle,125,682494.0,5459.952,6.815305788011883,346899.0,13.433509014793819,13.314614822809181,0.11889419198463713
2021-08,2021-08-01,zero,253,1625123.0,6423.411067193676,6.833559082669919,876210.0,14.301094063189149,14.204370638300036,0.09672342488911312
2021-09,2021-09-01,high,124,994381.0,8150.663934426229,6.966614915859282,266139.0,13.809875711996902,13.725741342557969,0.08413436943893338
2021-09,2021-09-01,middle,125,614096.0,4992.650406504065,6.732169898949116,500859.0,13.327906546699143,13.314614822809181,0.013291723889961915
2021-09,2021-09-01,zero,253,1591941.0,6317.226190476191,6.804911370318074,1093534.0,14.280464584398208,14.204370638300036,0.07609394609817244
2021-10,2021-10-01,high,124,1000587.0,8069.25,6.9760004215199585,275118.0,13.816097385747165,13.725741342557969,0.0903560431891961
2021-10,2021-10-01,middle,125,653140.0,5225.12,6.768072571094051,527292.0,13.389546780378764,13.314614822809181,0.07493195756958215
2021-10,2021-10-01,zero,253,1603340.0,6362.460317460317,6.838117295855769,1089745.0,14.287599511409347,14.204370638300036,0.08322887310931115
2021-11,2021-11-01,high,124,974078.0,7855.467741935484,6.949441605086911,288693.0,13.789246661553793,13.725741342557969,0.06350531899582457
2021-11,2021-11-01,middle,125,638314.0,5106.512,6.741417566025559,576976.0,13.366585604263841,13.314614822809181,0.05197078145465994
2021-11,2021-11-01,zero,253,1570295.0,6206.699604743083,6.789320717052479,1155877.0,14.266774057763028,14.204370638300036,0.062403419462992105
2021-12,2021-12-01,high,124,941962.0,7596.467741935484,6.918282541044426,235596.0,13.755720213042073,13.725741342557969,0.029978870484104192
2021-12,2021-12-01,middle,125,624692.0,4997.536,6.715295404599714,508556.0,13.345014007252711,13.314614822809181,0.030399184443529847
2021-12,2021-12-01,zero,253,1539251.0,6083.99604743083,6.778447065192212,937398.0,14.24680649244029,14.204370638300036,0.04243585414025475
2022-01,2022-01-01,high,124,951707.0,7675.056451612903,6.926947170352698,232509.0,13.766012493292395,13.725741342557969,0.04027115073442644
2022-01,2022-01-01,middle,125,627179.0,5017.432,6.7206075219923544,479940.0,13.348987265314939,13.314614822809181,0.03437244250575766
2022-01,2022-01-01,zero,253,1544192.0,6103.525691699605,6.775395213953997,883883.0,14.250011354167354,14.204370638300036,0.045640715867317994
2022-02,2022-02-01,high,124,948018.0,7645.306451612903,6.911400941055131,225328.0,13.762128768398673,13.725741342557969,0.036387425840704424
2022-02,2022-02-01,middle,125,625268.0,5002.144,6.696587014346254,423357.0,13.345935636810092,13.314614822809181,0.031320814000910246
2022-02,2022-02-01,zero,253,1538398.0,6080.624505928854,6.760901943055953,795372.0,14.24625217320386,14.204370638300036,0.0418815349038244
2022-03,2022-03-01,high,124,942164.0,7598.096774193548,6.901278523981792,275828.0,13.755934636069805,13.725741342557969,0.03019329351183586
2022-03,2022-03-01,middle,125,624038.0,4992.304,6.689075085204918,475551.0,13.34396654293329,13.314614822809181,0.029351720124108027
2022-03,2022-03-01,zero,253,1542561.0,6097.079051383399,6.759137026769773,920462.0,14.248954580170999,14.204370638300036,0.04458394187096282
2022-04,2022-04-01,high,124,919901.0,7418.556451612903,6.870510731101767,233291.0,13.73202133453934,13.725741342557969,0.006279991981370969
2022-04,2022-04-01,middle,125,603120.0,4824.96,6.654535299047405,383386.0,13.309871460885583,13.314614822809181,-0.004743361923598144
2022-04,2022-04-01,zero,253,1499482.0,5926.806324110672,6.737318478957586,833416.0,14.220630273097818,14.204370638300036,0.01625963479778214
2022-05,2022-05-01,high,124,891738.0,7191.435483870968,6.842229298981995,251687.0,13.700927646444304,13.725741342557969,-0.024813696113664463
2022-05,2022-05-01,middle,125,581758.0,4654.064,6.626219417601465,450197.0,13.273809832681502,13.314614822809181,-0.04080499012767902
2022-05,2022-05-01,zero,253,1449495.0,5729.229249011858,6.735408365157771,938711.0,14.186725777872566,14.204370638300036,-0.017644860427470377
2022-06,2022-06-01,high,124,879564.0,7093.258064516129,6.8254506031923485,285879.0,13.687181609130775,13.725741342557969,-0.038559733427193876
2022-06,2022-06-01,middle,125,584889.0,4679.112,6.611797435617891,445731.0,13.279177364620658,13.314614822809181,-0.03543745818852351
2022-06,2022-06-01,zero,253,1416129.0,5597.347826086957,6.682002338123504,1037378.0,14.16343765078121,14.204370638300036,-0.04093298751882557
2022-07,2022-07-01,high,124,884166.0,7130.370967741936,6.853013716163694,270056.0,13.692400106796226,13.725741342557969,-0.03334123576174264
2022-07,2022-07-01,middle,125,597006.0,4776.048,6.640879195192748,377771.0,13.299682442575492,13.314614822809181,-0.014932380233689813
2022-07,2022-07-01,zero,253,1402640.0,5544.03162055336,6.677402921634914,1007688.0,14.15386673314401,14.204370638300036,-0.05050390515602565
2022-08,2022-08-01,high,124,899257.0,7252.072580645161,6.875590355004214,194682.0,13.709324145792237,13.725741342557969,-0.01641719676573139
2022-08,2022-08-01,middle,125,606517.0,4852.136,6.662303656433476,307400.0,13.315488036651901,13.314614822809181,0.0008732138427198777
2022-08,2022-08-01,zero,253,1418466.0,5606.584980237154,6.691861109312827,781709.0,14.165086563962465,14.204370638300036,-0.039284074337571084
2022-09,2022-09-01,high,124,891002.0,7303.295081967213,6.842519129155328,264249.0,13.700101951119338,13.725741342557969,-0.02563939143863081
