spec,outcome,beta_log_points,se,p_value,ci95_low,ci95_high,effect_pct,nobs,clusters,periods,notes
gender_hombre_parados,ln_parados,0.0859146717915463,0.02228445312509857,0.00011555769753359147,0.0422371436663531,0.12959219991673948,8.971334105084727,23712,377,63,Gender subgroup: Hombre
gender_hombre_contratos,ln_contratos_p1,0.12823273282899347,0.029196016151655547,1.1224493818040243e-05,0.0710085411717486,0.18545692448623835,13.681754667551926,23736,377,63,Gender subgroup: Hombre
gender_mujer_parados,ln_parados,0.06871427171252477,0.022951330708358246,0.00275425084134976,0.02372966352414261,0.11369887990090694,7.11301132473785,23504,376,63,Gender subgroup: Mujer
gender_mujer_contratos,ln_contratos_p1,0.06403814028099997,0.032049343194833414,0.04570464401570329,0.0012214276191264695,0.12685485294287346,6.613306060058788,23736,377,63,Gender subgroup: Mujer
age_<18_parados,ln_parados,0.04919794356723067,0.05870819658626803,0.4020261610945548,-0.06587012174185466,0.164266008876316,5.04282556786757,12093,314,62,Age subgroup: <18
age_<18_contratos,ln_contratos_p1,0.04994569053065487,0.024356689668340564,0.04030646581283005,0.0022065787807073606,0.09768480228060238,5.121400395098563,23359,377,62,Age subgroup: <18
age_18-24_parados,ln_parados,0.07945221973495921,0.03945639428598871,0.04404402597347554,0.0021176869344213395,0.15678675253549706,8.269382689554217,22147,377,62,Age subgroup: 18-24
age_18-24_contratos,ln_contratos_p1,0.12446565443116489,0.035411073707372086,0.00043995369020798027,0.05505994996471561,0.19387135889761417,13.25431219544997,23359,377,62,Age subgroup: 18-24
age_25-29_parados,ln_parados,0.07029560597241805,0.03552219577845682,0.047824943392026316,0.0006721022466426863,0.1399191096981934,7.282526794211286,22676,376,62,Age subgroup: 25-29
age_25-29_contratos,ln_contratos_p1,0.10783855490254372,0.03035217077111832,0.0003809936516986049,0.04834830019115182,0.16732880961393562,11.386790235742094,23359,377,62,Age subgroup: 25-29
age_under_30_parados,ln_parados,0.05044925618952186,0.03570718134591558,0.15769682677184094,-0.019536819248472677,0.1204353316275164,5.1743492528438795,23016,377,62,Age subgroup: under_30
age_under_30_contratos,ln_contratos_p1,0.10886439397545661,0.03189504270424117,0.0006420307446022538,0.04635011027514392,0.1713786776757693,11.50111378612908,23359,377,62,Age subgroup: under_30
age_30-39_parados,ln_parados,0.18078619450748806,0.03518288341351294,2.769842524786054e-07,0.11182774301700271,0.2497446459979734,19.815897893505486,23199,377,62,Age subgroup: 30-39
age_30-39_contratos,ln_contratos_p1,0.12050012912548513,0.028862050364881098,2.979375824248514e-05,0.06393051041031819,0.17706974784065208,12.80608866271642,23359,377,62,Age subgroup: 30-39
age_40-44_parados,ln_parados,0.09641461817850826,0.030001914981782455,0.0013107508137327583,0.03761086481421465,0.15521837154280188,10.12155533399195,23073,377,62,Age subgroup: 40-44
age_40-44_contratos,ln_contratos_p1,0.10076243747927545,0.02847277013785231,0.0004017899462521931,0.04495580800908492,0.15656906694946598,10.601386311020299,23359,377,62,Age subgroup: 40-44
age_>44_parados,ln_parados,0.07412825270267796,0.019379178440983212,0.0001306928082047035,0.03614506295835087,0.11211144244700505,7.694491773573153,23354,377,62,Age subgroup: >44
age_>44_contratos,ln_contratos_p1,0.1402576611447069,0.029942085169527843,2.8092052779285303e-06,0.08157117421243232,0.19894414807698146,15.057021790716307,23359,377,62,Age subgroup: >44
