term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_m20,0.027929558260751032,0.053276731953426096,0.6001146995395295,-0.07649283636796411,0.1323519528894662,2.832324499218797,-20,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m19,0.007598645405174069,0.05404863080415483,0.8881946028529375,-0.0983366709709694,0.11353396178131753,0.7627588373845251,-19,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m18,0.02339151067946999,0.050794717627772296,0.6451496971473385,-0.07616613587096371,0.12294915722990368,2.3667237759090742,-18,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m17,-0.004885762148110673,0.047932260535120765,0.9188117930854753,-0.09883299279694738,0.08906146850072602,-0.4873846226245315,-17,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m16,0.01633699897543342,0.04199042626830715,0.6972281732557659,-0.0659642365104486,0.09863823446131544,1.6471177438475815,-16,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m15,-0.006932812470361019,0.041926509700854576,0.8686635485208609,-0.089108771484036,0.07524314654331395,-0.690883596618519,-15,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m14,-0.015697668945588866,0.0419264329123956,0.7080994248528931,-0.09787347745388425,0.06647813956270651,-1.5575102713215383,-14,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m13,-0.01020913292924054,0.04884334501665869,0.8344342726500587,-0.10594208916189157,0.08552382330341049,-1.0157196623469367,-13,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m12,0.007774494298467344,0.04735113999111187,0.8695830589865678,-0.08503374008411192,0.1005827286810466,0.7804794150375605,-12,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m11,0.008813466831011406,0.0452039228972475,0.8454154292430731,-0.0797862220475937,0.0974131557096165,0.8852419782552801,-11,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m10,0.031748098673579375,0.04740607303432223,0.5030456682317361,-0.0611678044736922,0.12466400182085095,3.2257445532055673,-10,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m9,0.03197986939121437,0.047285143652530906,0.49883775189893775,-0.06069901216774621,0.12465875095017495,3.2496720308362814,-9,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m8,0.022704227385723256,0.04303163584197427,0.5977651143151874,-0.061637778864546314,0.10704623363599282,2.2963930081716155,-8,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m7,0.01989729066065184,0.042053009856728156,0.6361077097938406,-0.06252660865853535,0.10232118997983902,2.0096561202093577,-7,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
event_m6,-0.0073878303104490985,0.0496592835800119,0.8817348266690062,-0.10472002612727241,0.08994436550637422,-0.7360607372834949,-6,18.433885463686465,19,0.4936525920112391,23199,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3720}"
