cno2,occupations,treated_occupations,control_occupations,mean_exposure,mean_parados,total_mean_parados,cno2_label,contribution_to_baseline_beta,share_of_beta,baseline_beta_reconstructed
27,8,8,0,0.3343125,1304.1210317460318,10432.968253968254,Profesionales de las tecnologías de la información,0.024345037120062498,0.27324854697133005,0.089094845663047
38,8,5,2,0.2921875,3080.0734126984125,24640.5873015873,Técnicos de las tecnologías de la información y las comunicaciones (TIC),0.01260745332604164,0.14150597862554815,0.089094845663047
81,27,0,22,0.004348148148148149,1545.1310993533216,41718.53968253968,Operadores de instalaciones y maquinaria fijas,0.010172333655967812,0.11417421041885133,0.089094845663047
24,42,6,14,0.0665952380952381,984.562358276644,41351.619047619046,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.006686176541220278,0.0750456043945249,0.089094845663047
59,12,3,8,0.03560833333333333,2182.0712767802934,26184.85532136352,Trabajadores de los servicios de protección y seguridad,0.005968856080950395,0.06699440395827566,0.089094845663047
78,15,0,10,0.011326666666666667,1313.7238095238095,19705.85714285714,"Trabajadores de la madera, textil, confección, piel, cuero, calzado y otros operarios en oficios",0.005612601640562385,0.0629958063094807,0.089094845663047
58,17,7,4,0.13203529411764706,5499.901027077497,93498.31746031746,Trabajadores de los servicios personales,0.005434389791520309,0.06099555761141273,0.089094845663047
73,9,0,9,0.0,2879.181657848325,25912.634920634922,"Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines",0.005273603024664869,0.059190887928684634,0.089094845663047
77,9,0,9,0.0,2464.1922398589068,22177.73015873016,"Trabajadores de la industria de la alimentación, bebidas y tabaco",0.004165559881179577,0.04675421849804366,0.089094845663047
71,10,0,10,0.0,9994.187301587302,99941.87301587302,Trabajadores en obras estructurales de construcción y afines,0.0031039475371612145,0.03483868807518019,0.089094845663047
64,5,0,5,0.0,809.4456414259693,4047.2282071298464,"Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas",0.0030989012801063667,0.03478204891701909,0.089094845663047
72,14,0,9,0.007278571428571428,3763.554421768708,52689.76190476191,"Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines",0.003059742424582463,0.034342530163352904,0.089094845663047
76,12,0,8,0.021958333333333333,808.60582010582,9703.269841269841,"Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas",0.0026586983663090835,0.029841214118762494,0.089094845663047
94,10,2,5,0.05406,4074.734920634921,40747.34920634921,"Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en servicios",0.0024870949742460233,0.027915138701200663,0.089094845663047
42,4,2,1,0.170125,1694.8174603174605,6779.269841269842,"Empleados de bibliotecas, servicios de correos y afines",0.0024489830690052738,0.027487370911076336,0.089094845663047
83,8,0,8,0.0,2141.065476190476,17128.52380952381,"Maquinistas de locomotoras, operadores de maquinaria agrícola y de equipos pesados móviles, y marineros",0.002292874551779669,0.025735209873433366,0.089094845663047
37,15,2,11,0.04946,3074.410582010582,46116.15873015873,"Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",0.0021071573908731235,0.02365072160113847,0.089094845663047
74,5,0,5,0.0,4447.377777777778,22236.88888888889,Mecánicos y ajustadores de maquinaria,0.0019885707932330797,0.022319706358253,0.089094845663047
62,6,0,6,0.0,308.84391534391534,1853.063492063492,"Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares)",0.0014821043657487864,0.01663513028973689,0.089094845663047
45,1,1,0,0.4528,2775.8571428571427,2775.8571428571427,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,0.001452648013186758,0.016304512369667404,0.089094845663047
12,6,3,1,0.17941666666666667,2061.952380952381,12371.714285714286,Directores de departamentos administrativos y comerciales,0.0011229225597122658,0.0126036759068994,0.089094845663047
92,5,0,5,0.0,64404.279365079376,322021.39682539686,Otro personal de limpieza,0.0009424985168686705,0.010578597559202927,0.089094845663047
95,7,0,5,0.0058,9328.387755102041,65298.71428571429,"Peones agrarios, forestales y de la pesca",0.0009148408625189172,0.010268168216810288,0.089094845663047
82,3,0,3,0.0,3900.719576719577,11702.158730158731,Montadores y ensambladores en fábricas,0.0008370953344154526,0.00939555288732765,0.089094845663047
75,6,0,6,0.0,4540.373015873016,27242.238095238095,Trabajadores especializados en electricidad y electrotecnología,0.0008278038912427565,0.009291265786277652,0.089094845663047
96,3,0,1,0.018733333333333334,31748.370370370376,95245.11111111112,Peones de la construcción y de la minería,0.0007199233917799361,0.008080415723516223,0.089094845663047
54,8,5,2,0.13340000000000002,1347.0198412698412,10776.15873015873,Vendedores (excepto en tiendas y almacenes),0.000704007921886716,0.007901780587277122,0.089094845663047
22,6,1,2,0.08283333333333334,6568.675110940433,39412.0506656426,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",0.0006929125734820155,0.007777246464992847,0.089094845663047
51,2,0,1,0.0058,81282.34126984127,162564.68253968254,Trabajadores asalariados de los servicios de restauración,0.0006795657892986588,0.007627442241369926,0.089094845663047
33,17,4,12,0.054441176470588236,1113.6489262371615,18932.031746031746,Técnicos sanitarios y profesionales de las terapias alternativas,0.0005537415356431379,0.006215191591861165,0.089094845663047
25,6,4,0,0.15606666666666666,1789.2698412698412,10735.619047619048,Profesionales en derecho,0.00046886639886860033,0.0052625535784845915,0.089094845663047
63,1,0,1,0.0,146.12698412698413,146.12698412698413,Trabajadores cualificados en actividades agropecuarias mixtas,0.00037726596771328423,0.004234430902322772,0.089094845663047
53,1,1,0,0.3222,513.3968253968254,513.3968253968254,Comerciantes propietarios de tiendas,0.00029173270138831007,0.003274406046918034,0.089094845663047
13,14,5,2,0.09571428571428572,426.7448979591837,5974.428571428572,Directores de producción y operaciones,0.00026698333627509115,0.0029966193250371745,0.089094845663047
15,2,1,0,0.09105,832.0714285714284,1664.1428571428569,Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes,0.0002623049130929179,0.002944108732001671,0.089094845663047
97,1,0,1,0.0,185193.7142857143,185193.7142857143,Peones de las industrias manufactureras,0.0002554694780632891,0.0028673878512508353,0.089094845663047
93,2,0,1,0.0058,14547.349206349207,29094.698412698413,Ayudantes de preparación de alimentos,0.00023671174913041966,0.002656851217023863,0.089094845663047
57,3,0,1,0.008133333333333334,17414.66796773354,52244.003903200624,Otros trabajadores de los cuidados a las personas,0.00020060982892871858,0.0022516434866211746,0.089094845663047
50,1,0,1,0.0,737.968253968254,737.968253968254,Camareros y cocineros propietarios,0.00018362303452963726,0.0020609838107143925,0.089094845663047
28,7,3,1,0.1821857142857143,3585.054421768708,25095.380952380954,Profesionales en ciencias sociales,-0.00011112219287242343,-0.001247234809662087,0.089094845663047
35,10,6,1,0.21362,4461.771428571428,44617.71428571428,"Representantes, agentes comerciales y afines",-0.000131676147992568,-0.001477932275572503,0.089094845663047
36,10,3,3,0.12050000000000001,3002.695238095238,30026.95238095238,"Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad",-0.0002646482116433263,-0.002970409900525726,0.089094845663047
43,2,2,0,0.56175,103780.28571428571,207560.57142857142,Otros empleados administrativos sin tareas de atención al público,-0.0003762664857733913,-0.004223212723173858,0.089094845663047
84,6,0,6,0.0,8475.560846560847,50853.36507936508,Conductores de vehículos para el transporte urbano o por carretera,-0.00040997803785249547,-0.004601590976463615,0.089094845663047
52,2,2,0,0.29245,166168.14285714287,332336.28571428574,Dependientes en tiendas y almacenes,-0.0004413265170860445,-0.004953446114662155,0.089094845663047
91,1,0,1,0.0,27503.68253968254,27503.68253968254,Empleados domésticos,-0.0005438826887000396,-0.006104535954380361,0.089094845663047
41,6,3,1,0.23565000000000003,4677.910052910053,28067.460317460318,"Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte",-0.0005766233277646884,-0.006472016685964683,0.089094845663047
