event_time,term,beta,se,num_pre_periods,num_post_periods
-12,event_m12,-0.004142644614186645,0.01423248452117202,11,13
-11,event_m11,-0.02119915217248401,0.014182405563098625,11,13
-10,event_m10,-0.023608357656937057,0.014379281329542793,11,13
-9,event_m9,-0.04389376983917491,0.013354924211347883,11,13
-8,event_m8,-0.03217728929272289,0.013504300631229876,11,13
-7,event_m7,-0.033230247692190636,0.01347830134923845,11,13
-6,event_m6,-0.04158774847936527,0.013039017796783783,11,13
-5,event_m5,-0.050536993547211286,0.012086963509103524,11,13
-4,event_m4,-0.052261344012425395,0.012857780649549969,11,13
-3,event_m3,-0.040280980622543594,0.0109899787579195,11,13
-2,event_m2,-0.008118451162578295,0.004888691613188561,11,13
0,event_0,-0.011166907463772158,0.0090821528807757,11,13
1,event_p1,-0.007243816747275255,0.011566359454380132,11,13
2,event_p2,-0.011054259836760602,0.012636403178354596,11,13
3,event_p3,-0.007707659133121345,0.01240843924169906,11,13
4,event_p4,-0.008935205375848484,0.013894761734840142,11,13
5,event_p5,-0.005406431104379702,0.015053873428153123,11,13
6,event_p6,0.008182822556942877,0.01585672921736824,11,13
7,event_p7,0.011456946983431401,0.016304531781695875,11,13
8,event_p8,0.017273982253949372,0.016830054312892057,11,13
9,event_p9,0.030047781879538354,0.016447428290252815,11,13
10,event_p10,0.05360646374339652,0.014217250057231548,11,13
11,event_p11,0.06094366873839573,0.014264988604497273,11,13
12,event_p12,0.057319559912601216,0.01628042061501167,11,13
