,event_m12,event_m11,event_m10,event_m9,event_m8,event_m7,event_m6,event_m5,event_m4,event_m3,event_m2,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10,event_p11,event_p12
event_m12,0.00020256361564540117,0.000182801847007374,0.00017282545599115856,0.00015193970046431266,0.00013102233795287224,0.00012995789049451704,0.00010600119438305797,7.909680141840999e-05,7.929100437145399e-05,5.2326968685054025e-05,1.232807739520773e-05,5.794143971895372e-05,5.5615590468171376e-05,6.743382930173604e-05,6.874456326509459e-05,7.656720116870985e-05,7.529938674719579e-05,7.049430758615851e-05,6.753954636386393e-05,7.243980159034029e-05,6.991803480340966e-05,4.030693196305411e-05,3.442482816411577e-05,6.419359872292157e-05
event_m11,0.00018280184700738032,0.00020114062755621082,0.0001961389121580276,0.00016676166045202645,0.00015144393835136237,0.0001492884314775282,0.00012590529273781264,9.95250567487144e-05,0.00010581312252496039,7.37196093372544e-05,1.4672208813900842e-05,6.916654919573143e-05,8.38412120153216e-05,9.71728188046331e-05,9.21379355329812e-05,0.0001054390841752069,0.00010969082056294463,0.00010260258465468867,9.688176168029984e-05,9.931147464794844e-05,8.930940884262636e-05,4.6469337176196447e-05,4.118445552197943e-05,8.4259167942655e-05
event_m10,0.00017282545599116108,0.00019613891215802373,0.00020676373155413793,0.00017828937701374294,0.00016841809477643313,0.00016188306290996801,0.00014440873369369041,0.00011730212010423946,0.00011982638196481607,8.27439410384132e-05,1.6892945207787267e-05,7.650354486789536e-05,9.353782301200021e-05,0.0001077704075836572,0.00010112810936457809,0.00011694873202489901,0.0001202710952000853,0.00011322163864925096,0.0001066486237813746,0.00010588358363398903,9.438598248306523e-05,4.457896743299809e-05,3.8890560485446875e-05,8.580377701773995e-05
event_m9,0.0001519397004643219,0.00016676166045202822,0.0001782893770137483,0.00017835400069084585,0.00016534145218155503,0.0001523699411127205,0.0001399845577839589,0.00010957412305724275,0.00010436877257944169,6.849597702201405e-05,1.3949390704449094e-05,6.136289462406214e-05,7.063408335598931e-05,8.63629249007492e-05,8.527212900822257e-05,8.798162835293088e-05,8.926052914571964e-05,8.499494478145116e-05,8.137212022011353e-05,7.887422827800592e-05,6.901582890124208e-05,2.77204367456943e-05,2.0005854928178536e-05,6.0523187196124626e-05
event_m8,0.0001310223379529009,0.00015144393835138368,0.00016841809477645297,0.00016534145218157026,0.00018236613553863565,0.00017004091008113314,0.00015786816464336234,0.00012052264652074618,0.0001146626703944954,6.768907288184117e-05,1.4314050433878792e-05,7.389566990266796e-05,8.507539570442426e-05,0.00010219545245486294,9.578236383356137e-05,0.00010455643494787486,0.0001084647464585429,0.0001076916054531677,0.0001038033199517106,9.701054745421634e-05,8.660227530307169e-05,3.227542037767221e-05,2.1307224071486515e-05,7.174949561876415e-05
event_m7,0.00012995789049453257,0.00014928843147753648,0.0001618830629099779,0.0001523699411127223,0.00017004091008112186,0.00018166460726088305,0.00016414266632358988,0.00012808663465332996,0.00011982092832337622,6.830853680681905e-05,1.5442007438683864e-05,8.439455448876621e-05,0.00010216495311072606,0.00011723896759042553,0.00011041612046009345,0.00011831325409638264,0.00012089711305746826,0.0001261462526416946,0.00012306020400681391,0.00011834024121392521,0.00010578137605247366,4.1783533852811434e-05,2.0801529192714016e-05,7.771696165153097e-05
event_m6,0.0001060011943830522,0.00012590529273779954,0.00014440873369368288,0.00013998455778394266,0.00015786816464333282,0.00016414266632357194,0.00017001598510484422,0.00013962679366997513,0.00012275982124917417,7.073058197607295e-05,1.5961902164273413e-05,8.10306826904642e-05,0.00010046406213029252,0.00011139772740915308,0.0001001841758353368,0.0001120550345525861,0.00011668974085314633,0.00012612971323755888,0.00012212759223888118,0.00011270669031537832,9.64393738260084e-05,3.108736267536534e-05,1.5114683069259361e-05,6.902830975829191e-05
event_m5,7.90968014184172e-05,9.95250567487138e-05,0.0001173021201042438,0.00010957412305723808,0.00012052264652072835,0.000128086634653325,0.00013962679366998797,0.00014609468687040017,0.00012836682750211678,9.125399624516251e-05,1.949184255732859e-05,6.938357463441764e-05,9.45156605202128e-05,9.811634030842375e-05,8.997399691334807e-05,0.00010625780051131206,0.00010966104897189907,0.00011160051897143914,0.00010564295702548507,9.822058593675287e-05,7.560578328840684e-05,1.9862089637253306e-05,6.6852920859508395e-06,4.445531853874212e-05
event_m4,7.92910043714738e-05,0.00010581312252497191,0.00011982638196482772,0.00010436877257945041,0.00011466267039449169,0.00011982092832337846,0.00012275982124919973,0.00012836682750212765,0.0001653225232319416,0.00011768264388012897,3.0697905367852304e-05,7.179063629196e-05,0.00010007429540290337,0.00010741955539743396,0.00010175889807302857,0.00012104040833640429,0.00012789515884628017,0.00012697598810861659,0.00013211581267116976,0.0001340030550679826,0.00011295439497050893,4.145492193001075e-05,2.734685936117386e-05,6.615889794310266e-05
event_m3,5.232696868505937e-05,7.37196093372533e-05,8.274394103841683e-05,6.849597702201455e-05,6.768907288182396e-05,6.830853680680723e-05,7.073058197608352e-05,9.125399624516133e-05,0.00011768264388011699,0.00012077963309952185,3.315802266994447e-05,4.3632969573463785e-05,6.516536499381713e-05,6.507633433230145e-05,6.530550799609862e-05,8.383437414537565e-05,9.093667447644606e-05,7.757150687997653e-05,7.197789406799074e-05,7.808159152180592e-05,6.529626418898268e-05,2.0873692118670378e-05,1.6714541804406817e-05,3.234476897184533e-05
