beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,nobs,clusters,fe_cols,fe_groups,demean_iterations_y,demean_iterations_x,cno2,cno2_label,spec,treated_occupations,control_occupations,notes
0.23870538392946183,0.06564381391179254,0.00027650400977941025,0.11004350866234847,0.3673672591965752,26.96044356085061,691,11,cno4 + period,"{""cno4"": 11, ""period"": 63}",5,5,59,Trabajadores de los servicios de protección y seguridad,within_cno2_family_binary_ln_parados,3,8,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.16701418464028916,0.1200593203923015,0.16419595332343362,-0.06830208332862175,0.4023304526092001,18.177102818641245,441,7,cno4 + period,"{""cno4"": 7, ""period"": 63}",2,2,38,Técnicos de las tecnologías de la información y las comunicaciones (TIC),within_cno2_family_binary_ln_parados,5,2,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.12666167277114007,0.07213455520922223,0.07910404725440578,-0.014722055438935483,0.26804540098121565,13.503294026386481,1260,20,cno4 + period,"{""cno4"": 20, ""period"": 63}",2,2,24,"Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",within_cno2_family_binary_ln_parados,6,14,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.12592654088441219,0.16738962100348176,0.4518730779713791,-0.20215711628241206,0.45401019805123644,13.419884797847125,441,7,cno4 + period,"{""cno4"": 7, ""period"": 63}",2,2,94,"Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en servicios",within_cno2_family_binary_ln_parados,2,5,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.10566982874774555,0.12518422603187862,0.3986053884041807,-0.13969125427473653,0.3510309117702276,11.145484548016181,819,13,cno4 + period,"{""cno4"": 13, ""period"": 63}",2,2,37,"Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",within_cno2_family_binary_ln_parados,2,11,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.077059372983644,0.082630515819679,0.3510380729605247,-0.08489643802292686,0.23901518399021487,8.01062036168303,1008,16,cno4 + period,"{""cno4"": 16, ""period"": 63}",2,2,33,Técnicos sanitarios y profesionales de las terapias alternativas,within_cno2_family_binary_ln_parados,4,12,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.04189347135033705,0.11300023041546799,0.7108327374176642,-0.1795869802639802,0.26337392296465434,4.27833865275582,693,11,cno4 + period,"{""cno4"": 11, ""period"": 63}",2,2,58,Trabajadores de los servicios personales,within_cno2_family_binary_ln_parados,7,4,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
0.03125320703731117,0.0333520292188522,0.34872222775549777,-0.03411677023163913,0.09662318430626148,3.174671634401194,441,7,cno4 + period,"{""cno4"": 7, ""period"": 63}",2,2,54,Vendedores (excepto en tiendas y almacenes),within_cno2_family_binary_ln_parados,5,2,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
-0.018306475700059024,0.17229186918964032,0.9153818617159082,-0.355998539311754,0.319385587911636,-1.8139930010479977,441,7,cno4 + period,"{""cno4"": 7, ""period"": 63}",2,2,13,Directores de producción y operaciones,within_cno2_family_binary_ln_parados,5,2,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
-0.020130176688917513,0.07246614574063472,0.781175622534326,-0.16216382234056154,0.12190346896272652,-1.9928917406168645,1134,18,cno4 + period,"{""cno4"": 18, ""period"": 63}",2,2,31,Técnicos de las ciencias y de las ingenierías,within_cno2_family_binary_ln_parados,6,12,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
-0.04472759618754255,0.08536747411454075,0.6003189540880125,-0.21204784545204242,0.12259265307695733,-4.374206533558745,693,11,cno4 + period,"{""cno4"": 11, ""period"": 63}",2,2,44,"Empleados de agencias de viajes, recepcionistas y telefonistas, empleados de ventanilla y afines (excepto taquilleros)",within_cno2_family_binary_ln_parados,6,5,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
-0.09352609582292101,0.13185136567610023,0.4781198728920908,-0.3519547725480775,0.16490258090223545,-8.928574872173101,441,7,cno4 + period,"{""cno4"": 7, ""period"": 63}",2,2,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",within_cno2_family_binary_ln_parados,4,3,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
-0.1532934909574383,0.12990756406864765,0.23799236088215237,-0.4079123165319877,0.1013253346171111,-14.21220945475472,378,6,cno4 + period,"{""cno4"": 6, ""period"": 63}",2,2,36,"Profesionales de apoyo a la gestión administrativa, técnicos de las fuerzas y cuerpos de seguridad",within_cno2_family_binary_ln_parados,3,3,Within-CNO2 high-vs-zero DiD with CNO4 and month FE; small-cluster estimates are diagnostic only.
