design,month_id,relative_month,treated_mean,uniform_control_mean,synthetic_control_mean,sdid_unit_weighted_control_mean,period_type
total_ocup4d,24253,-20,7.135123272382652,7.025512505878103,7.135123262653946,6.905827834115155,pre
total_ocup4d,24254,-19,7.140029850082109,7.032150284666137,7.140029876369183,6.910734827859111,pre
total_ocup4d,24255,-18,7.128224872984548,7.011722323200089,7.128224827772164,6.898929029287483,pre
total_ocup4d,24256,-17,7.108699299801438,7.001993972356782,7.108699326949045,6.87940424606398,pre
total_ocup4d,24257,-16,7.074998788364806,6.970687024082718,7.0749987966838015,6.845703529230099,pre
total_ocup4d,24258,-15,7.041311427016525,6.927251092040273,7.041311418889455,6.812016018526004,pre
total_ocup4d,24259,-14,7.00277731399984,6.872609561179046,7.002777305766073,6.773481924945879,pre
total_ocup4d,24260,-13,6.993328511967104,6.859043684375127,6.99332852178864,6.764033207743928,pre
total_ocup4d,24261,-12,6.96661491585928,6.834697402064483,6.966614905926676,6.737319567842982,pre
total_ocup4d,24262,-11,6.953290620899388,6.836278736368464,6.9532906335377165,6.72399534487484,pre
total_ocup4d,24263,-10,6.927554206872868,6.811374955394008,6.927554200180287,6.698258760387922,pre
total_ocup4d,24264,-9,6.896128081816383,6.800303529622152,6.896128091908052,6.66683293698711,pre
total_ocup4d,24265,-8,6.906011704252558,6.7973178026689185,6.906011701032247,6.67671631471589,pre
total_ocup4d,24266,-7,6.890880388084492,6.785590064119388,6.890880385352819,6.661584997986033,pre
total_ocup4d,24267,-6,6.880888477747702,6.7840064116725145,6.8808884722173405,6.651593109495226,pre
total_ocup4d,24268,-5,6.849675227313291,6.7621111048511535,6.849675233967885,6.620380016270952,pre
total_ocup4d,24269,-4,6.821554723012714,6.733738197989616,6.82155472633485,6.5922594046343175,pre
total_ocup4d,24270,-3,6.802605594491491,6.704365380528115,6.802605593976081,6.573310264094298,pre
total_ocup4d,24271,-2,6.824502904037723,6.702295396733886,6.824502909580761,6.595207619580929,pre
total_ocup4d,24272,-1,6.8465663620089305,6.716918075100211,6.846566363308719,6.617271036412956,pre
total_ocup4d,24273,0,6.842519129155324,6.71707813287497,6.842519117848533,6.613223680619422,pre
total_ocup4d,24274,1,6.8440149484705035,6.714850127317365,6.826890439502848,6.602126845275826,post
total_ocup4d,24275,2,6.8368893309846746,6.710248988355606,6.816488072530846,6.594478347062922,post
total_ocup4d,24276,3,6.828639444206769,6.698978971513686,6.799578871449061,6.5771610016667434,post
total_ocup4d,24277,4,6.852218865943859,6.723091789642225,6.835501296356704,6.6182616732684165,post
total_ocup4d,24278,5,6.855265493101708,6.720456814209705,6.831434753142814,6.612701151297824,post
total_ocup4d,24279,6,6.846884603556665,6.700134416688412,6.803713543887347,6.582909021222001,post
total_ocup4d,24280,7,6.823434609218674,6.673488574201729,6.768577383891137,6.55250616916674,post
total_ocup4d,24281,8,6.811457237163154,6.655776040937521,6.758538389464044,6.543399939366344,post
total_ocup4d,24282,9,6.810337757575744,6.643071777133833,6.753660237640803,6.543357713208362,post
total_ocup4d,24283,10,6.826495021824769,6.639920438122531,6.7653216276659585,6.553652443160431,post
total_ocup4d,24284,11,6.844723819069862,6.648811687220104,6.776549161090873,6.564396963091107,post
total_ocup4d,24285,12,6.850710810328301,6.653389084834538,6.772569983494565,6.561358570638956,post
total_ocup4d,24286,13,6.86075217782072,6.670209555437878,6.779699330577095,6.571061932847536,post
