quarter,epa_unemployed,epa_records,sepe_registered_unemployed,sepe_months
2021Q1,3653947.0700000003,9690,3974260.6666666665,3
2021Q2,3543841.7700000005,9059,3768739.0,3
2021Q3,3416695.46,8250,3316943.6666666665,3
2021Q4,3103842.91,7663,3181886.3333333335,3
2022Q1,3174713.21,7868,3114508.3333333335,3
2022Q2,2919415.15,7314,2942025.3333333335,3
2022Q3,2980200.32,7163,2911993.0,3
2022Q4,3023981.87,7191,2877975.0,3
2023Q1,3127755.99,7745,2893890.6666666665,3
2023Q2,2808243.0,6666,2738612.0,3
2023Q3,2894525.31,6574,2696878.6666666665,3
2023Q4,2860831.82,6400,2733897.0,3
2024Q1,2977880.4299999997,6830,2751757.0,3
2024Q2,2755308.86,6196,2611805.6666666665,3
2024Q3,2754099.26,5974,2565340.3333333335,3
2024Q4,2595482.9299999997,5642,2582930.0,3
2025Q1,2789180.7199999997,6168,2590842.3333333335,3
2025Q2,2553065.05,5620,2457854.6666666665,3
2025Q3,2613183.74,5311,2410477.6666666665,3
2025Q4,2477122.46,4875,2425798.6666666665,3
2026Q1,2708607.1599999997,5355,2433806.6666666665,3
