"cno4","occupation_title","period","time_period","event_time","first_treat_period","Y","D_raw","G","D","id"
"0011","Oficiales de las fuerzas armadas","2021-01",1,-20,21,4.95582705760126,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-02",2,-19,21,4.95582705760126,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-03",3,-18,21,5.02388052084628,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-04",4,-17,21,4.98360662170834,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-05",5,-16,21,4.94875989037817,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-06",6,-15,21,4.88280192258637,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-07",7,-14,21,4.85203026391962,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-08",8,-13,21,4.91265488573605,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-09",9,-12,21,4.91265488573605,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-10",10,-11,21,4.89783979995091,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-11",11,-10,21,4.88280192258637,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2021-12",12,-9,21,4.8283137373023,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-01",13,-8,21,4.80402104473326,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-02",14,-7,21,4.72738781871234,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-03",15,-6,21,4.83628190695148,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-04",16,-5,21,4.82028156560504,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-05",17,-4,21,4.71849887129509,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-06",18,-3,21,4.72738781871234,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-07",19,-2,21,4.7361984483945,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-08",20,-1,21,4.7361984483945,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-09",21,0,21,4.74493212836325,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-10",22,1,21,4.8283137373023,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-11",23,2,21,4.86753445045558,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2022-12",24,3,21,4.78749174278205,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-01",25,4,21,4.94875989037817,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-02",26,5,21,4.91998092582813,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-03",27,6,21,4.969813299576,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-04",28,7,21,4.97673374242057,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-05",29,8,21,4.9416424226093,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-06",30,9,21,4.9416424226093,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-07",31,10,21,4.94875989037817,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-08",32,11,21,4.92725368515721,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-09",33,12,21,4.94875989037817,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-10",34,13,21,5.00394630594546,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-11",35,14,21,4.96284463025991,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2023-12",36,15,21,4.99721227376411,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-01",37,16,21,5.04342511691925,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-02",38,17,21,4.99043258677874,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-03",39,18,21,5.03043792139244,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-04",40,19,21,4.96284463025991,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-05",41,20,21,5.04342511691925,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-06",42,21,21,4.99043258677874,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-07",43,22,21,5.06890420222023,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-08",44,23,21,4.99043258677874,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-09",45,24,21,5.05624580534831,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-10",46,25,21,5.07517381523383,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-11",47,26,21,5.09375020080676,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2024-12",48,27,21,5.11198778835654,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-01",49,28,21,5.15905529921453,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-02",50,29,21,5.11198778835654,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-03",51,30,21,5.14749447681345,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-04",52,31,21,5.12989871492307,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-05",53,32,21,5.13579843705026,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-06",54,33,21,5.02388052084628,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-07",55,34,21,5.03043792139244,0,0,0,1
"0011","Oficiales de las fuerzas armadas","2025-08",56,35,21,5.02388052084628,0,0,0,1
