spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-20,-466.0191711997008,1479.5253013677784,0.7529088585846665,-3365.8887618805466,2433.850419481145,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-19,112.92152673054748,1503.0437150901985,0.940142404213647,-2833.0441548462413,3058.8872083073366,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-18,7.089129244028215,1045.0188657067058,0.994590105778083,-2041.147847541115,2055.3261060291716,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-17,156.7105281171269,953.7064267963682,0.8695475821657735,-1712.5540684037549,2025.9751246380085,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-16,-840.9666320343356,960.0233255776188,0.38145764432900564,-2722.612350166469,1040.6790860977974,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-15,-952.4734245458086,1415.457534239645,0.5013157522427842,-3726.7701916555125,1821.8233425638955,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-14,-1559.0680603100418,1276.9519885766852,0.22268707723364306,-4061.8939579203447,943.7578373002611,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-13,-1505.3426476761465,516.7978385410372,0.003741622638693895,-2518.2664112165794,-492.4188841357136,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-12,-1449.6723440022452,1308.1980195763397,0.2683311487672259,-4013.7404623718708,1114.3957743673805,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-11,-1357.7974735522566,1350.5218065700403,0.31519571960365156,-4004.8202144295356,1289.2252673250223,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-10,-1874.926744400195,1742.1751272741049,0.28235633049975256,-5289.58999385744,1539.7365050570504,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-9,-1295.9420638785557,1372.2718600958467,0.3454322014281284,-3985.5949096664153,1393.7107819093037,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-8,-723.0364943036479,1344.5659519763694,0.5909904110951851,-3358.385760177332,1912.3127715700361,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-7,515.0874039534158,806.9662575136439,0.5235693872320376,-1066.5664607733263,2096.741268680158,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-6,860.4240481216924,1025.1143040588026,0.4016763431905969,-1148.7999878335609,2869.6480840769455,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-5,427.47053896260275,633.656265662266,0.500235067533254,-814.4957417354386,1669.4368196606442,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-4,-317.9801418005816,926.3401030484384,0.7315430969754136,-2133.606743775521,1497.6464601743578,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-3,8.555254054964827,1308.0766388143638,0.9947842115701329,-2555.2749580211885,2572.385466131118,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,-2,103.44640471787723,1062.3322618478126,0.9224661942520699,-1978.7248285038354,2185.6176379395897,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,0,695.1147179571889,853.9451917541976,0.41602942970188656,-978.6178578810383,2368.847293795416,31607,502,0.9231708892292092,continuous exposure
continuous_cosine_weighted,contracts,Contracts,Cosine weighted,continuous,1,1003.3709575259372,666.665183603085,0.13293887036563065,-303.2928023361094,2310.0347173879836,31607,502,0.9231708892292092,continuous exposure
