spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-20,-1534.5476190484958,930.4712956231846,0.10035444840011283,-3358.2713584699377,289.1761203729459,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-19,-1128.7222222227751,808.3079868966155,0.16382735647987104,-2713.005876540142,455.5614320945913,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-18,-1280.6904761911292,666.0576430171064,0.05563768264574166,-2586.163456504658,24.78250412239936,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-17,-1112.833333334041,602.8232990175624,0.06606448056521153,-2294.366999408463,68.7003327403811,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-16,-1610.7301587308148,829.1238895585118,0.05317201294415097,-3235.812982265498,14.352664803868265,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-15,-1739.3412698417428,715.523848966604,0.015763938405197686,-3141.768013816287,-336.914525867199,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-14,-1525.9841269847093,568.1383948240216,0.007715249516573017,-2639.5353808397913,-412.43287312962707,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-13,-962.0238095245281,344.36454242239586,0.005614060657234653,-1636.978312672424,-287.0693063766323,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-12,-1718.6227638312168,920.1212538123208,0.06295217294868755,-3522.0604213033657,84.81489364093181,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-11,-1761.357142857581,892.3176803002781,0.04948823997137161,-3510.299796246126,-12.41448946903597,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-10,-2811.388888889476,1213.7152434848765,0.021345188490643686,-5190.270766119835,-432.50701165911823,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-9,-2118.9682539690316,1182.8123540669421,0.07442317554083543,-4437.280467940238,199.34396000217475,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-8,-1923.103174603947,1079.8572256389782,0.07614034117690627,-4039.6233368563444,193.41698764845023,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-7,-709.976190476859,539.2593362133097,0.1891814971451621,-1766.924489454946,346.97210850122804,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-6,-769.7063492068863,496.5123396027807,0.12234720575164282,-1742.8705348283365,203.45783641456376,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,contracts,Contracts,RF,top_vs_bottom,-5,-540.0317460323113,296.89994096952785,0.07011804170769402,-1121.9556303325858,41.89213826796333,15860,252,0.9201542057778276,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
