spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-20,-0.0880160164668392,0.02138690629020009,5.2454666570023885e-05,-0.12993435279563137,-0.04609768013804702,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-19,-0.08708300070218913,0.02149755042886963,6.807212822368569e-05,-0.1292181995427736,-0.04494780186160466,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-18,-0.0845519151328145,0.020657691364571525,5.7442005855363364e-05,-0.1250409902073747,-0.04406284005825431,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-17,-0.0925117073670956,0.020161652743925014,7.056774204895687e-06,-0.13202854674518863,-0.052994867989002575,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-16,-0.09597628398978189,0.019629661406564556,1.8073036445130048e-06,-0.13445042034664842,-0.05750214763291536,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-15,-0.07771919889593966,0.018357383116546975,3.2278582674659585e-05,-0.11369966980437174,-0.041738727987507586,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-14,-0.028539519833388906,0.014258269228990296,0.04640282233316208,-0.056485727522209886,-0.0005933121445679257,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-13,-0.010026394303852128,0.014867828997040774,0.5006977374346656,-0.039167339138052044,0.019114550530347788,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-12,-0.02954700037879525,0.016072458580136978,0.0671906215012344,-0.061049019195863724,0.001955018438273226,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-11,-0.047794300389532585,0.01643687504124605,0.003966224489327669,-0.08001057547037484,-0.015578025308690333,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-10,-0.05299899620705448,0.017134306867265216,0.0022043175483889947,-0.0865822376668943,-0.01941575474721465,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-9,-0.08746285895858164,0.015578130994746607,5.213180091013216e-08,-0.11799599570828498,-0.056929722208878285,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-8,-0.07987665135086591,0.015121529853685856,2.7670183220972807e-07,-0.10951484986409019,-0.05023845283764164,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-7,-0.09055863868681194,0.015176056876838576,8.177889693543933e-09,-0.12030371016541555,-0.060813567208208325,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
top_quartile_vs_bottom_quartile_rf,unemployment,Registered unemployment,RF,top_vs_bottom,-6,-0.10268701706431665,0.015192444901611068,9.657730355010245e-11,-0.13246420907147435,-0.07290982505715896,15860,252,0.9958337659210905,top quartile vs bottom quartile; q25=0.042637; q75=0.118004
