spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-20,-0.039396406565321326,0.020918206007958597,0.06050814347444716,-0.08039609034092018,0.0016032772102775247,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-19,-0.042293355766706286,0.021014840757279652,0.044952737536536364,-0.0834824436509744,-0.0011042678824381702,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-18,-0.035256081448267515,0.020158752504448506,0.08120958689410261,-0.0747672363569866,0.004255073460451557,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-17,-0.04390277416562388,0.01915297778102457,0.022505442159348587,-0.08144261061643204,-0.0063629377148157265,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-16,-0.04738291041409781,0.018639265234216374,0.011463326981277612,-0.08391587027316191,-0.010849950555033717,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-15,-0.03200133586338329,0.016856946811679045,0.0584916259501347,-0.06504095161427421,0.0010382798875076399,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-14,-0.006307773571098296,0.013300977935038599,0.6356384900635237,-0.03237769032377395,0.019762143181577357,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-13,0.002616060281687538,0.012812326294803309,0.8383329545372077,-0.022496099256126948,0.027728219819502024,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-12,-0.012265018888796102,0.014062140250868776,0.38371581739803634,-0.039826813780498904,0.0152967760029067,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-11,-0.0320625896850661,0.014091950480685263,0.02351527697706908,-0.05968281262720922,-0.00444236674292298,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
top_quartile_vs_zero_cosine_weighted,unemployment,Registered unemployment,Cosine weighted,top_vs_zero,-10,-0.03746820506105929,0.014374406870266818,0.009548582040111692,-0.06564204252678225,-0.009294367595336323,21408,340,0.994727215051408,top quartile vs zero exposure; q75=0.119664
