cno4,occupation_title,2021-01,2026-01,observed_exposure_rf,observed_exposure_cosine_weighted,observed_exposure_cosine_nearest,avg_monthly_unemployment_growth_pp
0011,Oficiales de las fuerzas armadas,141.0,148.0,0.1624575996248196,0.0,0.0,0.08075397230991044
0012,Suboficiales de las fuerzas armadas,42.0,18.0,0.0911230579220779,0.0,0.0,-1.4121631006453397
0020,Tropa y marinería de las fuerzas armadas,1439.0,1093.0,0.080791738095238,0.0,0.0,-0.4583703645180482
1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo",114.0,63.0,0.1345069041269841,0.0,0.0,-0.9884395366716052
1112,Personal directivo de la administración pública,255.0,157.0,0.1554731867460319,0.0,0.0,-0.80836289968353
1113,Directores de organizaciones de interés social,232.0,159.0,0.1220273286507936,0.1808,0.1808,-0.6297219490767972
1120,Directores generales y presidentes ejecutivos,1464.0,977.0,0.1346032963203463,0.0845610099877072,0.0333,-0.6740684041307906
1211,Directores financieros,2243.0,1501.0,0.1773905741269842,0.3907,0.3907,-0.6694711714779104
1212,Directores de recursos humanos,918.0,729.0,0.1500508414285714,0.1890672207414919,0.0,-0.3842060976863874
1219,Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes,1018.0,940.0,0.1224080518253968,0.0,0.0333,-0.13285886974403027
1221,Directores comerciales y de ventas,9868.0,7811.0,0.1798614513492065,0.0433,0.0433,-0.3896070033982498
1222,Directores de publicidad y relaciones públicas,841.0,539.0,0.1637166805555558,0.2315,0.2315,-0.7414601484399178
1223,Directores de investigación y desarrollo,701.0,726.0,0.1321049783333333,0.0613,0.3777,0.058403546317009614
1311,Directores de producción de explotaciones agropecuarias y forestales,137.0,88.0,0.0833935061904761,0.0,0.0,-0.737740185583197
1312,Directores de producción de explotaciones pesqueras y acuícolas,69.0,34.0,0.0791279284126984,0.0,0.0,-1.17957663330183
1313,Directores de industrias manufactureras,1194.0,761.0,0.0929939023809523,0.0132,0.0132,-0.7507182268181026
1314,Directores de explotaciones mineras,9.0,3.0,0.1021669749999999,0.0132,0.0132,-1.8310204811135162
1315,"Directores de empresas de abastecimiento, transporte, distribución y afines",2406.0,1699.0,0.1117091149999999,0.0956,0.0956,-0.5798762914378189
1316,Directores de empresas de construcción,784.0,447.0,0.0968045827777778,0.0306,0.1186,-0.936417376228064
1321,Directores de servicios de tecnologías de la información y las comunicaciones (tic),756.0,739.0,0.1920343827777777,0.1559,0.1559,-0.03790575871888654
1322,Directores de servicios sociales para niños,12.0,10.0,0.0997631069841268,0.0395,0.0395,-0.3038692613232574
1323,Directores-gerentes de centros sanitarios,243.0,218.0,0.1019776257142856,0.0659,0.0659,-0.18094396758576567
1324,Directores de servicios sociales para personas mayores,77.0,55.0,0.1037007752380953,0.1808,0.1808,-0.5607870610353549
1325,Directores de otros servicios sociales,41.0,50.0,0.1077934740476189,0.1808,0.1808,0.33075156453973004
1326,Directores de servicios de educación,335.0,207.0,0.1097682511904762,0.0882638731973482,0.0525,-0.8023528975994957
1327,"Directores de sucursales de bancos, de servicios financieros y de seguros",1405.0,658.0,0.1378086702380953,0.3907,0.3907,-1.2643127507375478
1329,Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes,194.0,121.0,0.1204204062698411,0.0333,0.0333,-0.7867793557776448
1411,Directores y gerentes de hoteles,914.0,515.0,0.1176656816666666,0.1215,0.1215,-0.956106117984022
1419,Directores y gerentes de otras empresas de servicios de alojamiento,86.0,51.0,0.088430734047619,0.1215,0.1215,-0.8708694392153027
1421,Directores y gerentes de restaurantes,1435.0,928.0,0.0968461628571427,0.0,0.0,-0.7264806590125353
1422,"Directores y gerentes de bares, cafeterías y similares",817.0,418.0,0.1041082423015872,0.0,0.0,-1.1169294372254113
1429,Directores y gerentes de empresas de catering y otras empresas de restauración,121.0,111.0,0.0831546442857142,0.0,0.0,-0.14376724047401238
1431,Directores y gerentes de empresas de comercio al por mayor,673.0,523.0,0.1305295033333332,0.1378,0.1378,-0.42027310929967443
1432,Directores y gerentes de empresas de comercio al por menor,1284.0,942.0,0.1363873719841271,0.2627,0.2627,-0.5162170161225724
1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas",730.0,489.0,0.0940251782539682,0.0246403193818852,0.0443,-0.6678034077792742
1509,Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes,1448.0,981.0,0.0815076897619048,0.0686,0.1378,-0.6489435223004966
2111,Médicos de familia,1120.0,1203.0,0.1001130200505049,0.0185351002908756,0.0,0.11914958614256399
2112,Otros médicos especialistas,608.0,561.0,0.1456147271428571,0.0589713892378808,0.0,-0.13408996073911883
2121,Enfermeros no especializados,2439.0,3979.0,0.1060751946031746,0.0522788422847072,0.0,0.8157373536850133
2122,Enfermeros especializados (excepto matronos),428.0,441.0,0.0759467333333334,0.0944,0.0944,0.04986946644174909
2123,Matronos,107.0,116.0,0.1197043735714285,0.052,0.052,0.13460226107409784
