outcome,exposure_measure,mode,control_rule,att,std_error,ci_low,ci_high,p_value,n_treated,n_control,n_periods,n_pre_periods,n_post_periods,q25,q75,reps_completed
unemployment,cosine_weighted,top_vs_zero,zero exposure,.0943353,.0240041,.047288127,.14138247,.000084957828,124,212,63,20,43,0,.1202185,100
unemployment,cosine_nearest,top_vs_zero,zero exposure,.0858261,.0221864,.042341556,.12931064,.00010954719,124,250,63,20,43,0,.1169,100
unemployment,rf,top_vs_bottom,bottom quartile,.1596216,.0248479,.11092061,.20832258,1.3278520e-10,122,124,63,20,43,.0426281992857143,.11811663,100
unemployment,cosine_weighted,top_vs_bottom,bottom quartile,.0943353,.0227623,.049722012,.13894859,.000034075529,124,212,63,20,43,0,.1202185,100
unemployment,cosine_nearest,top_vs_bottom,bottom quartile,.0858261,.021300901,.044077102,.1275751,.000055961249,124,250,63,20,43,0,.1169,100
contracts,cosine_weighted,top_vs_zero,zero exposure,217.6437,69.318748,81.781448,353.50595,.0016909078,124,212,63,20,43,0,.1202185,100
contracts,cosine_nearest,top_vs_zero,zero exposure,215.3114,92.098297,34.802048,395.82074,.019395376,124,250,63,20,43,0,.1169,100
contracts,rf,top_vs_bottom,bottom quartile,272.0342,79.993988,115.24886,428.81955,.00067217735,122,124,63,20,43,.0426281992857143,.11811663,100
contracts,cosine_weighted,top_vs_bottom,bottom quartile,217.6437,90.999649,39.287663,395.99973,.016770625,124,212,63,20,43,0,.1202185,100
contracts,cosine_nearest,top_vs_bottom,bottom quartile,215.3114,75.609718,67.119072,363.50372,.0044040806,124,250,63,20,43,0,.1169,100
