outcome,outcome_label,exposure_measure,mode,control_rule,intervention_period,att,std_error_placebo,p_value_normal,ci_low,ci_high,n_treated,n_control,n_periods,n_pre_periods,n_post_periods,q25,q75,n_positive_unit_weights,n_positive_time_weights,placebo_reps_requested,placebo_reps_completed,estimator_note
unemployment,log registered unemployment,cosine_weighted,top_vs_zero,zero exposure,2022-09,0.09054578022334425,0.02860716509716501,0.001550065283635944,0.034475736632900836,0.14661582381378768,124,212,63,20,43,0.0,0.11966387426997918,202,2,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
unemployment,log registered unemployment,cosine_nearest,top_vs_zero,zero exposure,2022-09,0.08563922559453108,0.025175901620255733,0.0006698406000114586,0.03629445841882984,0.13498399277023232,124,250,63,20,43,0.0,0.11557500000000001,221,3,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
unemployment,log registered unemployment,rf,top_vs_bottom,bottom quartile,2022-09,0.20177025577481444,0.02214911391129058,8.266260135329369e-20,0.1583579925086849,0.24518251904094399,122,124,63,20,43,0.042636614404761825,0.11800389226190473,12,2,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
unemployment,log registered unemployment,cosine_weighted,top_vs_bottom,bottom quartile,2022-09,0.09054578022334425,0.025791964806646316,0.0004470634488657532,0.039993529202317475,0.14109803124437104,124,212,63,20,43,0.0,0.11966387426997918,202,2,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
unemployment,log registered unemployment,cosine_nearest,top_vs_bottom,bottom quartile,2022-09,0.08563922559453108,0.022740227391144795,0.00016589753841763036,0.04106837990788728,0.13021007128117487,124,250,63,20,43,0.0,0.11557500000000001,221,3,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
contracts,contracts,cosine_weighted,top_vs_zero,zero exposure,2022-09,436.3308127149712,276.55625386975555,0.11462788862018648,-105.71944486974962,978.381070299692,124,212,63,20,43,0.0,0.11966387426997918,212,20,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
contracts,contracts,cosine_nearest,top_vs_zero,zero exposure,2022-09,582.6850252063023,286.248883700522,0.041791662144642035,21.637213153279163,1143.7328372593254,124,250,63,20,43,0.0,0.11557500000000001,250,20,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
contracts,contracts,rf,top_vs_bottom,bottom quartile,2022-09,1424.4886758574876,549.3155475699061,0.009508564552612214,347.8302026204715,2501.1471490945037,122,124,63,20,43,0.042636614404761825,0.11800389226190473,124,20,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
contracts,contracts,cosine_weighted,top_vs_bottom,bottom quartile,2022-09,436.3308127149712,313.5174009045826,0.16400490817598123,-178.1632930580106,1050.824918487953,124,212,63,20,43,0.0,0.11966387426997918,212,20,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
contracts,contracts,cosine_nearest,top_vs_bottom,bottom quartile,2022-09,582.6850252063023,297.07428751058706,0.04983099980823986,0.419421685551697,1164.9506287270528,124,250,63,20,43,0.0,0.11557500000000001,250,20,100,100,Python SDID-style implementation; Stata sdid command unavailable locally.
