cnae,industry_name,quarter,observed_exposure_cnae_rf,observed_exposure_cnae_cosine_weighted,observed_exposure_cnae_cosine_nearest,total_weight,covered_weight,coverage_share,occupation_count
01,"Agricultura, ganadería, caza y servicios relacionados con las mismas",2021,0.05068665941658225,0.01613129197255726,0.01704221774066034,76708.0,76708.0,1.0,49
02,Silvicultura y explotación forestal,2021,0.06157380076484007,0.039716822039119026,0.04251403426758678,2952.0,2952.0,1.0,47
03,Pesca y acuicultura,2021,0.0619899406424599,0.014294810131349542,0.016319122129750688,2873.0,2873.0,1.0,42
05,"Extracción de antracita, hulla y lignito",2021,0.0426877172457286,0.0315225889427671,0.033160202868281814,133.0,133.0,1.0,17
06,Extracción de crudo de petróleo y gas natural,2021,0.08602285641513131,0.09892873883374198,0.11440013902572524,29.0,29.0,1.0,15
07,Extracción de minerales metálicos,2021,0.056620348308552094,0.04550719681089027,0.048008525276284436,281.0,281.0,1.0,27
08,Otras industrias extractivas,2021,0.05536565901485952,0.0486846891294273,0.05134594197373091,1305.0,1305.0,1.0,40
09,Actividades de apoyo a las industrias extractivas,2021,0.08890957003755094,0.11241142631122637,0.12736192008628408,125.0,125.0,1.0,25
10,Industria de la alimentación,2021,0.07183555799404218,0.05351504644429346,0.05787636029774494,37507.0,37507.0,1.0,53
11,Fabricación de bebidas,2021,0.08535309859530073,0.09620597934771902,0.10633543511717608,4417.0,4417.0,1.0,47
12,Industria del tabaco,2021,0.07803922933959401,0.07493366408432735,0.08285971518559941,126.0,126.0,1.0,26
13,Industria textil,2021,0.06169214752182447,0.06908522771260145,0.0753448272585963,4368.0,4368.0,1.0,46
14,Confección de prendas de vestir,2021,0.061953948149810235,0.06532666851788682,0.07338353311055329,4340.0,4340.0,1.0,43
15,Industria del cuero y del calzado,2021,0.055728348453228195,0.05051210962041226,0.05581319787830803,3594.0,3594.0,1.0,42
16,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",2021,0.05470800562500031,0.046955956321661704,0.05144911612351523,5760.0,5760.0,1.0,48
17,Industria del papel,2021,0.061552762244041104,0.062451261908340126,0.06892845848294792,4175.0,4175.0,1.0,44
18,Artes gráficas y reproducción de soportes grabados,2021,0.0738748618059681,0.09082927176608685,0.08566255042194953,6276.0,6276.0,1.0,46
19,Coquerías y refino de petróleo,2021,0.07651608971556534,0.0742010837852895,0.08095876261684161,840.0,840.0,1.0,36
20,Industria química,2021,0.07455101703825079,0.08712471384486635,0.09698430116503359,9204.0,9204.0,1.0,48
21,Fabricación de productos farmacéuticos,2021,0.0938836457520012,0.10801398784213215,0.11856768827149476,5106.0,5106.0,1.0,43
22,Fabricación de productos de caucho y plásticos,2021,0.0561364371022862,0.05390689763440051,0.05896967889257591,8698.0,8698.0,1.0,45
23,Fabricación de otros productos minerales no metálicos,2021,0.05939355267902341,0.056938662098374206,0.06162396129874847,8986.0,8986.0,1.0,47
24,"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones",2021,0.05410433575561599,0.044358685804829975,0.04866481282692138,6915.0,6915.0,1.0,44
25,"Fabricación de productos metálicos, excepto maquinaria y equipo",2021,0.054662926959969174,0.0431333689829759,0.04625687940970606,23886.0,23886.0,1.0,47
26,"Fabricación de productos informáticos, electrónicos y ópticos",2021,0.09391783739502277,0.11637862671409908,0.12003816450881326,2626.0,2626.0,1.0,43
27,Fabricación de material y equipo eléctrico,2021,0.07054863834621357,0.0747038466956306,0.07906905301875929,4167.0,4167.0,1.0,44
28,Fabricación de maquinaria y equipo n. c. o. p,2021,0.06965439931495371,0.07446502128769862,0.08086734653927792,11549.0,11549.0,1.0,46
29,"Fabricación de vehículos de motor, remolques y semirremolques",2021,0.05676061283029733,0.044256706900427475,0.047921303260385455,14552.0,14552.0,1.0,45
30,Fabricación de otro material de transporte,2021,0.06966178600792637,0.06230856991596939,0.06372653967860242,4673.0,4673.0,1.0,46
31,Fabricación de muebles,2021,0.05966963945933822,0.06036699436876063,0.06602588961210673,5899.0,5899.0,1.0,46
32,Otras industrias manufactureras,2021,0.07312139856751074,0.07772527691424314,0.08388041771939828,3207.0,3207.0,1.0,46
33,Reparación e instalación de maquinaria y equipo,2021,0.06668376839432628,0.07076039999868464,0.07756787226252182,8475.0,8475.0,1.0,46
35,"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2021,0.09555440587974824,0.1279014622507607,0.14035182925288245,3433.0,3433.0,1.0,43
36,"Captación, depuración y distribución de agua",2021,0.08248226634625855,0.10279637396918362,0.11440771055826073,3591.0,3591.0,1.0,46
37,Recogida y tratamiento de aguas residuales,2021,0.0729113928232607,0.0782658249790485,0.08898491645941976,508.0,508.0,1.0,34
38,"Recogida, tratamiento y eliminación de residuos; valorización",2021,0.06692258352783555,0.08534176464464215,0.09179440902462244,8068.0,8068.0,1.0,45
39,Actividades de descontaminación y otros servicios de gestión de residuos,2021,0.07439030609614342,0.08393042441959067,0.09002062948099468,168.0,168.0,1.0,29
41,Construcción de edificios,2021,0.05706310704478689,0.041534722580158646,0.04466332080174198,46240.0,46240.0,1.0,47
42,Ingeniería civil,2021,0.0630632088361552,0.05943262556307052,0.06532487333181841,5157.0,5157.0,1.0,44
