CNO2,observed_exposure_rf,observed_exposure_cosine_weighted,observed_exposure_cosine_nearest,cno4_count,OCUP1,CNO1,occupation_title,aggregation_weight_source
00,0.11137863061087062,0.15013333333333334,0.15013333333333334,3,00,0,CNO2 00,equal CNO4 weights
11,0.136652678961039,0.0663402524969268,0.053524999999999996,4,11,1,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,equal CNO4 weights
12,0.1542554296031747,0.15264453679024867,0.17941666666666667,6,12,1,Directores de departamentos administrativos y comerciales,equal CNO4 weights
13,0.10996162158730158,0.09198313379981059,0.09571428571428572,14,13,1,Directores de producción y operaciones,equal CNO4 weights
14,0.10816033435374149,0.09192857142857143,0.09192857142857143,7,14,1,"Directores y gerentes de empresas de alojamiento, restauración y comercio",equal CNO4 weights
15,0.08776643400793654,0.046620159690942645,0.09105,2,15,1,Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes,equal CNO4 weights
21,0.09349274273764431,0.03910048467041437,0.030425,16,21,2,Profesionales de la salud,equal CNO4 weights
22,0.11086130229918233,0.07668399053055813,0.08283333333333334,6,22,2,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",equal CNO4 weights
23,0.13365061865079367,0.18245090727332552,0.18943333333333331,9,23,2,Otros profesionales de la enseñanza,equal CNO4 weights
24,0.08806777951281523,0.07526795570584371,0.0665952380952381,42,24,2,"Profesionales de las ciencias físicas, químicas, matemáticas y de las ingenierías",equal CNO4 weights
25,0.14067200133838392,0.1794959686710317,0.15606666666666666,6,25,2,Profesionales en derecho,equal CNO4 weights
26,0.19932135109168608,0.2643688343529258,0.26642307692307693,13,26,2,Especialistas en organización de la Administración Pública y de las empresas y en la comercialización,equal CNO4 weights
27,0.23340282451930006,0.3574506759748814,0.3343125,8,27,2,Profesionales de las tecnologías de la información,equal CNO4 weights
28,0.1466863440476191,0.1189179454074709,0.1821857142857143,7,28,2,Profesionales en ciencias sociales,equal CNO4 weights
29,0.1296962670573871,0.18976173098341717,0.1707923076923077,13,29,2,Profesionales de la cultura y el espectáculo,equal CNO4 weights
31,0.07765567293160174,0.058340251531380755,0.074428,25,31,3,Técnicos de las ciencias y de las ingenierías,equal CNO4 weights
32,0.04928288475198413,0.021524743330757636,0.025575,8,32,3,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",equal CNO4 weights
33,0.08229069700492317,0.04741468796286117,0.054441176470588236,17,33,3,Técnicos sanitarios y profesionales de las terapias alternativas,equal CNO4 weights
34,0.155000130968254,0.2641529988304862,0.22962,5,34,3,Profesionales de apoyo en finanzas y matemáticas,equal CNO4 weights
35,0.16153232501659456,0.19438005023138705,0.21362,10,35,3,"Representantes, agentes comerciales y afines",equal CNO4 weights
36,0.1270593005822511,0.13302655636579172,0.12050000000000001,10,36,3,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,equal CNO4 weights
37,0.0977180145925926,0.06304783008258831,0.04946,15,37,3,"Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",equal CNO4 weights
38,0.15447189945436507,0.28254306714150496,0.2921875,8,38,3,Técnicos de las tecnologías de la información y las comunicaciones (TIC),equal CNO4 weights
41,0.1231570794817219,0.1779744607927922,0.23565000000000003,6,41,4,"Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte",equal CNO4 weights
42,0.09885955964285711,0.18411225816847487,0.170125,4,42,4,"Empleados de bibliotecas, servicios de correos y afines",equal CNO4 weights
43,0.14987544710317463,0.4386678899275942,0.56175,2,43,4,Otros empleados administrativos sin tareas de atención al público,equal CNO4 weights
