cnae,quarter,observed_exposure_cnae,observed_exposure_cnae_cosine_nearest,observed_exposure_cnae_cosine_weighted,observed_exposure_cnae_ensemble,observed_exposure_cnae_rf,observed_exposure_cnae_ridge,total_weight,covered_weight,coverage_share,occupation_count
0,2011Q1,0.20576836746708826,0.155624876515853,0.07704623383675761,0.142438890495325,0.20576836746708826,0.1313160841616011,777988.53,777988.53,1.0,9
1,2011Q1,0.19286098427629209,0.062057707843566845,0.07643255901891131,0.11022368623957565,0.19286098427629209,0.10954349381953234,829294.01,829294.01,1.0,9
2,2011Q1,0.17709323703224938,0.06722492626572994,0.07643294745533194,0.10707133213255449,0.17709323703224938,0.10753421777690672,990214.59,990214.59,1.0,9
3,2011Q1,0.17508811582231681,0.06506622099792228,0.07638169928327876,0.10512899970069572,0.17508811582231681,0.10397996269926499,759312.84,759312.84,1.0,8
4,2011Q1,0.19249222765497903,0.049113281293073394,0.07635897807830097,0.1046950612732235,0.19249222765497903,0.10081575806654064,1499439.09,1499439.09,1.0,8
5,2011Q1,0.20251768327534533,0.02674223227463746,0.07682837191784045,0.10303902522373642,0.20251768327534533,0.10606781342712247,4268121.87,4268121.87,1.0,9
6,2011Q1,0.17393106777504427,0.08366850747550093,0.0765893489377348,0.1122872929395008,0.17393106777504427,0.11496024756972316,1438567.81,1438567.81,1.0,9
7,2011Q1,0.1589545209809665,0.07404342248581273,0.07679411275653653,0.10386823542378153,0.1589545209809665,0.10568088547181037,2342736.49,2342736.49,1.0,9
8,2011Q1,0.1727234279158677,0.08948448273125278,0.07683970499089002,0.11224471673227887,0.1727234279158677,0.10993125129110498,4124514.89,4124514.89,1.0,10
9,2011Q1,0.1869167423091597,0.028273326876829968,0.0770167134593183,0.10102005904548432,0.1869167423091597,0.1118734535366293,1395967.16,1395967.16,1.0,9
0,2011Q2,0.20721357977832194,0.16428835925765933,0.077013661146898,0.14506616635219727,0.20721357977832194,0.13174906522590976,735904.7,735904.7,1.0,9
1,2011Q2,0.1931914229827718,0.06141625731070272,0.07642478514119957,0.11016122900825087,0.1931914229827718,0.10961245059832941,825107.07,825107.07,1.0,9
2,2011Q2,0.17926568389880063,0.06742690404271369,0.0764293835228587,0.10777248009410755,0.17926568389880063,0.1079679489120571,996218.46,996218.46,1.0,8
3,2011Q2,0.17628117867150103,0.06562331239048413,0.07636290154350395,0.10562894176111637,0.17628117867150103,0.10424837443897629,801544.87,801544.87,1.0,8
4,2011Q2,0.1923842411471381,0.048241621395153214,0.07634848929055445,0.10434742300185174,0.1923842411471381,0.10041534017456118,1440974.21,1440974.21,1.0,8
5,2011Q2,0.20350987834460735,0.026979975527773734,0.07683753258099445,0.10347538174490213,0.20350987834460735,0.10657414052623297,4419540.7,4419540.7,1.0,9
6,2011Q2,0.17403306712796696,0.08377930695933952,0.07660055458317151,0.11223264575234712,0.17403306712796696,0.11451765433891042,1434041.69,1434041.69,1.0,9
7,2011Q2,0.15931979192269538,0.07493618243984791,0.07679522281866293,0.10424507312042446,0.15931979192269538,0.10592909530049163,2364303.44,2364303.44,1.0,9
8,2011Q2,0.1732938846620835,0.089370788994289,0.07684624926915386,0.1124091829256545,0.1732938846620835,0.1101258087770916,4156800.05,4156800.05,1.0,10
9,2011Q2,0.18724672351832702,0.0272456656403267,0.07701927662149832,0.1008566036018954,0.18724672351832702,0.1119147486274295,1447528.81,1447528.81,1.0,9
0,2011Q3,0.2072025886841435,0.1698914505433995,0.07699849059738453,0.146440856054682,0.2072025886841435,0.13167089439380036,704770.64,704770.64,1.0,9
1,2011Q3,0.19294086635115185,0.0619566088576377,0.0764355291365505,0.11038946492360738,0.19294086635115185,0.11022485534908943,810662.87,810662.87,1.0,9
2,2011Q3,0.17958246972032232,0.06748075752552467,0.07643996029346185,0.10794518444057224,0.17958246972032232,0.10827755022298012,1029748.8,1029748.8,1.0,8
3,2011Q3,0.17726520211367688,0.06486855539228008,0.07636689354815882,0.1056117252107708,0.17726520211367688,0.1039462497889674,791960.81,791960.81,1.0,8
4,2011Q3,0.1920602398229514,0.04886337196723658,0.07633219676426543,0.10426971751542297,0.1920602398229514,0.09982306150723841,1384773.36,1384773.36,1.0,8
5,2011Q3,0.20331275575729735,0.02549216886941264,0.0768480384666816,0.10304310797831416,0.20331275575729735,0.10651946881986507,4476262.86,4476262.86,1.0,9
